"","SpecCode","Species","autoctr","StockCode","EcologyRefNo","HabitatsRef","Neritic","SupraLittoralZone","Saltmarshes","LittoralZone","TidePools","Intertidal","SubLittoral","Caves","Oceanic","Epipelagic","Mesopelagic","Bathypelagic","Abyssopelagic","Hadopelagic","Estuaries","Mangroves","MarshesSwamps","CaveAnchialine","Stream","Lakes","Cave","Cave2","Herbivory2","HerbivoryRef","FeedingType","FeedingTypeRef","DietTroph","DietSeTroph","DietTLu","DietseTLu","DietRemark","DietRef","FoodTroph","FoodSeTroph","FoodRemark","FoodRef","AddRems","AssociationRef","Parasitism","Solitary","Symbiosis","Symphorism","Commensalism","Mutualism","Epiphytic","Schooling","SchoolingFrequency","SchoolingLifestage","Shoaling","ShoalingFrequency","ShoalingLifestage","SchoolShoalRef","AssociationsWith","AssociationsRemarks","OutsideHost","OHRemarks","InsideHost","IHRemarks","SubstrateRef","Benthic","Sessile","Mobile","Demersal","Endofauna","Pelagic","Megabenthos","Macrobenthos","Meiobenthos","SoftBottom","Sand","Coarse","Fine","Level","Sloping","Silt","Mud","Ooze","Detritus","Organic","HardBottom","Rocky","Rubble","Gravel","SpecialHabitatRef","Macrophyte","BedsBivalve","BedsRock","SeaGrassBeds","BedsOthers","CoralReefs","ReefExclusive","DropOffs","ReefFlats","Lagoons","Burrows","Tunnels","Crevices","Vents","Seamounts","DeepWaterCorals","Vegetation","Leaves","Stems","Roots","Driftwood","OInverterbrates","OIRemarks","Verterbrates","VRemarks","Pilings","BoatHulls","Corals","SoftCorals","OnPolyp","BetweenPolyps","HardCorals","OnExoskeleton","InterstitialSpaces","Entered","Dateentered","Modified","Datemodified","Expert","Datechecked","TS"
"1",12865,"Acanthoclinus fuscus",5851,13196,9003,9003,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",9003,"hunting macrofauna (predator)",9003,NA,NA,NA,NA,NA,NA,3.64,0.59,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"A resident intertidal species with homing behavior (Ref. 32612) found in pools with rocks or boulders. May leave tidepools if aquatic conditions become inhospitable (Ref. 31184). Feeds mostly on invertebrates, particularly crustaceans and mollusks.",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,574,977443200,NA,977443200,NA,NA,NA
"2",49224,"Acanthoclinus littoreus",8613,41262,51568,51568,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",51568,"hunting macrofauna (predator)",NA,NA,NA,NA,NA,NA,NA,3.37,0.52,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Carnivore. Feeds mainly on crustaceans, particularly decapods (Ref. 51568).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,309,1091145600,NA,1091145600,NA,NA,NA
"3",12938,"Aldrichetta forsteri",5875,13270,6390,6390,-1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,"plants/detritus+animals (troph. 2.2-2.79)",28709,"grazing on aquatic plants",28709,NA,NA,NA,NA,NA,NA,2.51,0.26,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Juveniles in the Gippsland Lakes, Victoria, inhabit lower salinity water (about 20 parts per thousand) but generally from Victoria to southwestern Australia, juveniles less than 1-year-old live in both estuarine and marine environments with salinity to 35 parts per thousand (Ref. 27012, 28470) and temperatures ranging from 14<b0>C to 24<b0>C (Ref. 28707). As they grow older (Ref. 28706), yellow-eye mullet gradually move into more open coastal waters, yet prior to spawning they undertake a more pronounced movement to the coast (Ref. 28470).
Recently hatched juveniles probably enter estuaries by active swimming (Ref. 28707). Juveniles in Barker Inlet (near Adelaide, South Australia) enter estuaries and sheltered bays when they are 3-4 cm long, and remain there until they reach 25-30 cm TL.",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,2,922147200,1472,1225065600,NA,NA,NA
"4",NA,"Allomycterus pilatus ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2535,"Alopias vulpinus",1702,2731,247,247,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",247,"hunting macrofauna (predator)",NA,4.5,NA,4.53,0.81,"Troph of adults from 1 study.",37512,4.37,0.65,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"Occurs on the continental shelf and slope (Ref. 75154).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,859161600,1472,1215648000,NA,NA,NA
"6",11878,"Anguilla dieffenbachii",5591,12204,28084,28084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,"mainly animals (troph. 2.8 and up)",28084,"hunting macrofauna (predator)",NA,4.47,0.507,4.28,0.69,"Troph of adults from 2 studies.",28084,3.52,0.42,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,929404800,1,995328000,711,995328000,NA
"7",NA,"Aplodactylus arctidens ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",13142,"Argentina elongata",5949,13469,30530,30530,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",30530,"hunting macrofauna (predator)",NA,NA,NA,NA,NA,NA,30530,3.4,0.45,"Tentative trophic level derived from 1 + troph of a single food item",NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,929836800,653,989193600,NA,NA,NA
"9",47433,"Arnoglossus scapha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",5048,"Arripis trutta",6336,14356,6390,6390,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,"mainly animals (troph. 2.8 and up)",26966,"hunting macrofauna (predator)",26966,4.07,0.62,3.92,0.59,"Troph of juv./adults from 1 study.",26966,3.7,0.58,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,"A midwater predator which is more common offshore but occurs frequently in inshore areas as well (Ref. 26966). Juveniles are found over soft substrates in shallow and sheltered coastal waters. They are often found over seagrass (e.g. <i>Posidonia</i> species) beds in mangrove-lined (<i>Avicennia</i> species) creeks (Ref. 27967). They can tolerate temperature and salinity extremes, such as those found in gulfs in South Australia and the Coorong. Larger fish move into exposed, coastal waters, such as around rocky headlands, near reefs and the surf zone (Ref. 6390). Juveniles of 4-6 cm FL appear in shallow, sheltered Tasmanian waters between January and September (Ref. 6390).
Juveniles feed on zooplankton and epibenthic species of fish, squid, crustaceans and polychaete worms (Ref. 27967). They exhibit diel and seasonal diet shift which may be related to changes in the availability of prey (Ref. 27967). In New Zealand, adults appear to change their diet from planktonic crustaceans when they are less than 10 cm in length to fishes when larger (Ref. 27967), according to a study conducted by Baker (1971). Competitive interactions between its closest relative,<i>Arripis truttaceus</i>, may also be a factor in the seasonal dietary shifts. This needs further investigation (Ref. 27967).",NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,NA,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,34,911779200,2,975801600,NA,NA,NA
