"","SpecCode","Species","Genus","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","Amphibious","AmphibiousRef","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"1",12865,"Acanthoclinus fuscus","Acanthoclinus",9003,"Jenyns, 1841","Rockfish","Acfus_u2.jpg",NA,NA,NA,294,"Acanthoclininae",4322,NA,"elongated","O",NA,NA,0,0,-1,-1,"demersal",NA,NA,"non-migratory",NA,0,4,9003,NA,NA,NA,9,9003,NA,NA,33.02,30,"TL",NA,NA,9003,NA,NA,NA,NA,NA,NA,NA,NA,"ACFUS_U0",NA,NA,NA,NA,"of no interest","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Are residents of intertidal zone with homing behavior (Ref. 32612) found in pools with rocks or boulders.  May leave tide pools if aquatic conditions become inhospitable (Ref. 31184).  Feed mostly on invertebrates, particularly crustaceans and mollusks.  They breathe air when out of water (Ref. 31184) and swim with an eel-like motion (Ref. 9003).  Eggs are guarded by the male parent (Ref. 205).",NA,0.5312,0,2,795052800,2,1310601600,NA,NA,NA
"2",49224,"Acanthoclinus littoreus","Acanthoclinus",45524,"(Forster, 1801)",NA,NA,NA,NA,NA,294,"Acanthoclininae",4322,NA,"elongated","o",NA,NA,0,0,0,-1,"demersal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.59,12.6,"TL",NA,NA,27207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Eggs are guarded by the male parent (Ref. 205).",NA,0.5312,0,113,901584000,2,1310601600,NA,NA,NA
"3",12938,"Aldrichetta forsteri","Aldrichetta",6390,"(Valenciennes, 1836)","Yellow-eye mullet","Alfor_u1.jpg",NA,NA,NA,359,NA,10526,NA,"fusiform / normal","O",NA,NA,0,-1,-1,-1,"demersal",NA,NA,"catadromous",46888,0,50,9003,0,10,9812,7,9003,NA,NA,29.1,50,"SL",NA,NA,44894,25,"TL",NA,NA,9258,950,NA,26498,"ALFOR_U0",NA,NA,NA,6390,"commercial","medium","Very questionable: based on ex-vessel price for species in this family","Human consumption.","up to 1,000 tons/year",NA,"seines",NA,0,-1,0,0,0,0,0,0,-1,0,"never/rarely",NA,6390,"never/rarely",6390,"never/rarely",NA,6390,-1,6390,"harmless",6390,"no special ability",6390,NA,-1,"Found over sandy and muddy bottoms of coastal waters, bays, estuaries, and may ascend rivers into freshwaters (Ref. 9812, 44894).  Adults inhabit brackish coastal lakes (Ref. 44894).  Found in schools (Ref. 9812).  Shoal-forming (Ref. 44894).  They are omnivores, feeding mostly on benthic detritus, algae and small invertebrates.  Oviparous, eggs are pelagic and non-adhesive (Ref. 205).  Spawn in coastal waters in summer and autumn, probably in estuaries (Ref. 9812, 27012, 28470, 28707, 28708).  Marketed fresh (whole gutted or fillets), smoked, salted or as roe (Ref. 3383).",NA,1,0,2,796608000,303,1240963200,155,812592000,NA
"4",NA,"Allomycterus pilatus ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2535,"Alopias vulpinus","Alopias",247,"(Bonnaterre, 1788)","Thresher","Alvul_u0.gif",NA,NA,NA,486,NA,6653,NA,"fusiform / normal","R",NA,NA,0,0,0,-1,"pelagic-oceanic",NA,NA,"oceanodromous",51243,0,650,106604,0,200,55168,25,81241,NA,NA,72.87,573.3,"TL",549,"TL",106604,450,"TL",NA,NA,5217,348000,NA,40637,"ALVUL_U0",NA,NA,NA,171,"commercial","high","Reliable: based on ex-vessel price for this species","Fully utilized.",NA,NA,"various gears",NA,0,-1,0,0,0,-1,0,0,-1,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,-1,26346,"harmless",247,"electrosensing only",10311,NA,-1,"Coastal over continental and insular shelves and epipelagic far from land (Ref. 30573, 43278, 58302).  Oceanic although most abundant near land, pelagic at 1-366 m (Ref. 58302).  Young often close inshore and in shallow bays (Ref. 5578).  Feeds on schooling fishes (including mackerels, bluefishes, clupeids, needlefishes, lancetfishes and lanternfishes), squid, octopi, pelagic crustaceans, and rarely seabirds (Ref. 247).  Ovoviviparous, embryos feeding on yolk sac and other ova produced by the mother (Ref. 43278, 50449).  Uses its long caudal fin to bunch up and stun prey (Ref. 2850).  Spatial and depth segregation by sex in northwestern Indian Ocean populations (Ref. 247).  A few attacks on boats are doubtfully attributed to this species, but it is otherwise apparently harmless to humans, though the size of adults of this species command respect (Ref. 247).  May cause damage to fishing gear (Ref. 6885).  Valued for its meat, liver, hide, and fins; utilized fresh, dried-salted, smoked, and frozen (Ref. 9987).",NA,0.75,0,23,708566400,303,1475625600,113,903398400,NA
"6",11878,"Anguilla dieffenbachii","Anguilla",9258,"Gray, 1842","New Zealand longfin eel","Andie_u1.jpg",NA,NA,NA,49,NA,9424,NA,"eel-like","O",NA,NA,0,-1,-1,-1,"demersal",NA,NA,"catadromous",51243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.82,185,"TL",156,"TL",44724,60,"TL",100,"TL",9258,25000,NA,11115,NA,NA,NA,NA,9258,"commercial","unknown",NA,NA,NA,NA,"traps",NA,0,0,0,-1,0,0,0,0,0,0,"experimental",NA,9988,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Commonly found in lakes and rivers (Ref. 9258).  Inhabits stony rivers (Ref. 9072).  Migrates to the sea to breed.  Oviparous (Ref. 205).  Marketed fresh, smoked and frozen; eaten fried and broiled (Ref. 9988).  Reports of reaching up to 2 meters and 50 kilograms are rare and more common historically; in recent times, only a few exceed 120 cm TL (Ref. 82796).",NA,0.5,0,1,775699200,14,1260230400,10,830563200,NA
"7",NA,"Aplodactylus arctidens ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",13142,"Argentina elongata","Argentina",9258,"Hutton, 1879",NA,"Arelo_u0.jpg",NA,NA,NA,83,NA,302,NA,"elongated","O",NA,NA,0,0,0,-1,"demersal",NA,NA,NA,NA,69,600,58489,NA,NA,NA,NA,NA,NA,NA,36.4,NA,NA,NA,NA,NA,25,"TL",NA,NA,9258,NA,NA,NA,"ARELO_U0",NA,NA,NA,9258,"minor commercial","high","Questionable: based on ex-vessel price for species in this genus","Taken as bycatch.",NA,NA,"trawls","unspecified trawls (TX)",0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Occurs in offshore waters (Ref. 9258). Reported from depths between 69 m (Ref. 58489) and 600 m (Ref. 9258).",NA,0.5001,0,10,801187200,65,1374105600,113,907891200,NA
"9",47433,"Arnoglossus scapha","Arnoglossus",27073,"(Forster, 1801)",NA,"Arsca_u0.jpg",NA,NA,NA,439,NA,2511,NA,"short and / or deep","O",NA,NA,0,0,0,-1,"bathydemersal",NA,NA,NA,NA,22,392,58489,NA,NA,NA,NA,NA,NA,NA,45.94,28.09,"SL",NA,NA,27073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"never/rarely",NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,NA,NA,0.5,0,113,891388800,949,1330905600,NA,NA,NA
"10",5048,"Arripis trutta","Arripis",9701,"(Forster, 1801)","Australian salmon","Artru_u0.jpg",NA,NA,NA,321,NA,767,NA,"fusiform / normal","r",NA,NA,0,0,-1,-1,"pelagic-neritic",NA,NA,"anadromous",51243,30,39,58489,NA,NA,NA,26,9072,NA,NA,40.79,89,"TL",NA,NA,27296,47,"TL",NA,NA,9258,9400,NA,9988,"ARTRU_U0",NA,NA,NA,4931,"commercial","very high","Reliable: based on ex-vessel price for this species","For human consumption, pet food, & lobster bait.","from 1,000 to 10,000","Areas 57 and 81","seines","purse seines (PS)",0,-1,0,0,0,-1,0,0,-1,0,"never/rarely",NA,NA,"usually",4537,"never/rarely",NA,NA,-1,4699,"harmless",NA,"no special ability",NA,NA,-1,"Inhabit continental shelf waters including estuaries, bays and inlets (Ref. 6390).  Found between depths of 30 m (Ref. 33616) and 39 m (Ref. 58489).  They enter rivers (Ref. 9002).  Juveniles form school in shallow coastal bays and estuaries; adults move in large schools along shores (Ref. 9002), and can move over reefs in depths just sufficient to cover their bodies (Ref. 6390).  They form large surface aggregations in deep water (Ref. 6390).  Feed mainly on fishes but also on pelagic crustaceans, especially krill (<i>Nyctiphanes australis</i>).  Take also food from the seabed.  Fish smaller than 10 cm feed predominantly on copepods (Ref. 9072).  Utilized fresh, canned and frozen; can be steamed, fried, broiled, boiled, microwaved and baked (Ref. 9988).",NA,0.625,0,1,697852800,393,1270425600,2,917481600,NA
