species,phylum,group,common_name_division,solitary_colonial,body_size_lower_cm,adult_body_size_upper_cm,adult_body_size_bin,calcareous,herbivore,predator,omnivore,deposit_feeder,filter_suspension,scavenger,trophic_level,motility_adult,habitat_type,benthic,pelagic,epibiotic,intertidal,subtidal,notes,Source,synonym,dietary_pref
Annelida,Annelida,Invertebrate,Annelid worm,solitary,,,SC1,no,yes,yes,yes,yes,yes,yes,,motile,,,,,yes,yes,,,"Annelida, Polychaeta, Oligochaeta, Lepidonotus, Namanareis",
Sedentary Polychaete,Annelida,Invertebrate,Annelid worm,solitary,,,SC1,no,no,no,no,no,yes,no,primary consumer,sessile,,yes,no,,yes,yes,,,"Nicolea, Cirratulus, Thelepus cincinnatus",
Spirorbis,Annelida,Invertebrate,Annelid worm,gregarious,,0.5,SC1,yes,no,no,no,no,yes,no,primary consumer,sessile,epifloral,no,no,yes,yes,no,,"WoRMS,",,filter feeder
Semibalanus balanoides,Arthropoda,Invertebrate,Barnacle,gregarious,1,5,SC1,yes,no,no,no,no,yes,no,primary consumer ,sessile,epifaunal,no,no,yes,yes,no,,,,Suspension feeder
Anurida maritima,Arthropoda,invertebrate,Collembolan,solitary,,0.3,SC1,yes,no,no,no,no,no,yes,decomposer,motile,epibenthic,yes,no,no,yes,no,,,,scavenger/detritivore
Amphipoda,Arthropoda,Invertebrate,Crustacean,solitary,1,2,SC1,yes,yes,yes,yes,no,no,yes,secondary consumer,motile,epilithic/epifaunal,yes,yes,yes,yes,no,,,,scavenger/detritivore
Cancer borealis,Arthropoda,Invertebrate,Crustacean,solitary,0.2,20,SC2,yes,no,yes,yes,no,no,no,secondary consumer,motile,epibenthic,yes,no,no,yes,yes,,,,predator
Cancer irroratus,Arthropoda,Invertebrate,Crustacean,solitary,0.5,14,SC2,yes,yes,yes,yes,no,no,yes,secondary consumer,motile,epibenthic,yes,no,no,yes,yes,,,,omnivore
Carcinus maenas,Arthropoda,Invertebrate,Crustacean,solitary,3,10,SC2,yes,no,yes,no,no,no,yes,secondary consumer,motile,epibenthic,yes,no,yes,yes,no,,BIOTIC/marlin,,omnivore
Hemigrapsus sanguineus,Arthropoda,Invertebrate,Crustacean,solitary,0.2,20,SC2,yes,no,no,yes,no,no,yes,secondary consumer,motile,epibenthic,yes,no,no,yes,no,,,,omnivore
Homarus americanus,Arthropoda,Invertebrate,Crustacean,solitary,10,64,SC4,yes,no,yes,yes,no,no,no,secondary consumer,motile,epibenthic,yes,no,no,no,yes,,"WoRMS,",,omnivore
Isopoda,Arthropoda,Invertebrate,Crustacean,solitary,0.2,20,SC2,yes,yes,no,no,no,no,yes,primary consumer,motile,epibenthic,yes,no,no,yes,no,,,,herbivore
Pagurus acadianus,Arthropoda,Invertebrate,Crustacean,solitary,0.2,20,SC2,yes,no,no,yes,no,no,yes,secondary consumer,motile,epibenthic,yes,no,NA,yes,no,,worms/sealifebase,,"omnivore, scavenger"
Bugula neritina,Bryozoa,Invertebrate,Bryozoan,colonial,0.2,20,SC2,yes,no,no,no,no,yes,no,primary consumer,sessile,,yes,no,yes,yes,yes,,sealifebase,,suspension feeder
