species,phylum,group,common_name_division_bgr,macroalgae,erect_morphology_growth_form,foliose_morphology_growth_form,filamentous_morphology_growth_form,crustose_morphology_growth_form,globular_morphology_growth_form,leathery_external_morphology,articulated_external_morphology,branched_external_morphology,saccate_external_morphology,corticated_internal_anatomy,physical_defenses_calcification,space_use_canopy,space_use_sub_canopy,space_use_turf,turf_subcanopy_canopy_algae,potential_asexual_reproduction,maximun_longevity,size_categories,epilithic_use_space,epiphytic_env_position,epizoic_env_position,epifloral_env_position,epibiotic_env_position,intertidal,subtidal,area,feeding,trophic_level,growth_rate,notes,Source,Wikipedia,,,refined_search,common_name_division,synonym,chemical_defenses,solitary_colonial,unattached_use_space,turf_encrusting_space_use
Codium fragile,Chlorophyta,Algae,Green Algae,yes,yes,yes,yes,no,no,no,no,yes,no,yes,non-calcareous,yes,yes,no ,Subcanopy,yes,perennial,100-500 mm,yes,yes,yes,no,yes,yes,yes,shared,autotroph,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145086#attributes,,,,,Green Algae,,,,no,no 
Prasiola stipitata,Chlorophyta,Algae,Green Algae,yes,no,yes,no,no,no,no,no,no,no,,non-calcareous,no ,no ,yes,Turf,yes,ephemeral (less than a year or annual),up to 10 mm,yes,no,no,no,no,yes,no,intertidal,autotroph,primary producer,,"Common in northwest Europe, North Cape south to Gibraltar. Iceland, Faeroes; Newfoundland.  {associated with bird rookeries where guano provides high concentrations of nitrogenous compounds}",http://www.marinespecies.org/aphia.php?p=taxdetails&id=145800#attributes,,,,,Green Algae,,,,no,no 
Ulva lactuca,Chlorophyta,Algae,Green Algae,yes,yes,yes,no,no,no,no,no,yes,no,,non-calcareous,yes,yes,yes,Turf,yes,perennial,100-500 mm,yes,yes,yes,no,yes,yes,no,intertidal,autotroph,primary producer,very high (>15 cm/year),,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145984#attributes,,,,,Green Algae,,,,yes,no 
Ulva intestinalis,Chlorophyta,Algae,Green Algae,yes,no,yes,no,no,no,no,no,no,no,,non-calcareous,yes,yes,yes,Turf,yes,ephemeral (less than a year or annual),100-500 mm,yes,yes,yes,no,yes,yes,no,intertidal,autotroph,primary producer,very high (>15 cm/year),,,,,,,Green Algae,,,,yes,no 
Ahnfeltia plicata,Chlorophyta,Algae,Green Algae,yes,no,no,yes,yes,no,no,no,yes,no,yes,non-calcareous,no ,yes,yes,Subcanopy,yes,perennial (one-ten years),100-500 mm,yes,no,no,no,no,yes,yes,shared,autotroph,primary producer,,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=144422#attributes,,,,,Green Algae,,,,,yes
Chaetomorpha ligustica,Chlorophyta,Algae,Green Algae,yes,yes,no,yes,no,no,no,no,yes,no,,non-calcareous,no ,yes,yes,Turf,yes,ephemeral (less than a year or annual),100-500 mm,yes,yes,no,no,yes,yes,yes,shared,autotroph,primary producer,,,,,,,,Green Algae,,,,yes,no 
Spongomorpha aeruginosa,Chlorophyta,Algae,Green Algae,no,no,no,yes,no,no,no,no,yes,yes,,non-calcareous,no ,yes,no ,Turf,yes,ephemeral (less than a year or annual),10-100 mm,yes,no,no,no,yes,yes,no,intertidal,autotroph,primary producer,,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=144413#attributes,,,,,Green Algae,,,,no,no 
Alaria esculenta,Ochrophyta,Algae,Brown Algae,yes,no,yes,no,no,no,yes,no,no,no,,non-calcareous,yes,yes,no ,Canopy,no,perennial (one-ten years),>500 mm,yes,yes,no,yes,yes,yes,yes,shared,autotroph,primary producer,very high (>15 cm/year),BIOTIC/marlin,http://www.marinespecies.org/aphia.php?p=taxdetails&id=234483#attributes,,,,,Brown Algae,,,,no,no 
Ascophyllum nodosum,Ochrophyta,Algae,Brown Algae,yes,yes,no,no,no,no,yes,no,yes,no,,non-calcareous,yes,no ,no ,Canopy,no,perennial,>500 mm,yes,yes,no,yes,yes,yes,yes,shared,autotroph,primary producer,high (5-15 cm/year),,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145541#attributes,https://en.wikipedia.org/wiki/Ascophyllum,,,,Brown Algae,,,,no,no 
Elachista fucicola,Ochrophyta,Algae,Brown Algae,yes,no,no,yes,no,yes,no,no,no,no,,non-calcareous,no ,yes,yes,Turf,yes,ephemeral (less than a year or annual),10-100 mm,no,yes,no,no,yes,yes,no,intertidal,autotroph,primary producer,,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=144937#attributes,,,,,Brown Algae,,,,no,no 
Fucus,Ochrophyta,Algae,Brown Algae,yes,,yes,no,no,no,yes,no,yes,no,,non-calcareous,yes,yes,no ,Subcanopy,no,perennial (one-ten years),,yes,no,no,no,no,yes,no,intertidal,autotroph,primary producer,,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=144129&allchildren=1#attributes,,,,,Brown Algae,,,,no,no 
Fucus distichus,Ochrophyta,Algae,Brown Algae,yes,yes,no,no,no,no,yes,no,yes,no,,non-calcareous,yes,yes,no ,Subcanopy,no,perennial (one-ten years),100-500 mm,yes,no,no,yes,no,yes,no,intertidal,autotroph,primary producer,high (5-15 cm/year),,https://www.marinespecies.org/aphia.php?p=taxdetails&id=145544#attributes,,,,,Brown Algae,,,,no,no 
Fucus vesiculosus,Ochrophyta,Algae,Brown Algae,yes,yes,yes,no,no,no,yes,no,yes,no,,non-calcareous,yes,yes,no ,Subcanopy,no,perennial (one-ten years),>500 mm,yes,no,no,yes,no,yes,no,intertidal,autotroph,primary producer,very high (>15 cm/year),,,,,,,Brown Algae,Fucus vesiculosus var. spiralis,,,no,no 
Sphacelaria cirrosa,Ochrophyta,Algae,Brown Algae,yes,yes,no,yes,no,no,no,no,yes,no,,non-calcareous,no ,no ,yes,Turf,yes,perennial,10-100 mm,yes,yes,no,no,yes,yes,yes,shared,autotroph,primary producer,,,,,,,,Brown Algae,Sphacelaria,,,no,no 
Pylaiella littoralis,Ochrophyta,Algae,Brown Algae,yes,no,no,yes,no,no,no,no,yes,no,,non-calcareous,no ,yes,yes,Turf,no,ephemeral (less than a year or annual),100-500 mm,yes,yes,yes,no,yes,yes,yes,shared,autotroph,primary producer,,,,,,,,Brown Algae,,,,no,no 
Leathesia marina,Ochrophyta,Algae,Brown Algae,yes,no,no,no,no,yes,no,no,no,yes,yes,non-calcareous,no ,yes,no ,Subcanopy,yes,ephemeral (less than a year or annual),10-100 mm,yes,yes,no,no,yes,yes,yes,intertidal,autotroph,primary producer,,,,,,,,Brown Algae,,,,no,no 
Scytosiphon lomentaria,Ochrophyta,Algae,Brown Algae,yes,yes,no,yes,yes,no,no,no,no,no,yes,non-calcareous,no ,yes,yes,Turf,yes,ephemeral (less than a year or annual),100-500 mm,yes,yes,no,no,yes,yes,yes,shared,autotroph,primary producer,extreme slow (<1cm/year),,,,,,,Brown Algae,,,,no,no 
Chordaria flagelliformis,Ochrophyta,Algae,Brown Algae,yes,yes,no,no,no,no,no,no,yes,no,yes,non-calcareous,no ,yes,yes,Turf,yes,ephemeral (less than a year or annual),>500 mm,yes,yes,no,no,yes,yes,yes,shared,autotroph,primary producer,very high (>15 cm/year),"This species has a complex taxonomy, you can find sub-species that are branche or unbranched and in is undefnited if they are different species",,,,,https://www.jstor.org/stable/pdf/23312482.pdf?refreqid=excelsior%3Aae62b350a759c9fe5c534eda27440fd9&ab_segments=&origin=,Brown Algae,,,,no,no 
