species,phylum,group,common_name_division_bgr,invasive_gom,erect_morphology_growth_form,foliose_morphology_growth_form,filamentous_morphology_growth_form,crustose_morphology_growth_form,globular_morphology_growth_form,leathery_external_morphology,,branched_external_morphology,saccate_external_morphology,potential_asexual_reproduction,autotroph,perennial_gom,size_categories,physical_defenses_calcification,space_use_canopy,space_use_sub_canopy,space_use_turf,space_use_canopy_gom,space_use_subcanopy_gom,space_use_turf_gom,space_use_crust,turf_subcanopy_canopy_algae,corticated_internal_anatomy,epilithic_env_position,epiphytic_env_position,epizoic_env_position,epibiotic_env_position_gom,intertidal_gom,subtidal_gom,area_gom,trophic_level,growth_rate,notes,Source,Wikipedia,,,refined_search,articulated_external_morphology,common_name_division,synonym,chemical_defenses,solitary_colonial,unattached_use_space,maximum_longevity,turf_encrusting_space_use
Agarum clathratum,Ochrophyta,Algae,Brown Algae,no,yes,no,no,no,no,yes,,no,no,yes,yes,yes,>500 mm,non-calcareous,yes,yes,no ,yes,no ,no ,no ,Canopy,yes,yes,no,no,no,no,yes,subtidal,primary producer,,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=157207,,,,,no,Brown Algae,,yes,,no,perennial (one-ten years),no 
Ahnfeltia plicata,Chlorophyta,Algae,Green Algae,no,yes,no,no,no,no,no,,yes,no,yes,yes,yes,100-500 mm,non-calcareous,no ,yes,yes,no ,yes,no ,no ,Subcanopy,yes,yes,no,no,no,yes,yes,shared,primary producer,,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=144422#attributes,,,,,no,Green Algae,,,,,perennial (one-ten years),yes
Alaria esculenta,Ochrophyta,Algae,Brown Algae,no,yes,no,no,no,no,yes,,no,no,no,yes,yes,>500 mm,non-calcareous,yes,yes,no ,yes,no ,no ,no ,Canopy,yes,yes,yes,no,no,yes,yes,shared,primary producer,very high (>15 cm/year),BIOTIC/marlin,http://www.marinespecies.org/aphia.php?p=taxdetails&id=234483#attributes,,,,,no,Brown Algae,,,,no,perennial (one-ten years),no 
Ascophyllum nodosum,Ochrophyta,Algae,Brown Algae,no,yes,no,no,no,no,yes,,yes,no,no,yes,yes,>500 mm,non-calcareous,yes,no ,no ,yes,no ,no ,no ,Canopy,yes,yes,yes,no,no,yes,no,intertidal,primary producer,high (5-15 cm/year),,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145541#attributes,https://en.wikipedia.org/wiki/Ascophyllum,,,,no,Brown Algae,,,,no,perennial,no 
Bonnemaisonia hamifera,Rhodophyta,Algae,Red Algae,yes,yes,no,yes,no,no,no,,yes,no,yes,yes,yes,100-500 mm,non-calcareous,no ,yes,yes,no ,no ,yes,no ,Turf,yes,yes,yes,no,yes,yes,yes,shared,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=144442#attributes,,,,,no,Red Erect Algae,,,,,perennial (one-ten years),
Ceramium,Rhodophyta,Algae,Red Algae,no,,,,,,,,,,,yes,,,,,,,no ,no ,yes,no ,Turf,no,,,,,yes,yes,shared,primary producer,,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=144217#attributes,,,,,,Red Erect Algae,,,,,,
Ceramium virgatum,Rhodophyta,Algae,Red Algae,no,yes,no,yes,no,no,no,,yes,no,no,yes,yes,100-500 mm,non-calcareous,yes,yes,yes,no ,no ,yes,no ,Turf,no,yes,yes,yes,yes,yes,yes,shared,primary producer,,"worms lists as turf, subcanopy, and canopy",https://www.marinespecies.org/aphia.php?p=taxdetails&id=178915#attributes,,,,,no,Red Erect Algae,,,,no,perennial,no 
Chaetomorpha linum,Chlorophyta,Algae,Green Algae,no,yes,no,yes,no,no,no,,no,no,yes,yes,no,100-500 mm,non-calcareous,no ,yes,yes,no ,no ,yes,no ,Turf,no,yes,yes,no,yes,yes,yes,shared,primary producer,,,,,,,,no,Green Algae,,,,yes,ephemeral (less than a year or annual),no 
Chondrus crispus,Rhodophyta,Algae,Red Algae,no,yes,no,no,no,no,no,,yes,no,no,yes,yes,100-500 mm,non-calcareous,no ,yes,yes,no ,yes,no ,no ,Subcanopy,yes,yes,no,no,no,yes,yes,shared,primary producer,high (5-15 cm/year),BIOTIC/marlin,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145625#attributes,,,,,no,Red Erect Algae,,,,,perennial,
Chordaria flagelliformis,Ochrophyta,Algae,Brown Algae,no,yes,no,no,no,no,no,,yes,no,yes,yes,yes,>500 mm,non-calcareous,no ,yes,yes,no ,yes,no ,no ,Subcanopy,yes,yes,no,no,no,yes,yes,shared,primary producer,very high (>15 cm/year),"This species has a complex taxonomy, you can find sub-species that are branche or unbranched and in is undefnited if they are different species",,,,,https://www.jstor.org/stable/pdf/23312482.pdf?refreqid=excelsior%3Aae62b350a759c9fe5c534eda27440fd9&ab_segments=&origin=,no,Brown Algae,,,,no,perennial,no 
Chorda filum,Ochrophyta,Algae,Brown Algae,no,yes,no,no,no,no,no,,no,no,,yes,no,>500 mm,non-calcareous,,,,yes,no ,no ,no ,Canopy,no,yes,no,no,no,no,yes,subtidal,primary producer,,,,,,,,no,,,,,,ephemeral (less than a year or annual),
Cladostephus spongiosus,Ochrophyta,Algae,Brown Algae,no,yes,no,no,no,no,no,,yes,no,yes,yes,yes,100-500 mm,non-calcareous,no ,yes,yes,no ,yes,no ,no ,Subcanopy,yes,yes,no,no,no,yes,no,intertidal,primary producer,,"conflict between worms and mauffrey et al whther it is turf or canopy. worms says canopy, Mauffrey et al says turf.",,,,,,no,Brown Algae,,,,no,perennial (one-ten years),no 
Clathromorphum circumscriptum,Rhodophyta,Algae,Red Algae,no,no,no,no,yes,no,no,,no,no,yes,yes,yes,100-500 mm,calcareous,no ,no ,yes,no ,no ,no ,yes,Crust,yes,yes,no,no,no,yes,yes,shared,primary producer,extreme slow (<1cm/year),,,,,,,no,Red Crust Algae,,,,no,perennial,yes
Coccotylus truncatus,Rhodophyta,Algae,Red Algae,no,yes,no,no,no,no,no,,yes,no,yes,yes,yes,100-500 mm,non-calcareous,no ,yes,yes,no ,yes,no ,no ,Subcanopy,yes,yes,no,no,no,no,yes,subtidal,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145654#attributes,,,,,no,Red Erect Algae,,,,,perennial,
Codium fragile,Chlorophyta,Algae,Green Algae,yes,yes,no,no,no,no,no,,yes,no,yes,yes,yes,100-500 mm,non-calcareous,yes,yes,no ,no ,yes,no ,no ,Subcanopy,yes,yes,yes,yes,yes,yes,yes,shared,primary producer,,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145086#attributes,,,,,no,Green Algae,,,,no,perennial,no 
Colpomenia peregrina,Ochrophyta,Algae,Brown Algae,yes,yes,no,no,no,yes,no,,no,yes,no,yes,no,10-100 mm,non-calcareous,no ,yes,no ,no ,yes,no ,no ,Subcanopy,yes,yes,yes,no,yes,yes,yes,shared,primary producer,high (5-15 cm/year),,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145856,,,,,no,Brown Algae,,,,no,ephemeral (less than a year or annual),no 
Corallina officinalis,Rhodophyta,Algae,Red Algae,no,yes,no,no,no,no,no,,yes,no,yes,yes,yes,100-500 mm,calcareous,no ,yes,yes,no ,yes,no ,no ,Subcanopy,yes,yes,no,no,no,yes,yes,shared,primary producer,moderate (>1 cm/year),"calcified, provides substratum for various epiphytes, and supports a diverse, species rich invertebrate community due to its provision of interstices and build up of sediment within its fronds. Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=145108#attributes,,,,,yes,Red Coralline Algae,,,,no,perennial (one-ten years),no 
