genus,species
Saccharina,latissima
Alaria,esculenta
Colpomenia,peregrina
Ascophyllum,nodosum
Ptilota,serrata
Porphyra,
Polysiphonia,
Palmaria,palmata
Mastocarpus,stellatus
Euthora,cristata
Cystoclonium,purpureum
Chondrus,crispus
Bonnemaisonia,hamifera
Codium,fragile
Lithophyllum ,
Hildenbrandia,rubra
Clathromorphum,circumscriptum
Ulva,lactuca
Desmarestia,aculeata
Desmarestia,viridis
Coccotylus,truncatus
Titanoderma,
Agarum,clathratum
Phymatolithon,lenormandii
Corallina,officinalis
Laminaria,digitata
Halosiphon,tomentosus
Dasysiphonia,japonica
Lithothamnion,
Phycodrys,rubens
Ceramium,
Polyides,rotunda
Spermothamnion,repens
Elachista,fucicola
Prasiola,stipitata
Leptophytum,acervatum
Lithophyllum,
Dumontia,contorta
Cyanobacteria,
Verrucaria,
Arthopyrenia,
Crisia,eburnea
Urticina,felina
Semibalanus,balanoides
Hiatella,arctica
Anomia,simplex
Placopecten,magellanicus
Mytilus,edulis
Modiolus,modiolus
Ostrea,edulis
Tricellaria,inopinata
Patinella,verrucaria
Crisularia,turrita
Bugulina,spicata
Dendrobeania,murrayana
Schizoporella,unicornis
Membranipora,membranacea
Boreochiton,ruber
Stenosemus,albus
Metridium,senile
Pachycerianthus,borealis
Anurida,maritima
Carcinus,maenus
Isopoda,
Homarus,americanus
Carcinus,maenas
Cancer,irroratus
Cancer,borealis
Amphipoda,
Echinarachnius,parma
Ophiopholis,aculeata
Cucumaria,frondosa
Tectura,testudinalis
Crepidula,fornicata
Littorina,saxatilis
Littorina,littorea
Littorina,obtusata
Nucella,lapillus
Thylacodes,
Lacuna,vincta
Buccinum,undatum
Testudinalia,testudinalis
Obelia,
Spirorbis,
Henricia,sanguinolenta
Asterias,rubens
Asterias,forbesi
Halichondria,panicea
Leucosolenia,
Halisarca,dujardinii
Hymedesmia,
Boltenia,ovifera
Botrylloides,violaceus
Diplosoma,listerianum
Ciona,savignyi
Dendrodoa,carnea
Didemnum,albidum
Didemnum,vexillum
Botryllus,schlosseri
Ciona,intestinalis
Boltenia,echinata
Aplidium,pallidum
Strongylocentrotus,droebachiensis
Tautogolabrus,adspersus
Pollachius,virens
Tautoga,onitis
Pseudopleuronectes,americanus
Urophycis,regia
Morone,saxatilis
Pholis,gunnellus
Myoxocephalus,octodecemspinosus
Myoxocephalus,scorpius
Cyclopterus,lumpus
