species,group,common_name_division_bgr,body_size_avg_bin,morphology1,dietary_pref_c,trophic_level,motility_juv,motility_adult,benthic,epibiotic,invasive,intertidal,subtidal
Urticina felina,Invertebrate,Anemone,medium,soft,predator,secondary consumer,motile,sessile,yes,yes,no,no,yes
Semibalanus balanoides,Invertebrate,Barnacle,small,calcareous,filter-suspension,primary consumer,motile,sessile,no,yes,no,yes,no
Anomia simplex,Invertebrate,Bivalve,small,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,yes,no
Hiatella arctica,Invertebrate,Bivalve,small-medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,yes,no
Modiolus modiolus,Invertebrate,Bivalve,medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,yes,yes
Mytilus edulis,Invertebrate,Bivalve,medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,yes,yes
Ostrea edulis,Invertebrate,Bivalve,small-medium,calcareous,filter-suspension,primary consumer,motile,sessile,no,yes,yes,yes,yes
Placopecten magellanicus,Invertebrate,Bivalve,medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,no,yes
Bugulina spicata,Invertebrate,Bryozoan,small-medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,yes,no,yes
Crisia eburnea,Invertebrate,Bryozoan,small,calcareous,filter-suspension,primary producer,motile,sessile,yes,yes,no,no,yes
Crisularia turrita,Invertebrate,Bryozoan,small-medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,no,yes
Dendrobeania murrayana,Invertebrate,Bryozoan,medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,no,yes
Membranipora membranacea,Invertebrate,Bryozoan,small-medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,yes,yes,yes
Patinella verrucaria,Invertebrate,Bryozoan,small-medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,no,yes
Schizoporella unicornis,Invertebrate,Bryozoan,small-medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,yes,yes
Tricellaria inopinata,Invertebrate,Bryozoan,small-medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,yes,no,yes
Boreochiton ruber,Invertebrate,Chiton,small,calcareous,herbivore,primary consumer,motile,motile,yes,yes,no,no,yes
Stenosemus albus,Invertebrate,Chiton,small,calcareous,herbivore,primary consumer,motile,motile,yes,no,no,no,yes
Metridium senile,Invertebrate,Cnidarian,medium-large,soft,filter-suspension,secondary consumer,motile,sessile,yes,yes,no,yes,no
Pachycerianthus borealis,Invertebrate,Cnidarian,medium-large,soft,filter-suspension,secondary consumer,motile,sessile,yes,no,no,no,yes
Amphipoda,Invertebrate,Crustacean,small,calcareous,filter-suspension,secondary consumer,motile,motile,yes,yes,NA,yes,no
Cancer borealis,Invertebrate,Crustacean,small-medium,calcareous,omnivore,secondary consumer,motile,motile,yes,no,no,yes,yes
Cancer irroratus,Invertebrate,Crustacean,small-medium,calcareous,omnivore,secondary consumer,motile,motile,yes,no,no,yes,yes
Carcinus maenus,Invertebrate,Crustacean,small-medium,calcareous,omnivore,secondary consumer,motile,motile,yes,yes,yes,yes,no
Homarus americanus,Invertebrate,Crustacean,medium-large,calcareous,predator,secondary consumer,motile,motile,yes,no,no,no,yes
Isopoda,Invertebrate,Crustacean,small,calcareous,herbivore,primary consumer,motile,motile,yes,no,NA,yes,no
Cucumaria frondosa,Invertebrate,Echinoderm,medium-large,calcareous,deposit feeder,decomposer,motile,motile,yes,no,no,no,yes
Echinarachnius parma,Invertebrate,Echinoderm,small-medium,calcareous,deposit feeder,decomposer,motile,motile,yes,no,no,no,yes
Ophiopholis aculeata,Invertebrate,Echinoderm,medium,calcareous,scavenger,secondary consumer,motile,motile,yes,no,no,no,yes
Strongylocentrotus droebachiensis,Invertebrate,Echinoderm,small-medium,calcareous,herbivore,primary consumer,motile,motile,yes,yes,no,yes,yes
Buccinum undatum,Invertebrate,Gastropod,small-medium,calcareous,predator,secondary consumer,motile,motile,yes,yes,no,no,yes
Crepidula fornicata,Invertebrate,Gastropod,small-medium,calcareous,filter-suspension,primary consumer,sessile,sessile,yes,yes,no,yes,yes
Lacuna vincta,Invertebrate,Gastropod,small,calcareous,filter-suspension,primary consumer,motile,motile,no,yes,no,yes,no
Littorina littorea,Invertebrate,Gastropod,small-medium,calcareous,herbivore,primary consumer,motile,motile,no,yes,yes,yes,no
Littorina obtusata,Invertebrate,Gastropod,small,calcareous,herbivore,primary consumer,motile,motile,no,yes,no,yes,no
Littorina saxatilis,Invertebrate,Gastropod,small-medium,calcareous,herbivore,primary consumer,motile,motile,yes,no,no,yes,no
Nucella lapillus,Invertebrate,Gastropod,small-medium,calcareous,predator,secondary consumer,motile,motile,no,yes,no,yes,no
Tectura testudinalis,Invertebrate,Gastropod,small,calcareous,herbivore,primary consumer,motile,motile,yes,no,no,yes,no
Testudinalia testudinalis,Invertebrate,Gastropod,small-medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,no,yes
Thylacodes,Invertebrate,Gastropod,NA,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,no,yes
Obelia,Invertebrate,Hydrozoan,medium-large,soft,filter-suspension,primary consumer,sessile,both,yes,yes,no,no,yes
Spirorbis,Invertebrate,Polychaete,very small,calcareous,filter-suspension,primary consumer,motile,sessile,no,yes,no,yes,no
Asterias forbesi,Invertebrate,Sea Stars,small-medium,calcareous,predator,secondary consumer,motile,motile,yes,no,no,yes,yes
Asterias rubens,Invertebrate,Sea Stars,medium-large,calcareous,predator,secondary consumer,motile,motile,yes,no,no,yes,yes
Henricia sanguinolenta,Invertebrate,Sea Stars,small-medium,calcareous,filter-suspension,primary consumer,motile,motile,yes,no,no,yes,yes
Halichondria panicea,Invertebrate,Sponge,medium,soft,filter-suspension,primary consumer,motile,sessile,yes,yes,no,no,yes
Halisarca dujardinii,Invertebrate,Sponge,NA,soft,filter-suspension,primary consumer,motile,sessile,yes,yes,no,no,yes
Hymedesmia,Invertebrate,Sponge,NA,soft,filter-suspension,primary consumer,motile,sessile,yes,yes,NA,no,yes
Leucosolenia,Invertebrate,Sponge,NA,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,NA,no,yes
Aplidium pallidum,Invertebrate,Tunicate,small-medium,soft,filter-suspension,primary consumer,motile,sessile,yes,no,no,no,yes
