"","Agarum clathratum","Alaria esculenta","Ascophyllum nodosum","Colpomenia peregrina","Desmarestia aculeata","Desmarestia viridis","Elachista fucicola","Halosiphon tomentosus","Laminaria digitata","Saccharina latissima","Saccorhiza dermatodea","Codium fragile","Prasiola stipitata","Ulva lactuca","Bonnemaisonia hamifera","Ceramium","Chondrus crispus","Clathromorphum circumscriptum","Coccotylus truncatus","Corallina officinalis","Cystoclonium purpureum","Dasysiphonia japonica","Dumontia contorta","Euthora cristata","Hildenbrandia rubra","Leptophytum acervatum","Lithophyllum ","Lithothamnion","Mastocarpus stellatus","Palmaria palmata","Phycodrys rubens","Phymatolithon lenormandii","Polyides rotunda","Polysiphonia","Porphyra","Ptilota serrata","Spermothamnion repens","Titanoderma"
"Agarum clathratum",0,0.634903047091413,0.715304709141274,0.903739612188366,0.785526315789474,0.785526315789474,0.948268698060942,0.785526315789474,0.646606648199446,0.614958448753463,0.545498614958449,0.88601108033241,0.910595567867036,0.98005540166205,0.955470914127424,0.783448753462604,0.88601108033241,0.88601108033241,0.837257617728532,0.98005540166205,0.88601108033241,0.837257617728532,0.926662049861496,0.955470914127424,0.88601108033241,0.906717451523546,0.837257617728532,0.837257617728532,0.88601108033241,0.955470914127424,0.837257617728532,0.98005540166205,0.837257617728532,0.955470914127424,0.88601108033241,0.88601108033241,0.906717451523546,0.837257617728532
"Alaria esculenta",0.634903047091413,0,0.580540166204986,0.807756232686981,0.923684210526316,0.923684210526316,0.813504155124654,0.923684210526316,0.665858725761773,0.518975069252078,0.568421052631579,0.90893351800554,0.933518005540166,0.884072022160665,0.859487534626039,0.802700831024931,0.90893351800554,0.90893351800554,0.975415512465374,0.884072022160665,0.90893351800554,0.975415512465374,0.90713296398892,0.859487534626039,0.90893351800554,0.925969529085873,0.975415512465374,0.975415512465374,0.90893351800554,0.859487534626039,0.975415512465374,0.884072022160665,0.975415512465374,0.859487534626039,0.90893351800554,0.90893351800554,0.925969529085873,0.975415512465374
"Ascophyllum nodosum",0.715304709141274,0.580540166204986,0,0.807756232686981,0.840443213296399,0.840443213296399,0.813504155124654,0.923684210526316,0.582617728531856,0.599376731301939,0.64882271468144,0.90893351800554,0.933518005540166,0.884072022160665,0.859487534626039,0.802700831024931,0.90893351800554,0.90893351800554,0.975415512465374,0.884072022160665,0.825692520775623,0.892174515235457,0.90713296398892,0.859487534626039,0.90893351800554,0.925969529085873,0.975415512465374,0.975415512465374,0.90893351800554,0.859487534626039,0.975415512465374,0.884072022160665,0.975415512465374,0.859487534626039,0.825692520775623,0.90893351800554,0.925969529085873,0.975415512465374
"Colpomenia peregrina",0.903739612188366,0.807756232686981,0.807756232686981,0,0.903739612188366,0.903739612188366,0.600831024930748,0.903739612188366,0.854293628808864,0.78781163434903,0.837257617728532,0.806094182825485,0.682063711911357,0.714127423822715,0.689542936288089,0.906024930747922,0.88898891966759,0.73898891966759,0.722576177285319,0.714127423822715,0.88898891966759,0.805470914127424,0.925969529085873,0.75803324099723,0.73898891966759,0.756024930747922,0.805470914127424,0.805470914127424,0.88898891966759,0.756648199445983,0.955470914127424,0.714127423822715,0.805470914127424,0.689542936288089,0.73898891966759,0.88898891966759,0.674515235457064,0.805470914127424
"Desmarestia aculeata",0.785526315789474,0.923684210526316,0.840443213296399,0.903739612188366,0,0.477839335180055,0.948268698060942,0.655470914127424,0.771745152354571,0.903739612188366,0.834279778393352,0.75595567867036,0.910595567867036,0.98005540166205,0.955470914127424,0.906717451523546,0.661565096952909,0.88601108033241,0.837257617728532,0.98005540166205,0.578324099722992,0.754016620498615,0.702216066481994,0.731024930747922,0.88601108033241,0.906717451523546,0.837257617728532,0.837257617728532,0.661565096952909,0.825415512465374,0.707202216066482,0.98005540166205,0.74286703601108,0.955470914127424,0.802770083102493,0.661565096952909,0.906717451523546,0.837257617728532
"Desmarestia viridis",0.785526315789474,0.923684210526316,0.840443213296399,0.903739612188366,0.477839335180055,0,0.948268698060942,0.655470914127424,0.771745152354571,0.903739612188366,0.834279778393352,0.75595567867036,0.910595567867036,0.98005540166205,0.955470914127424,0.906717451523546,0.661565096952909,0.88601108033241,0.837257617728532,0.98005540166205,0.578324099722992,0.754016620498615,0.702216066481994,0.731024930747922,0.88601108033241,0.906717451523546,0.837257617728532,0.837257617728532,0.661565096952909,0.825415512465374,0.707202216066482,0.98005540166205,0.74286703601108,0.955470914127424,0.802770083102493,0.661565096952909,0.906717451523546,0.837257617728532
"Elachista fucicola",0.948268698060942,0.813504155124654,0.813504155124654,0.600831024930748,0.948268698060942,0.948268698060942,0,0.860664819944598,0.89882271468144,0.832340720221607,0.881786703601108,0.933518005540166,0.67915512465374,0.711218836565097,0.646468144044321,0.862950138504155,0.933518005540166,0.783518005540166,0.85,0.711218836565097,0.933518005540166,0.762396121883657,0.931717451523546,0.802562326869806,0.783518005540166,0.800554016620499,0.85,0.85,0.933518005540166,0.884072022160665,1,0.711218836565097,0.85,0.646468144044321,0.783518005540166,0.933518005540166,0.631440443213296,0.85
"Halosiphon tomentosus",0.785526315789474,0.923684210526316,0.923684210526316,0.903739612188366,0.655470914127424,0.655470914127424,0.860664819944598,0,0.854986149584487,0.903739612188366,0.834279778393352,0.75595567867036,0.910595567867036,0.98005540166205,0.86786703601108,0.819113573407202,0.75595567867036,0.88601108033241,0.837257617728532,0.98005540166205,0.75595567867036,0.749653739612188,0.796606648199446,0.825415512465374,0.88601108033241,0.906717451523546,0.837257617728532,0.837257617728532,0.75595567867036,0.825415512465374,0.707202216066482,0.98005540166205,0.837257617728532,0.86786703601108,0.88601108033241,0.75595567867036,0.819113573407202,0.837257617728532
"Laminaria digitata",0.646606648199446,0.665858725761773,0.582617728531856,0.854293628808864,0.771745152354571,0.771745152354571,0.89882271468144,0.854986149584487,0,0.645914127423823,0.695360110803324,0.955470914127424,0.98005540166205,0.930609418282549,0.906024930747922,0.734002770083102,0.955470914127424,0.955470914127424,0.906717451523546,0.930609418282549,0.872229916897507,0.823476454293629,0.877216066481994,0.906024930747922,0.955470914127424,0.857271468144044,0.906717451523546,0.906717451523546,0.955470914127424,0.906024930747922,0.906717451523546,0.930609418282549,0.906717451523546,0.906024930747922,0.872229916897507,0.955470914127424,0.857271468144044,0.906717451523546
"Saccharina latissima",0.614958448753463,0.518975069252078,0.599376731301939,0.78781163434903,0.903739612188366,0.903739612188366,0.832340720221607,0.903739612188366,0.645914127423823,0,0.548476454293629,0.88898891966759,0.913573407202216,0.864127423822715,0.839542936288089,0.782756232686981,0.88898891966759,0.88898891966759,0.955470914127424,0.864127423822715,0.88898891966759,0.955470914127424,0.925969529085873,0.839542936288089,0.88898891966759,0.906024930747922,0.955470914127424,0.955470914127424,0.88898891966759,0.839542936288089,0.955470914127424,0.864127423822715,0.955470914127424,0.839542936288089,0.88898891966759,0.88898891966759,0.906024930747922,0.955470914127424
