"","Urticina felina","Semibalanus balanoides","Anomia simplex","Hiatella arctica","Modiolus modiolus","Mytilus edulis","Ostrea edulis","Placopecten magellanicus","Bugulina spicata","Crisia eburnea","Crisularia turrita","Dendrobeania murrayana","Membranipora membranacea","Patinella verrucaria","Schizoporella unicornis","Tricellaria inopinata","Boreochiton ruber","Stenosemus albus","Metridium senile","Pachycerianthus borealis","Amphipoda","Cancer borealis","Cancer irroratus","Carcinus maenus","Homarus americanus","Isopoda","Cucumaria frondosa","Echinarachnius parma","Ophiopholis aculeata","Strongylocentrotus droebachiensis","Buccinum undatum","Crepidula fornicata","Lacuna vincta","Littorina littorea","Littorina obtusata","Littorina saxatilis","Nucella lapillus","Tectura testudinalis","Testudinalia testudinalis","Thylacodes","Obelia","Spirorbis","Asterias forbesi","Asterias rubens","Henricia sanguinolenta","Halichondria panicea","Halisarca dujardinii","Hymedesmia","Leucosolenia","Aplidium pallidum","Boltenia echinata","Boltenia ovifera","Botrylloides violaceus","Botryllus schlosseri","Ciona intestinalis","Ciona savignyi","Dendrodoa carnea","Didemnum albidum","Didemnum vexillum","Diplosoma listerianum","Cyclopterus lumpus","Morone saxatilis","Myoxocephalus octodecemspinosus","Myoxocephalus scorpius","Pholis gunnellus","Pollachius virens","Pseudopleuronectes americanus","Tautoga onitis","Tautogolabrus adspersus","Urophycis regia"
"Urticina felina",0,0.844568288854003,0.827990580847724,0.827990580847724,0.726452119309262,0.726452119309262,0.842794348508634,0.677221350078493,0.776985871271586,0.751067503924647,0.751067503924647,0.677221350078493,0.826216640502355,0.751067503924647,0.800298273155416,0.776985871271586,0.806499215070644,0.851632653061224,0.694756671899529,0.662967032967033,0.840722135007849,0.832244897959184,0.832244897959184,0.840722135007849,0.71010989010989,0.928555729984301,0.851632653061224,0.851632653061224,0.709167974882261,0.855729984301413,0.664976452119309,0.80883830455259,0.9,0.925918367346939,0.9,0.928555729984301,0.758477237048666,0.928555729984301,0.751067503924647,0.751067503924647,0.750423861852433,0.844568288854003,0.759340659340659,0.759340659340659,0.900863422291994,0.612605965463108,0.612605965463108,0.612605965463108,0.677221350078493,0.731585557299843,0.686452119309262,0.686452119309262,0.638524332810047,0.687755102040816,0.712370486656201,0.663642072213501,0.686452119309262,0.686452119309262,0.770141287284144,0.712370486656201,0.665902668759812,0.665902668759812,0.665902668759812,0.665902668759812,0.592056514913658,0.665902668759812,0.665902668759812,0.665902668759812,0.665902668759812,0.665902668759812
"Semibalanus balanoides",0.844568288854003,0,0.48469387755102,0.558540031397174,0.632386185243328,0.632386185243328,0.582386185243328,0.697001569858713,0.722919937205651,0.669686028257457,0.697001569858713,0.697001569858713,0.658304552590267,0.697001569858713,0.632386185243328,0.722919937205651,0.730392464678179,0.77552590266876,0.654301412872841,0.837896389324961,0.612574568288854,0.831287284144427,0.831287284144427,0.738226059654631,0.895902668759812,0.637064364207221,0.895902668759812,0.895902668759812,0.895902668759812,0.739623233908948,0.850769230769231,0.640926216640502,0.464207221350078,0.615777080062794,0.516012558869702,0.710910518053375,0.636389324960754,0.637064364207221,0.697001569858713,0.697001569858713,0.810204081632653,0.482621664050235,0.831287284144427,0.831287284144427,0.732951334379906,0.746232339089482,0.746232339089482,0.746232339089482,0.697001569858713,0.791365777080063,0.672386185243328,0.746232339089482,0.772150706436421,0.707535321821036,0.772150706436421,0.704772370486656,0.672386185243328,0.672386185243328,0.642229199372056,0.772150706436421,0.965541601255887,0.965541601255887,0.965541601255887,0.965541601255887,0.965541601255887,0.965541601255887,0.965541601255887,0.965541601255887,0.965541601255887,0.965541601255887
"Anomia simplex",0.827990580847724,0.48469387755102,0,0.465604395604396,0.539450549450549,0.539450549450549,0.581946624803768,0.604065934065934,0.706342229199372,0.653108320251177,0.680423861852433,0.680423861852433,0.641726844583987,0.680423861852433,0.615808477237049,0.706342229199372,0.7138147566719,0.75894819466248,0.637723704866562,0.821318681318681,0.595996860282574,0.814709576138148,0.814709576138148,0.721648351648352,0.879324960753532,0.620486656200942,0.879324960753532,0.879324960753532,0.879324960753532,0.723045525902669,0.834191522762951,0.624348508634223,0.540125588697017,0.691695447409733,0.591930926216641,0.694332810047096,0.712307692307692,0.620486656200942,0.680423861852433,0.680423861852433,0.793626373626374,0.558540031397174,0.814709576138148,0.814709576138148,0.716373626373626,0.729654631083202,0.729654631083202,0.729654631083202,0.680423861852433,0.774788069073783,0.655808477237049,0.729654631083202,0.755572998430141,0.690957613814757,0.755572998430141,0.780690737833595,0.655808477237049,0.655808477237049,0.625651491365777,0.755572998430141,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608
"Hiatella arctica",0.827990580847724,0.558540031397174,0.465604395604396,0,0.539450549450549,0.539450549450549,0.514835164835165,0.604065934065934,0.639230769230769,0.726954474097331,0.61331240188383,0.680423861852433,0.574615384615385,0.61331240188383,0.548697017268446,0.639230769230769,0.787660910518053,0.832794348508634,0.637723704866562,0.821318681318681,0.669843014128728,0.747598116169545,0.747598116169545,0.654536891679749,0.879324960753532,0.694332810047096,0.879324960753532,0.812213500784929,0.879324960753532,0.655934065934066,0.767080062794348,0.55723704866562,0.613971742543171,0.62458398744113,0.665777080062794,0.627221350078493,0.645196232339089,0.694332810047096,0.61331240188383,0.61331240188383,0.793626373626374,0.558540031397174,0.747598116169545,0.814709576138148,0.649262166405024,0.729654631083202,0.729654631083202,0.729654631083202,0.680423861852433,0.70767660910518,0.729654631083202,0.6625431711146,0.755572998430141,0.690957613814757,0.688461538461538,0.780690737833595,0.729654631083202,0.729654631083202,0.699497645211931,0.755572998430141,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608
"Modiolus modiolus",0.726452119309262,0.632386185243328,0.539450549450549,0.539450549450549,0,0.437912087912088,0.55425431711146,0.502527472527472,0.678649921507064,0.699262166405024,0.652731554160126,0.578885400313972,0.61403453689168,0.652731554160126,0.588116169544741,0.678649921507064,0.759968602825746,0.805102040816327,0.711569858712716,0.793626373626374,0.743689167974882,0.78701726844584,0.78701726844584,0.795494505494506,0.851632653061224,0.76817896389325,0.851632653061224,0.851632653061224,0.777786499215071,0.695353218210361,0.806499215070644,0.596656200941915,0.687817896389325,0.765541601255887,0.739623233908948,0.76817896389325,0.786153846153846,0.76817896389325,0.652731554160126,0.652731554160126,0.765934065934066,0.632386185243328,0.78701726844584,0.78701726844584,0.688681318681319,0.628116169544741,0.628116169544741,0.628116169544741,0.578885400313972,0.747095761381476,0.701962323390895,0.701962323390895,0.65403453689168,0.589419152276295,0.727880690737834,0.679152276295133,0.701962323390895,0.701962323390895,0.671805337519623,0.727880690737834,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573,0.847425431711146,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573
"Mytilus edulis",0.726452119309262,0.632386185243328,0.539450549450549,0.539450549450549,0.437912087912088,0,0.55425431711146,0.502527472527472,0.678649921507064,0.699262166405024,0.652731554160126,0.578885400313972,0.61403453689168,0.652731554160126,0.588116169544741,0.678649921507064,0.759968602825746,0.805102040816327,0.711569858712716,0.793626373626374,0.743689167974882,0.78701726844584,0.78701726844584,0.795494505494506,0.851632653061224,0.76817896389325,0.851632653061224,0.851632653061224,0.777786499215071,0.695353218210361,0.806499215070644,0.596656200941915,0.687817896389325,0.765541601255887,0.739623233908948,0.76817896389325,0.786153846153846,0.76817896389325,0.652731554160126,0.652731554160126,0.765934065934066,0.632386185243328,0.78701726844584,0.78701726844584,0.688681318681319,0.628116169544741,0.628116169544741,0.628116169544741,0.578885400313972,0.747095761381476,0.701962323390895,0.701962323390895,0.65403453689168,0.589419152276295,0.727880690737834,0.679152276295133,0.701962323390895,0.701962323390895,0.671805337519623,0.727880690737834,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573,0.847425431711146,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573
"Ostrea edulis",0.842794348508634,0.582386185243328,0.581946624803768,0.514835164835165,0.55425431711146,0.55425431711146,0,0.618869701726845,0.553846153846154,0.741758241758242,0.628116169544741,0.695227629513344,0.489230769230769,0.628116169544741,0.563500784929356,0.553846153846154,0.802464678178964,0.847598116169545,0.754065934065934,0.836122448979592,0.685996860282575,0.762401883830455,0.762401883830455,0.670690737833595,0.894128728414443,0.810675039246468,0.894128728414443,0.82701726844584,0.894128728414443,0.670737833594976,0.781883830455259,0.572040816326531,0.637817896389325,0.548241758241758,0.689623233908948,0.743563579277865,0.669042386185243,0.810675039246468,0.628116169544741,0.628116169544741,0.808430141287284,0.582386185243328,0.762401883830455,0.829513343799058,0.664065934065934,0.744458398744113,0.744458398744113,0.744458398744113,0.695227629513344,0.722480376766091,0.744458398744113,0.67734693877551,0.670188383045526,0.605572998430141,0.603076923076923,0.602810047095761,0.744458398744113,0.744458398744113,0.614113029827316,0.670188383045526,0.963767660910518,0.963767660910518,0.963767660910518,0.963767660910518,0.963767660910518,0.963767660910518,0.963767660910518,0.963767660910518,0.963767660910518,0.963767660910518
"Placopecten magellanicus",0.677221350078493,0.697001569858713,0.604065934065934,0.604065934065934,0.502527472527472,0.502527472527472,0.618869701726845,0,0.629419152276295,0.650031397174254,0.603500784929356,0.529654631083202,0.678649921507064,0.603500784929356,0.652731554160126,0.629419152276295,0.710737833594976,0.755871271585557,0.7761852433281,0.744395604395604,0.808304552590267,0.851632653061224,0.851632653061224,0.86010989010989,0.802401883830455,0.832794348508634,0.802401883830455,0.802401883830455,0.728555729984301,0.759968602825746,0.757268445839874,0.6612715855573,0.75243328100471,0.830156985871272,0.804238618524333,0.832794348508634,0.850769230769231,0.832794348508634,0.603500784929356,0.603500784929356,0.716703296703297,0.697001569858713,0.851632653061224,0.851632653061224,0.753296703296703,0.578885400313972,0.578885400313972,0.578885400313972,0.529654631083202,0.697864992150706,0.652731554160126,0.652731554160126,0.604803767660911,0.65403453689168,0.678649921507064,0.629921507064364,0.652731554160126,0.652731554160126,0.736420722135008,0.678649921507064,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.798194662480377,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531
"Bugulina spicata",0.776985871271586,0.722919937205651,0.706342229199372,0.639230769230769,0.678649921507064,0.678649921507064,0.553846153846154,0.629419152276295,0,0.600031397174254,0.486389324960754,0.553500784929357,0.461350078492936,0.486389324960754,0.535620094191523,0.412119309262166,0.736656200941915,0.781789638932496,0.802103610675039,0.770313971742543,0.73403453689168,0.81043956043956,0.81043956043956,0.7187284144427,0.828320251177394,0.858712715855573,0.828320251177394,0.761208791208791,0.828320251177394,0.718775510204082,0.71607535321821,0.620078492935636,0.778351648351648,0.688775510204082,0.830156985871272,0.79160125588697,0.809576138147567,0.858712715855573,0.562307692307692,0.562307692307692,0.742621664050235,0.722919937205651,0.81043956043956,0.877551020408163,0.712103610675039,0.678649921507064,0.678649921507064,0.678649921507064,0.629419152276295,0.656671899529042,0.678649921507064,0.611538461538461,0.604379905808477,0.653610675039246,0.537268445839874,0.629497645211931,0.678649921507064,0.678649921507064,0.662150706436421,0.604379905808477,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469
"Crisia eburnea",0.751067503924647,0.669686028257457,0.653108320251177,0.726954474097331,0.699262166405024,0.699262166405024,0.741758241758242,0.650031397174254,0.600031397174254,0,0.574113029827316,0.574113029827316,0.649262166405024,0.574113029827316,0.623343799058085,0.600031397174254,0.683422291993721,0.728555729984301,0.7761852433281,0.744395604395604,0.734458398744113,0.851632653061224,0.851632653061224,0.86010989010989,0.802401883830455,0.805478806907378,0.802401883830455,0.802401883830455,0.802401883830455,0.806499215070644,0.757268445839874,0.707802197802198,0.725117739403454,0.876687598116169,0.776923076923077,0.879324960753532,0.850769230769231,0.805478806907378,0.650031397174254,0.650031397174254,0.763233908948195,0.743532182103611,0.851632653061224,0.851632653061224,0.799827315541601,0.699262166405024,0.699262166405024,0.699262166405024,0.650031397174254,0.744395604395604,0.62541601255887,0.699262166405024,0.725180533751962,0.774411302982732,0.725180533751962,0.750298273155416,0.62541601255887,0.62541601255887,0.709105180533752,0.725180533751962,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531
