"","Urticina felina","Metridium dianthus","Diadumene lineata","Semibalanus balanoides","Ostrea edulis","Anomia simplex","Hiatella arctica","Modiolus modiolus","Mytilus edulis","Placopecten magellanicus","Mya arenaria","Bugulina spicata","Crisia eburnea","Crisularia turrita","Dendrobeania murrayana","Membranipora membranacea","Patinella verrucaria","Schizoporella unicornis","Tricellaria inopinata","Cryptosula pallasiana","Electra pilosa","Bugula neritina","Celleporella hyalina","Flustrellidra hispida","Boreochiton ruber","Stenosemus albus","Pachycerianthus borealis","Metridium senile","Amphipoda","Cancer borealis","Cancer irroratus","Carcinus maenus","Homarus americanus","Pagurus acadianus","Hemigrapsus sanguineus","Isopoda","Cucumaria frondosa","Echinarachnius parma","Ophiopholis aculeata","Strongylocentrotus droebachiensis","Lacuna vincta","Littorina littorea","Littorina obtusata","Nudibranchia","Gastropoda","Nucella lapillus","Buccinum undatum","Crepidula fornicata","Littorina saxatilis","Tectura testudinalis","Testudinalia testudinalis","Thylacodes","Dynamena pumila","Obelia","Spirorbis","Sedentary Polychaete","Annelida","Asterias forbesi","Asterias rubens","Henricia sanguinolenta","Halichondria panicea","Halisarca dujardinii","Hymedesmia","Leucosolenia","Aplidium pallidum","Ciona savignyi","Boltenia echinata","Boltenia ovifera","Botrylloides violaceus","Botryllus schlosseri","Ciona intestinalis","Dendrodoa carnea","Didemnum albidum","Didemnum vexillum","Diplosoma listerianum","Small worm","Cyclopterus lumpus","Morone saxatilis","Myoxocephalus octodecemspinosus","Myoxocephalus scorpius","Pholis gunnellus","Pollachius virens","Pseudopleuronectes americanus","Tautoga onitis","Tautogolabrus adspersus","Urophycis regia","Gaidropsarus"
"Urticina felina",0,0.642428122808622,0.613890667398396,0.849649887699828,0.846804272487982,0.836153541266502,0.836153541266502,0.749087878695489,0.749087878695489,0.710631421689686,0.852668272406679,0.794851469048853,0.769159628850473,0.769159628850473,0.710631421689686,0.833307926054656,0.769159628850473,0.807616085856276,0.794851469048853,0.807616085856276,0.807616085856276,0.833307926054656,0.807616085856276,0.807616085856276,0.82363283433438,0.868685020884783,0.738477799119892,0.760419524985518,0.851885728223421,0.868400459363599,0.868400459363599,0.877577568421801,0.781487240464648,0.896937914773824,0.922629754972204,0.935678933300812,0.868685020884783,0.868685020884783,0.771415795197008,0.862089291340183,0.904123093183735,0.929814933382115,0.904123093183735,0.737898513166052,0.862089291340183,0.8169253127636,0.736435053914245,0.814526865656473,0.935678933300812,0.935678933300812,0.769159628850473,0.769159628850473,0.836153541266502,0.793550616380581,0.849649887699828,0.77062308810228,0.89584032033497,0.819943697470451,0.819943697470451,0.907141477890586,0.673638423935689,0.732166631096477,0.673638423935689,0.769159628850473,0.77721881764688,0.719737390367593,0.732166631096477,0.732166631096477,0.699330264134069,0.737786721139872,0.757858471294857,0.732166631096477,0.732166631096477,0.803225708100857,0.757858471294857,0.87014848013659,0.762716342977936,0.762716342977936,0.762716342977936,0.762716342977936,0.704188135817149,0.762716342977936,0.762716342977936,0.762716342977936,0.762716342977936,0.762716342977936,0.788408183176316
"Metridium dianthus",0.642428122808622,0,0.585180442493165,0.76715753529071,0.7536205372115,0.753661188857384,0.689187678486133,0.778905860951045,0.778905860951045,0.836153541266502,0.759484537130197,0.797371871093631,0.836153541266502,0.771680030895251,0.836153541266502,0.740124190778174,0.771680030895251,0.714432350579794,0.797371871093631,0.714432350579794,0.714432350579794,0.740124190778174,0.714432350579794,0.714432350579794,0.890626746750409,0.935678933300812,0.805471711535921,0.6779271725764,0.769393375814303,0.775216724087117,0.775216724087117,0.730611705641432,0.848481152880677,0.749972051993455,0.775663892191835,0.853186580891694,0.935678933300812,0.871205422929561,0.896937914773824,0.768905556063701,0.821630740774617,0.782849070601746,0.821630740774617,0.709188288260821,0.833379066434952,0.669959449983231,0.738955455959023,0.721343130379991,0.788713070520443,0.853186580891694,0.771680030895251,0.771680030895251,0.753661188857384,0.86054452879661,0.76715753529071,0.741912863197049,0.867130095429739,0.726759962193969,0.79123347256522,0.813957742614104,0.799160543512505,0.799160543512505,0.799160543512505,0.771680030895251,0.779739219691657,0.845259509944409,0.799160543512505,0.734687033141254,0.824852383710885,0.767604703395429,0.760378873339634,0.799160543512505,0.799160543512505,0.774515483195626,0.824852383710885,0.841438255231359,0.829710255393965,0.829710255393965,0.829710255393965,0.829710255393965,0.829710255393965,0.829710255393965,0.829710255393965,0.829710255393965,0.829710255393965,0.829710255393965,0.855402095592345
"Diadumene lineata",0.613890667398396,0.585180442493165,0,0.732410540971778,0.789556592172526,0.718914194538451,0.778905860951045,0.750368405540819,0.750368405540819,0.807616085856276,0.795420592091222,0.833307926054656,0.747624419443682,0.807616085856276,0.807616085856276,0.776060245739199,0.807616085856276,0.750368405540819,0.833307926054656,0.750368405540819,0.750368405540819,0.776060245739199,0.750368405540819,0.750368405540819,0.802097624927589,0.847149811477992,0.776934256125695,0.703171844670061,0.734646381495371,0.811152779048142,0.811152779048142,0.820329888106345,0.819943697470451,0.839690234458368,0.865382074656748,0.818439586572761,0.907141477890586,0.907141477890586,0.868400459363599,0.804841611024726,0.786883746455685,0.872567253066658,0.786883746455685,0.620659166438001,0.744849944612132,0.759677632448144,0.774891510920048,0.757279185341016,0.878431252985355,0.818439586572761,0.807616085856276,0.807616085856276,0.718914194538451,0.832007073386384,0.792402207384372,0.653383741374229,0.778600973606919,0.762696017154995,0.762696017154995,0.849893797575129,0.77062308810228,0.710631421689686,0.77062308810228,0.807616085856276,0.815675274652683,0.816722054534183,0.710631421689686,0.77062308810228,0.79631492830066,0.739067247985203,0.79631492830066,0.710631421689686,0.710631421689686,0.685986361372806,0.79631492830066,0.812900799821133,0.801172799983739,0.801172799983739,0.801172799983739,0.801172799983739,0.801172799983739,0.801172799983739,0.801172799983739,0.801172799983739,0.801172799983739,0.801172799983739,0.826864640182119
"Semibalanus balanoides",0.849649887699828,0.76715753529071,0.732410540971778,0,0.655995609622245,0.557913351016799,0.617905017429393,0.643149689523055,0.643149689523055,0.700397369838511,0.688201876073458,0.726089210036891,0.687693730499914,0.700397369838511,0.700397369838511,0.668841529721435,0.700397369838511,0.643149689523055,0.726089210036891,0.643149689523055,0.643149689523055,0.668841529721435,0.643149689523055,0.643149689523055,0.747400835391323,0.792453021941726,0.842180147768733,0.714635608809212,0.659674583574702,0.842485035112859,0.842485035112859,0.797880016667175,0.899732715428316,0.817240363019198,0.842932203217578,0.709960669532608,0.899732715428316,0.899732715428316,0.899732715428316,0.75014482148846,0.599540636401516,0.737746069493989,0.652062562883015,0.786883746455685,0.690153155075866,0.759342256369605,0.854680528877913,0.650060469323252,0.769952335945202,0.709960669532608,0.700397369838511,0.700397369838511,0.557913351016799,0.811223919428438,0.605059097330203,0.632600587416283,0.757817819648973,0.842485035112859,0.842485035112859,0.742675081557365,0.749839934144334,0.68984826773174,0.749839934144334,0.700397369838511,0.794892120694737,0.769596634043721,0.68984826773174,0.749839934144334,0.775531774342714,0.718284094027257,0.775531774342714,0.68984826773174,0.68984826773174,0.66520320741486,0.775531774342714,0.891927599418681,0.967397380001423,0.967397380001423,0.967397380001423,0.967397380001423,0.967397380001423,0.967397380001423,0.967397380001423,0.967397380001423,0.967397380001423,0.967397380001423,0.993089220199803
"Ostrea edulis",0.846804272487982,0.7536205372115,0.789556592172526,0.655995609622245,0,0.598707277660904,0.534233767289653,0.570169822250678,0.570169822250678,0.627417502566135,0.55074849842983,0.609988109393579,0.744839781700662,0.633078244255414,0.697551754626665,0.552740429078122,0.633078244255414,0.575830563939957,0.609988109393579,0.575830563939957,0.575830563939957,0.552740429078122,0.575830563939957,0.575830563939957,0.804546886592071,0.849599073142474,0.839334532556887,0.765572121101253,0.770602762279338,0.775165909529762,0.775165909529762,0.73556104352775,0.89688710021647,0.803703364939988,0.780613230078153,0.820888848237243,0.89688710021647,0.832413589845219,0.89688710021647,0.682825695905363,0.710468815106152,0.675427096354564,0.76299074158765,0.844029797656433,0.747299206276614,0.745805258290395,0.787361403294816,0.582741343740155,0.756415337865992,0.820888848237243,0.633078244255414,0.633078244255414,0.668841529721435,0.808378304216592,0.655995609622245,0.689746638617031,0.766181895789506,0.775165909529762,0.839639419901013,0.675355955974267,0.746994318932488,0.746994318932488,0.746994318932488,0.633078244255414,0.72757299511164,0.71796904377166,0.746994318932488,0.682520808561237,0.723904184070652,0.666656503755196,0.659430673699401,0.746994318932488,0.746994318932488,0.673567283555393,0.723904184070652,0.889081984206836,0.964551764789577,0.964551764789577,0.964551764789577,0.964551764789577,0.964551764789577,0.964551764789577,0.964551764789577,0.964551764789577,0.964551764789577,0.964551764789577,0.941461629927742
"Anomia simplex",0.836153541266502,0.753661188857384,0.718914194538451,0.557913351016799,0.598707277660904,0,0.534274418935537,0.559519091029198,0.559519091029198,0.616766771344655,0.604571277579601,0.712592863603565,0.674197384066587,0.686901023405185,0.686901023405185,0.655345183288108,0.686901023405185,0.629653343089728,0.712592863603565,0.629653343089728,0.629653343089728,0.655345183288108,0.629653343089728,0.629653343089728,0.733904488957997,0.7789566755084,0.828683801335407,0.701139262375885,0.646178237141376,0.828988688679533,0.828988688679533,0.784383670233849,0.88623636899499,0.803744016585872,0.829435856784252,0.696464323099282,0.88623636899499,0.88623636899499,0.88623636899499,0.736648475055134,0.612386556500706,0.750591989593179,0.664908482982205,0.773387400022358,0.67665680864254,0.772188176468795,0.841184182444587,0.636564122889925,0.756455989511875,0.696464323099282,0.686901023405185,0.686901023405185,0.544417004583473,0.797727572995112,0.617905017429393,0.619104240982957,0.744321473215647,0.828988688679533,0.828988688679533,0.729178735124038,0.736343587711007,0.676351921298413,0.736343587711007,0.686901023405185,0.78139577426141,0.782442554142911,0.676351921298413,0.736343587711007,0.762035427909387,0.704787747593931,0.762035427909387,0.676351921298413,0.676351921298413,0.651706860981534,0.762035427909387,0.878431252985355,0.953901033568097,0.953901033568097,0.953901033568097,0.953901033568097,0.953901033568097,0.953901033568097,0.953901033568097,0.953901033568097,0.953901033568097,0.953901033568097,0.979592873766477
"Hiatella arctica",0.836153541266502,0.689187678486133,0.778905860951045,0.617905017429393,0.534233767289653,0.534274418935537,0,0.559519091029198,0.559519091029198,0.616766771344655,0.54009776720835,0.648119353232314,0.734189050479181,0.622427513033934,0.686901023405185,0.590871672916857,0.622427513033934,0.565179832718477,0.648119353232314,0.565179832718477,0.565179832718477,0.590871672916857,0.565179832718477,0.565179832718477,0.79389615537059,0.838948341920994,0.828683801335407,0.701139262375885,0.70616990355397,0.764515178308282,0.764515178308282,0.719910159862597,0.88623636899499,0.73927050621462,0.764962346413,0.756455989511875,0.88623636899499,0.821762858623739,0.88623636899499,0.672174964683883,0.6723782229133,0.686118479221927,0.724900149394799,0.833379066434952,0.736648475055134,0.707714666097544,0.776710672073336,0.572090612518674,0.691982479140624,0.756455989511875,0.622427513033934,0.622427513033934,0.604408670996067,0.797727572995112,0.617905017429393,0.679095907395551,0.804313139628241,0.764515178308282,0.828988688679533,0.664705224752787,0.736343587711007,0.736343587711007,0.736343587711007,0.622427513033934,0.716922263890159,0.782442554142911,0.736343587711007,0.671870077339756,0.762035427909387,0.704787747593931,0.697561917538136,0.736343587711007,0.736343587711007,0.711698527394128,0.762035427909387,0.878431252985355,0.953901033568097,0.953901033568097,0.953901033568097,0.953901033568097,0.953901033568097,0.953901033568097,0.953901033568097,0.953901033568097,0.953901033568097,0.953901033568097,0.979592873766477
"Modiolus modiolus",0.749087878695489,0.778905860951045,0.750368405540819,0.643149689523055,0.570169822250678,0.559519091029198,0.559519091029198,0,0.472453428458185,0.529701108773641,0.576033822169375,0.684055408193339,0.705651595068955,0.658363567994959,0.599835360834172,0.626807727877883,0.658363567994959,0.601115887679502,0.684055408193339,0.601115887679502,0.601115887679502,0.626807727877883,0.601115887679502,0.601115887679502,0.765358699960365,0.810410886510768,0.800146345925181,0.726383934469547,0.731414575647632,0.800451233269307,0.800451233269307,0.80962834232751,0.857698913584764,0.828988688679533,0.854680528877913,0.781700661605537,0.857698913584764,0.857698913584764,0.799170706423976,0.708111019644908,0.697622895006962,0.77583666168684,0.75014482148846,0.804841611024726,0.708111019644908,0.797432848562456,0.812646727034361,0.6080266674797,0.781700661605537,0.781700661605537,0.658363567994959,0.658363567994959,0.629653343089728,0.769190117584886,0.643149689523055,0.650558451985325,0.775775684218015,0.800451233269307,0.800451233269307,0.700641279713812,0.649277925139994,0.707806132300781,0.649277925139994,0.658363567994959,0.752858318851184,0.695376891571898,0.707806132300781,0.707806132300781,0.674969765338374,0.617722085022917,0.733497972499161,0.707806132300781,0.707806132300781,0.683161071983902,0.733497972499161,0.849893797575129,0.925363578157871,0.925363578157871,0.925363578157871,0.925363578157871,0.866835370997083,0.925363578157871,0.925363578157871,0.925363578157871,0.925363578157871,0.925363578157871,0.951055418356251
"Mytilus edulis",0.749087878695489,0.778905860951045,0.750368405540819,0.643149689523055,0.570169822250678,0.559519091029198,0.559519091029198,0.472453428458185,0,0.529701108773641,0.576033822169375,0.684055408193339,0.705651595068955,0.658363567994959,0.599835360834172,0.626807727877883,0.658363567994959,0.601115887679502,0.684055408193339,0.601115887679502,0.601115887679502,0.626807727877883,0.601115887679502,0.601115887679502,0.765358699960365,0.810410886510768,0.800146345925181,0.726383934469547,0.731414575647632,0.800451233269307,0.800451233269307,0.80962834232751,0.857698913584764,0.828988688679533,0.854680528877913,0.781700661605537,0.857698913584764,0.857698913584764,0.799170706423976,0.708111019644908,0.697622895006962,0.77583666168684,0.75014482148846,0.804841611024726,0.708111019644908,0.797432848562456,0.812646727034361,0.6080266674797,0.781700661605537,0.781700661605537,0.658363567994959,0.658363567994959,0.629653343089728,0.769190117584886,0.643149689523055,0.650558451985325,0.775775684218015,0.800451233269307,0.800451233269307,0.700641279713812,0.649277925139994,0.707806132300781,0.649277925139994,0.658363567994959,0.752858318851184,0.695376891571898,0.707806132300781,0.707806132300781,0.674969765338374,0.617722085022917,0.733497972499161,0.707806132300781,0.707806132300781,0.683161071983902,0.733497972499161,0.849893797575129,0.925363578157871,0.925363578157871,0.925363578157871,0.925363578157871,0.866835370997083,0.925363578157871,0.925363578157871,0.925363578157871,0.925363578157871,0.925363578157871,0.951055418356251
"Placopecten magellanicus",0.710631421689686,0.836153541266502,0.807616085856276,0.700397369838511,0.627417502566135,0.616766771344655,0.616766771344655,0.529701108773641,0.529701108773641,0,0.633281502484832,0.645598951187536,0.667195138063152,0.619907110989156,0.561378903828369,0.684055408193339,0.619907110989156,0.658363567994959,0.645598951187536,0.658363567994959,0.658363567994959,0.684055408193339,0.658363567994959,0.658363567994959,0.726902242954562,0.771954429504965,0.761689888919378,0.783631614785004,0.788662255963088,0.857698913584764,0.857698913584764,0.866876022642967,0.819242456578961,0.88623636899499,0.91192820919337,0.838948341920994,0.819242456578961,0.819242456578961,0.760714249418173,0.765358699960365,0.754870575322418,0.833084342002297,0.807392501803917,0.862089291340183,0.765358699960365,0.854680528877913,0.774190270028558,0.665274347795156,0.838948341920994,0.838948341920994,0.619907110989156,0.619907110989156,0.686901023405185,0.730733660579083,0.700397369838511,0.707806132300781,0.833023364533472,0.857698913584764,0.857698913584764,0.757888960029269,0.610821468134191,0.669349675294978,0.610821468134191,0.619907110989156,0.714401861845381,0.656920434566094,0.669349675294978,0.669349675294978,0.636513308332571,0.674969765338374,0.695041515493358,0.669349675294978,0.669349675294978,0.740408752299359,0.695041515493358,0.907141477890586,0.886907121152068,0.886907121152068,0.886907121152068,0.886907121152068,0.82837891399128,0.886907121152068,0.886907121152068,0.886907121152068,0.886907121152068,0.886907121152068,0.912598961350448
