"species","group","common_name_division_bgr","turf_subcanopy_canopy_algae","steneck_dethier_morphology_algae","body_size_avg_bin","benthic","epibiotic","intertidal","subtidal"
"Phymatolithon lenormandii","Algae","Red Algae","Turf","crustose algae","medium","yes","yes","yes","no"
"Prasiola stipitata","Algae","Green Algae","Turf","foliose algae","small-medium","yes","no","yes","no"
"Ascophyllum nodosum","Algae","Brown Algae","Canopy","leathery macrophyte","large","no","yes","yes","yes"
"Hildenbrandia rubra","Algae","Red Algae","Turf","crustose algae","medium","yes","no","yes","yes"
"Fucus vesiculosus","Algae","Brown Algae","Canopy","leathery macrophyte","large","yes","no","yes","no"
"Mastocarpus stellatus","Algae","Red Algae","Subcanopy","corticated macrophyte","medium","yes","no","yes","yes"
"Chondrus crispus","Algae","Red Algae","Subcanopy","corticated macrophyte","medium","yes","no","yes","yes"
"Saccharina latissima","Algae","Brown Algae","Canopy","leathery macrophyte","very large","yes","yes","yes","yes"
"Ulva lactuca","Algae","Green Algae","Turf","foliose algae","medium-large","yes","yes","yes","no"
"Corallina officinalis","Algae","Red Algae","Turf","articulated coralline","medium","yes","yes","yes","no"
"Fucus distichus","Algae","Brown Algae","Canopy","leathery macrophyte","large","yes","no","yes","no"
"Ceramium virgatum","Algae","Red Algae","Turf","foliose algae","medium-large","yes","yes","yes","yes"
"Clathromorphum circumscriptum","Algae","Red Algae","Turf","crustose algae","unknown","yes","no","yes","yes"
"Ulva intestinalis","Algae","Green Algae","Turf","foliose algae","medium","yes","yes","yes","no"
"Plumaria plumosa","Algae","Red Algae","Turf","crustose algae","medium","yes","yes","yes","yes"
"Palmaria palmata","Algae","Red Algae","Subcanopy","corticated foliose","medium-large","yes","yes","yes","yes"
"Alaria esculenta","Algae","Brown Algae","Canopy","leathery macrophyte","very large","no","yes","yes","yes"
"Polysiphonia","Algae","Red Algae","Turf","filamentous","medium-large","yes","yes","yes","yes"
"Porphyra","Algae","Red Algae","Turf","foliose algae","large","yes","no","yes","yes"
"Ahnfeltia plicata","Algae","Green Algae","Canopy","leathery macrophyte","medium","yes","no","yes","yes"
"Chaetomorpha ligustica","Algae","Green Algae","Canopy","leathery macrophyte","large","no","yes","yes","yes"
"Pylaiella littoralis","Algae","Brown Algae","Subcanopy","corticated macrophyte","medium","yes","yes","yes","yes"
"Leathesia marina","Algae","Brown Algae","Turf","corticated foliose","medium","yes","yes","yes","yes"
"Spongomorpha aeruginosa","Algae","Green Algae","Subcanopy","corticated foliose","large","no","yes","yes","no"
"Elachista fucicola","Algae","Brown Algae","Turf","filamentous","small-medium","no","yes","yes","no"
"Ptilota serrata","Algae","Red Algae","Subcanopy","corticated macrophyte","medium-large","yes","no","yes","yes"
"Cystoclonium purpureum","Algae","Red Algae","Subcanopy","corticated macrophyte","large","yes","no","yes","yes"
"Chordaria flagelliformis","Algae","Brown Algae","Subcanopy","corticated macrophyte","large","no","yes","yes","yes"
"Bonnemaisonia hamifera","Algae","Red Algae","Turf","filamentous","medium-large","yes","yes","yes","yes"
"Codium fragile","Algae","Green Algae","Subcanopy","corticated foliose","medium-large","yes","no","yes","yes"
"Euthora cristata","Algae","Red Algae","Subcanopy","corticated macrophyte","small-medium","yes","yes","yes","yes"
"Vertebrata lanosa","Algae","Red Algae","Turf","corticated filamentous","large","yes","yes","yes","no"
"Saccorhiza dermatodea","Algae","Brown Algae","Canopy","leathery macrophyte","very large","yes","no","yes","yes"
"Petalonia fascia","Algae","Brown Algae","Turf","foliose algae","small-medium","yes","yes","yes","no"
"Dumontia contorta","Algae","Red Algae","Subcanopy","corticated macrophyte","medium","no","yes","no","yes"
