"","species","group","common_name_division_bgr","body_size_avg_bin","morphology1","dietary_pref_c","trophic_level","motility_juv","motility_adult","benthic","epibiotic","invasive","intertidal","subtidal"
"1","Cryptosula pallasiana","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes"
"2","Semibalanus balanoides","Invertebrate","Barnacle","small","calcareous","filter-suspension","primary consumer","motile","sessile","no","yes","no","yes","no"
"3","Mytilus edulis","Invertebrate","Bivalve","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes"
"4","Modiolus modiolus","Invertebrate","Bivalve","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes"
"5","Halichondria panicea","Invertebrate","Sponge","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"6","Metridium dianthus","Invertebrate","Anemone","small-medium","soft","predator","secondary consumer","motile","sessile","yes","yes","no","yes","no"
"7","Anomia simplex","Invertebrate","Bivalve","small","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","no"
"8","Electra pilosa","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes"
"9","Hiatella arctica","Invertebrate","Bivalve","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","no"
"10","Dynamena pumila","Invertebrate","Hydrozoan","small","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","no"
"11","Schizoporella unicornis","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes"
"12","Diadumene lineata","Invertebrate","Anemone","small","soft","predator","secondary consumer","motile","sessile","yes","yes","no","yes","yes"
"13","Botrylloides violaceus","Invertebrate","Tunicate","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no","yes"
"14","Membranipora membranacea","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes","yes"
"15","Botryllus schlosseri","Invertebrate","Tunicate","medium","soft","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes","yes"
"16","Didemnum vexillum","Invertebrate","Tunicate","small","soft","filter-suspension","primary consumer","sessile","sessile","yes","yes","yes","yes","yes"
"17","Spirorbis","Invertebrate","Annelid worm","very small","calcareous","filter-suspension","primary consumer","motile","sessile","no","yes","no","yes","no"
"18","Bugula neritina","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes","yes"
"19","Testudinalia testudinalis","Invertebrate","Gastropod","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"20","Amphipoda","Invertebrate","Crustacean","small","calcareous","filter-suspension","secondary consumer","motile","motile","yes","yes","no","yes","no"
"21","Annelida","Invertebrate","Annelid worm","small","soft","filter-suspension","primary consumer","motile","motile","yes","no","yes","yes","yes"
"22","Asterias forbesi","Invertebrate","Sea Stars","small-medium","calcareous","predator","secondary consumer","motile","motile","yes","no","no","yes","yes"
"23","Asterias rubens","Invertebrate","Sea Stars","medium-large","calcareous","predator","secondary consumer","motile","motile","yes","no","no","yes","yes"
"24","Cancer borealis","Invertebrate","Crustacean","small-medium","calcareous","omnivore","secondary consumer","motile","motile","yes","no","no","yes","yes"
"25","Cancer irroratus","Invertebrate","Crustacean","small-medium","calcareous","omnivore","secondary consumer","motile","motile","yes","no","no","yes","yes"
"26","Carcinus maenus","Invertebrate","Crustacean","small-medium","calcareous","omnivore","secondary consumer","motile","motile","yes","yes","yes","yes","no"
"27","Crepidula fornicata","Invertebrate","Gastropod","small-medium","calcareous","filter-suspension","primary consumer","sessile","sessile","yes","yes","no","yes","yes"
"28","Small worm","Invertebrate","Small worm","medium-large","soft","herbivore","decomposer","motile","motile","yes","no","no","yes","yes"
