"","Phymatolithon lenormandii","Prasiola stipitata","Ascophyllum nodosum","Hildenbrandia rubra","Fucus vesiculosus","Mastocarpus stellatus","Chondrus crispus","Saccharina latissima","Ulva lactuca","Corallina officinalis","Fucus distichus","Ceramium virgatum","Clathromorphum circumscriptum","Ulva intestinalis","Plumaria plumosa","Palmaria palmata","Alaria esculenta","Polysiphonia","Porphyra","Ahnfeltia plicata","Chaetomorpha ligustica","Pylaiella littoralis","Leathesia marina","Spongomorpha aeruginosa","Elachista fucicola","Ptilota serrata","Cystoclonium purpureum","Chordaria flagelliformis","Bonnemaisonia hamifera","Codium fragile"
"Phymatolithon lenormandii",0,0.771975308641975,0.928888888888889,0.578271604938272,0.858888888888889,0.774320987654321,0.774320987654321,0.888888888888889,0.700864197530864,0.515185185185185,0.858888888888889,0.715061728395062,0.677037037037037,0.602098765432099,0.507160493827161,0.801975308641975,0.928888888888889,0.715061728395062,0.786172839506173,0.861234567901235,0.928888888888889,0.790123456790123,0.70320987654321,0.827777777777778,0.740864197530864,0.873086419753086,0.873086419753086,0.928888888888889,0.715061728395062,0.96
"Prasiola stipitata",0.771975308641975,0,1,0.779753086419753,0.765555555555556,0.866666666666667,0.866666666666667,0.96,0.558888888888889,0.771975308641975,0.765555555555556,0.765061728395062,0.779753086419753,0.558888888888889,0.873086419753086,0.96,1,0.873086419753086,0.671728395061729,0.761604938271605,0.894938271604938,0.96,0.873086419753086,0.793827160493827,0.701358024691358,0.866666666666667,0.866666666666667,1,0.873086419753086,0.761604938271605
"Ascophyllum nodosum",0.928888888888889,1,0,0.943333333333333,0.585555555555556,0.943333333333333,0.943333333333333,0.560987654320988,0.928888888888889,0.928888888888889,0.585555555555556,0.872222222222222,0.943333333333333,0.928888888888889,0.872222222222222,0.872222222222222,0.454320987654321,0.872222222222222,0.840123456790123,0.73320987654321,0.452222222222222,0.771111111111111,0.771111111111111,0.719012345679012,0.721111111111111,0.943333333333333,0.840123456790123,0.561234567901235,0.872222222222222,0.943333333333333
"Hildenbrandia rubra",0.578271604938272,0.779753086419753,0.943333333333333,0,0.866666666666667,0.624320987654321,0.624320987654321,0.903333333333333,0.873086419753086,0.687407407407407,0.866666666666667,0.729506172839506,0.527037037037037,0.774320987654321,0.521604938271605,0.81641975308642,0.943333333333333,0.729506172839506,0.636172839506173,0.711234567901235,0.943333333333333,0.804567901234568,0.717654320987654,1,0.913086419753086,0.723086419753086,0.723086419753086,0.943333333333333,0.729506172839506,0.81
"Fucus vesiculosus",0.858888888888889,0.765555555555556,0.585555555555556,0.866666666666667,0,0.866666666666667,0.866666666666667,0.648765432098765,0.858888888888889,0.858888888888889,0.351111111111111,0.96,0.866666666666667,0.858888888888889,0.96,0.96,0.688765432098766,0.96,0.763456790123457,0.656543209876543,0.686666666666667,0.858888888888889,0.858888888888889,0.795679012345679,0.797777777777778,0.866666666666667,0.763456790123457,0.795679012345679,0.96,0.866666666666667
"Mastocarpus stellatus",0.774320987654321,0.866666666666667,0.943333333333333,0.624320987654321,0.866666666666667,0,0.416543209876543,0.903333333333333,0.96,0.774320987654321,0.866666666666667,0.81641975308642,0.723086419753086,0.861234567901235,0.717654320987654,0.715308641975309,0.943333333333333,0.81641975308642,0.723086419753086,0.711234567901235,0.943333333333333,0.59679012345679,0.804567901234568,0.898888888888889,1,0.515308641975309,0.515308641975309,0.735555555555556,0.81641975308642,0.708888888888889
"Chondrus crispus",0.774320987654321,0.866666666666667,0.943333333333333,0.624320987654321,0.866666666666667,0.416543209876543,0,0.903333333333333,0.96,0.774320987654321,0.866666666666667,0.81641975308642,0.723086419753086,0.861234567901235,0.717654320987654,0.715308641975309,0.943333333333333,0.81641975308642,0.723086419753086,0.711234567901235,0.943333333333333,0.59679012345679,0.804567901234568,0.898888888888889,1,0.515308641975309,0.515308641975309,0.735555555555556,0.81641975308642,0.708888888888889
"Saccharina latissima",0.888888888888889,0.96,0.560987654320988,0.903333333333333,0.648765432098765,0.903333333333333,0.903333333333333,0,0.888888888888889,0.888888888888889,0.648765432098765,0.832222222222222,0.903333333333333,0.888888888888889,0.832222222222222,0.832222222222222,0.45037037037037,0.832222222222222,0.903333333333333,0.69320987654321,0.662098765432099,0.731111111111111,0.731111111111111,0.928888888888889,0.827777777777778,0.903333333333333,0.903333333333333,0.771111111111111,0.832222222222222,0.903333333333333
"Ulva lactuca",0.700864197530864,0.558888888888889,0.928888888888889,0.873086419753086,0.858888888888889,0.96,0.96,0.888888888888889,0,0.700864197530864,0.858888888888889,0.588888888888889,0.873086419753086,0.487777777777778,0.801975308641975,0.783827160493827,0.928888888888889,0.696913580246914,0.765061728395062,0.854938271604938,0.823827160493827,0.888888888888889,0.801975308641975,0.722716049382716,0.740864197530864,0.854938271604938,0.96,0.928888888888889,0.696913580246914,0.749876543209877
"Corallina officinalis",0.515185185185185,0.771975308641975,0.928888888888889,0.687407407407407,0.858888888888889,0.774320987654321,0.774320987654321,0.888888888888889,0.700864197530864,0,0.858888888888889,0.715061728395062,0.786172839506173,0.602098765432099,0.616296296296296,0.801975308641975,0.928888888888889,0.715061728395062,0.786172839506173,0.861234567901235,0.928888888888889,0.790123456790123,0.70320987654321,0.827777777777778,0.740864197530864,0.873086419753086,0.873086419753086,0.928888888888889,0.715061728395062,0.96
