"","species","group","common_name_division_bgr","body_size_avg_bin","calcareous","dietary_pref_c","trophic_level","motility_juv","motility_adult","benthic","epibiotic","intertidal","subtidal"
"59","Urticina felina","Invertebrate","Anemone","medium","no","predator","secondary consumer","motile","sessile","yes","yes","no","yes"
"60","Metridium dianthus","Invertebrate","Anemone","small-medium","no","predator","secondary consumer","motile","sessile","yes","yes","yes","no"
"61","Diadumene lineata","Invertebrate","Anemone","small","no","predator","secondary consumer","motile","sessile","yes","yes","yes","yes"
"62","Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
"63","Ostrea edulis","Invertebrate","Bivalve","small-medium","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","yes"
"64","Anomia simplex","Invertebrate","Bivalve","small","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no"
"65","Hiatella arctica","Invertebrate","Bivalve","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no"
"66","Modiolus modiolus","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"67","Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"68","Placopecten magellanicus","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"69","Mya arenaria","Invertebrate","Bivalve","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","no","yes","yes"
"70","Bugulina spicata","Invertebrate","Bryozoan","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"71","Crisia eburnea","Invertebrate","Bryozoan","small","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"72","Crisularia turrita","Invertebrate","Bryozoan","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"73","Dendrobeania murrayana","Invertebrate","Bryozoan","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"74","Membranipora membranacea","Invertebrate","Bryozoan","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"75","Patinella verrucaria","Invertebrate","Bryozoan","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"76","Schizoporella unicornis","Invertebrate","Bryozoan","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"77","Tricellaria inopinata","Invertebrate","Bryozoan","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"78","Cryptosula pallasiana","Invertebrate","Bryozoan","medium-large","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"79","Electra pilosa","Invertebrate","Bryozoan","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"80","Bugula neritina","Invertebrate","Bryozoan","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"81","Celleporella hyalina","Invertebrate","Bryozoan","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"82","Flustrellidra hispida","Invertebrate","Bryozoan","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"83","Boreochiton ruber","Invertebrate","Chiton","small","yes","herbivore","primary consumer","motile","motile","yes","yes","no","yes"
"84","Stenosemus albus","Invertebrate","Chiton","small","yes","herbivore","primary consumer","motile","motile","yes","no","no","yes"
"85","Pachycerianthus borealis","Invertebrate","Cnidarian","medium-large","no","filter-suspension","secondary consumer","motile","sessile","yes","no","no","yes"
"86","Metridium senile","Invertebrate","Cnidarian","medium-large","no","filter-suspension","secondary consumer","motile","sessile","yes","yes","yes","no"
"88","Amphipoda","Invertebrate","Crustacean","small","yes","filter-suspension","secondary consumer","motile","motile","yes","yes","yes","no"
"89","Cancer borealis","Invertebrate","Crustacean","small-medium","yes","omnivore","secondary consumer","motile","motile","yes","no","yes","yes"
"90","Cancer irroratus","Invertebrate","Crustacean","small-medium","yes","omnivore","secondary consumer","motile","motile","yes","no","yes","yes"
"91","Carcinus maenus","Invertebrate","Crustacean","small-medium","yes","omnivore","secondary consumer","motile","motile","yes","yes","yes","no"
