"species","group","common_name_division_bgr","body_size_avg_bin","calcareous","dietary_pref_c","trophic_level","motility_juv","motility_adult","benthic","epibiotic","intertidal","subtidal"
"Semibalanus balanoides","Invertebrate","Barnacle","small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
"Mytilus edulis","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"Metridium dianthus","Invertebrate","Anemone","small-medium","no","predator","secondary consumer","motile","sessile","yes","yes","yes","no"
"Dynamena pumila","Invertebrate","Hydrozoan","very small","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no"
"Modiolus modiolus","Invertebrate","Bivalve","medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"Cryptosula pallasiana","Invertebrate","Bryozoan","medium-large","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"Schizoporella unicornis","Invertebrate","Bryozoan","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"Diadumene lineata","Invertebrate","Anemone","small","no","predator","secondary consumer","motile","sessile","yes","yes","yes","yes"
"Anomia simplex","Invertebrate","Bivalve","small","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no"
"Halichondria panicea","Invertebrate","Sponge","medium","no","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"Botrylloides violaceus","Invertebrate","Tunicate","medium","no","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"Hiatella arctica","Invertebrate","Bivalve","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no"
"Membranipora membranacea","Invertebrate","Bryozoan","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"Electra pilosa","Invertebrate","Bryozoan","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"Botryllus schlosseri","Invertebrate","Tunicate","medium","no","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes"
"Testudinalia testudinalis","Invertebrate","Gastropod","small-medium","yes","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
"Amphipoda","Invertebrate","Crustacean","small","yes","filter-suspension","secondary consumer","motile","motile","yes","yes","yes","no"
"Annelida","Invertebrate","Annelid worm","small","no","herbivore","primary consumer","motile","motile","yes","no","yes","yes"
"Asterias forbesi","Invertebrate","Sea Stars","small-medium","yes","predator","secondary consumer","motile","motile","yes","no","yes","yes"
"Asterias rubens","Invertebrate","Sea Stars","medium-large","yes","predator","secondary consumer","motile","motile","yes","no","yes","yes"
"Cancer borealis","Invertebrate","Crustacean","small-medium","yes","omnivore","secondary consumer","motile","motile","yes","no","yes","yes"
"Cancer irroratus","Invertebrate","Crustacean","small-medium","yes","omnivore","secondary consumer","motile","motile","yes","no","yes","yes"
"Carcinus maenus","Invertebrate","Crustacean","small-medium","yes","omnivore","secondary consumer","motile","motile","yes","yes","yes","no"
"Crepidula fornicata","Invertebrate","Gastropod","small-medium","yes","filter-suspension","primary consumer","sessile","sessile","yes","yes","yes","yes"
"Small worm","Invertebrate","Small worm","small","no","filter-suspension","primary consumer","motile","motile","yes","no","yes","yes"
"Hemigrapsus sanguineus","Invertebrate","Crustacean","small-medium","yes","omnivore","secondary consumer","motile","motile","yes","no","yes","no"
"Henricia sanguinolenta","Invertebrate","Sea Stars","small-medium","yes","filter-suspension","primary consumer","motile","motile","yes","no","yes","yes"
"Isopoda","Invertebrate","Crustacean","small","yes","herbivore","primary consumer","motile","motile","yes","no","yes","no"
"Lacuna vincta","Invertebrate","Gastropod","small","yes","filter-suspension","primary consumer","motile","motile","no","yes","yes","no"
"Littorina littorea","Invertebrate","Gastropod","small-medium","yes","herbivore","primary consumer","motile","motile","no","yes","yes","no"
"Littorina obtusata","Invertebrate","Gastropod","small","yes","herbivore","primary consumer","motile","motile","no","yes","yes","no"
"Littorina saxatilis","Invertebrate","Gastropod","small-medium","yes","herbivore","primary consumer","motile","motile","yes","no","yes","no"
"Nucella lapillus","Invertebrate","Gastropod","small-medium","yes","predator","secondary consumer","motile","motile","no","yes","yes","no"
"Nudibranchia","Invertebrate","Gastropod","small","no","predator","secondary consumer","motile","motile","yes","yes","yes","yes"
"Ophiopholis aculeata","Invertebrate","Echinoderm","medium","yes","scavenger","secondary consumer","motile","motile","yes","no","no","yes"
"Pagurus acadianus","Invertebrate","Crustacean","small-medium","yes","scavenger","secondary consumer","motile","motile","yes","no","yes","no"
"Spirorbis","Invertebrate","Annelid worm","very small","yes","filter-suspension","primary consumer","motile","sessile","no","yes","yes","no"
"Strongylocentrotus droebachiensis","Invertebrate","Echinoderm","small-medium","yes","herbivore","primary consumer","motile","motile","yes","yes","yes","yes"
"Boreochiton ruber","Invertebrate","Chiton","small","yes","herbivore","primary consumer","motile","motile","yes","yes","no","yes"
"Tunicate","Invertebrate","Tunicate","small","no","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes"
