"year","transect","position","species","phylum","common_name_division","subtidal","intertidal","solitary_colonial","adult_body_size_bin","calcareous","motility_adult","herbivore","predator","omnivore","deposit_feeder","filter_suspension","scavenger","trophic_level","benthic","pelagic","epibiotic"
1982,1,"sheltered","Cryptosula pallasiana","Bryozoa","Bryozoan","yes","yes","colonial","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,2,"sheltered","Semibalanus balanoides","Arthropoda","Barnacle","no","yes","gregarious","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,2,"sheltered","Cryptosula pallasiana","Bryozoa","Bryozoan","yes","yes","colonial","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,5,"sheltered","Cryptosula pallasiana","Bryozoa","Bryozoan","yes","yes","colonial","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,7,"sheltered","Mytilus edulis","Mollusca","Bivalve","yes","yes","gregarious","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,7,"sheltered","Modiolus modiolus","Mollusca","Bivalve","yes","yes","gregarious","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,8,"sheltered","Semibalanus balanoides","Arthropoda","Barnacle","no","yes","gregarious","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,8,"sheltered","Cryptosula pallasiana","Bryozoa","Bryozoan","yes","yes","colonial","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,10,"exposed","Semibalanus balanoides","Arthropoda","Barnacle","no","yes","gregarious","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,10,"exposed","Cryptosula pallasiana","Bryozoa","Bryozoan","yes","yes","colonial","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,10,"exposed","Modiolus modiolus","Mollusca","Bivalve","yes","yes","gregarious","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,11,"exposed","Semibalanus balanoides","Arthropoda","Barnacle","no","yes","gregarious","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,11,"exposed","Mytilus edulis","Mollusca","Bivalve","yes","yes","gregarious","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,13,"exposed","Semibalanus balanoides","Arthropoda","Barnacle","no","yes","gregarious","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,13,"exposed","Mytilus edulis","Mollusca","Bivalve","yes","yes","gregarious","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,15,"exposed","Semibalanus balanoides","Arthropoda","Barnacle","no","yes","gregarious","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,15,"exposed","Mytilus edulis","Mollusca","Bivalve","yes","yes","gregarious","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,17,"exposed","Mytilus edulis","Mollusca","Bivalve","yes","yes","gregarious","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,18,"exposed","Mytilus edulis","Mollusca","Bivalve","yes","yes","gregarious","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,22,"exposed","Semibalanus balanoides","Arthropoda","Barnacle","no","yes","gregarious","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,22,"exposed","Mytilus edulis","Mollusca","Bivalve","yes","yes","gregarious","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,22,"exposed","Modiolus modiolus","Mollusca","Bivalve","yes","yes","gregarious","SC2","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
1982,24,"exposed","Semibalanus balanoides","Arthropoda","Barnacle","no","yes","gregarious","SC1","yes","sessile","no","no","no","no","yes","no","primary consumer","yes","no","yes"
