"","species","phylum","group","common_name_division_bgr","intertidal","subtidal","feeding","macroalgae","erect_morphology_growth_form","foliose_morphology_growth_form","filamentous_morphology_growth_form","crustose_morphology_growth_form","globular_morphology_growth_form","leathery_external_morphology","articulated_external_morphology","branched_external_morphology","saccate_external_morphology","space_use_canopy","space_use_sub_canopy","space_use_turf","potential_asexual_reproduction","maximun_longevity","size_categories","epilithic_use_space","epiphytic_env_position","epizoic_env_position","epibiotic_env_position"
"1","Agarum clathratum","Ochrophyta","Algae","Brown Algae","no","yes","autotroph","yes","no","yes","no","no","no","yes","no","no","no","yes","yes","no ","yes","perennial (one-ten years)",">500 mm","yes","no","no","no"
"2","Ahnfeltia plicata","Chlorophyta","Algae","Green Algae","yes","yes","autotroph","yes","no","no","yes","yes","no","no","no","yes","no","no ","yes","yes","yes","perennial (one-ten years)","100-500 mm","yes","no","no","no"
"3","Alaria esculenta","Ochrophyta","Algae","Brown Algae","yes","yes","autotroph","yes","no","yes","no","no","no","yes","no","no","no","yes","yes","no ","no","perennial (one-ten years)",">500 mm","yes","yes","no","yes"
"4","Ascophyllum nodosum","Ochrophyta","Algae","Brown Algae","yes","yes","autotroph","yes","yes","no","no","no","no","yes","no","yes","no","yes","no ","no ","no","perennial",">500 mm","yes","yes","no","yes"
"5","Bonnemaisonia hamifera","Rhodophyta","Algae","Red Algae","yes","yes","autotroph","yes","yes","no","yes","no","no","no","no","yes","no","no ","yes","yes","yes","perennial (one-ten years)","100-500 mm","yes","yes","yes","yes"
"6","Ceramium","Rhodophyta","Algae","Red Algae","no","no","autotroph","yes","no","no","yes","no","no","no","no","yes","no","no ","yes","yes","no","perennial","100-500 mm","yes","yes","no","yes"
"7","Ceramium virgatum","Rhodophyta","Algae","Red Algae","yes","yes","autotroph","yes","no","no","yes","no","no","no","no","yes","no","yes","yes","yes","no","perennial","100-500 mm","yes","yes","yes","yes"
"8","Chaetomorpha ligustica","Chlorophyta","Algae","Green Algae","yes","yes","autotroph","yes","yes","no","yes","no","no","no","no","yes","no","no ","yes","yes","yes","ephemeral (less than a year or annual)","100-500 mm","yes","yes","no","yes"
"9","Chondrus crispus","Rhodophyta","Algae","Red Algae","yes","yes","autotroph","yes","yes","no","no","no","no","no","no","yes","no","no ","yes","yes","no","perennial","100-500 mm","yes","no","no","no"
"10","Chordaria flagelliformis","Ochrophyta","Algae","Brown Algae","yes","yes","autotroph","yes","yes","no","no","no","no","no","no","yes","no","no ","yes","yes","yes","ephemeral (less than a year or annual)",">500 mm","yes","yes","no","yes"
"11","Cladostephus spongiosus","Ochrophyta","Algae","Brown Algae","yes","no","autotroph","yes","yes","no","no","no","no","no","no","yes","no","no ","yes","yes","yes","perennial (one-ten years)","100-500 mm","yes","no","no","no"
"12","Clathromorphum circumscriptum","Rhodophyta","Algae","Red Algae","yes","yes","autotroph","yes","no","no","no","yes","no","no","no","no","no","no ","no ","yes","yes","perennial","100-500 mm","yes","no","no","no"
"13","Coccotylus truncatus","Rhodophyta","Algae","Red Algae","no","no","autotroph","yes","yes","no","no","no","no","no","no","yes","no","no ","yes","yes","yes","perennial","100-500 mm","yes","yes","yes","yes"
"14","Codium fragile","Chlorophyta","Algae","Green Algae","yes","yes","autotroph","yes","yes","yes","yes","no","no","no","no","yes","no","yes","yes","no ","yes","perennial","100-500 mm","yes","yes","yes","yes"
"15","Colpomenia peregrina","Ochrophyta","Algae","Brown Algae","yes","yes","autotroph","yes","yes","no","no","no","yes","no","no","no","yes","no ","yes","no ","no","ephemeral (less than a year or annual)","10-100 mm","yes","yes","no","yes"
"16","Corallina officinalis","Rhodophyta","Algae","Red Algae","yes","no","autotroph","yes","yes","no","no","no","no","no","yes","yes","no","no ","yes","yes","yes","perennial (one-ten years)","100-500 mm","yes","yes","yes","yes"
"17","Cystoclonium purpureum","Rhodophyta","Algae","Red Algae","yes","yes","autotroph","yes","yes","no","no","no","no","no","no","yes","no","no ","yes","no ","no","ephemeral (less than a year or annual)","100-500 mm","yes","no","no","no"
"18","Dasysiphonia japonica","Rhodophyta","Algae","Red Algae","no","no","autotroph","no","no","no","yes","no","no","no","no","yes","no","no ","no ","yes","yes","ephemeral (less than a year or annual)","100-500 mm","yes","no","no","no"
"19","Desmarestia aculeata","Ochrophyta","Algae","Brown Algae","no","yes","autotroph","yes","yes","no","no","no","no","no","no","yes","no","yes","yes","no ","no","perennial (one-ten years)",">500 mm","yes","no","no","no"
"20","Desmarestia viridis","Ochrophyta","Algae","Brown Algae","no","yes","autotroph","yes","yes","no","no","no","no","no","no","yes","no","yes","yes","no ","no","ephemeral (less than a year or annual)",">500 mm","yes","no","no","no"
"21","Dumontia contorta","Rhodophyta","Algae","Red Algae","no","no","autotroph","yes","yes","no","no","no","no","no","no","no","no","no ","yes","no ","no","perennial","100-500 mm","yes","yes","no","yes"
"22","Elachista fucicola","Ochrophyta","Algae","Brown Algae","yes","no","autotroph","yes","no","no","yes","no","yes","no","no","no","no","no ","yes","yes","yes","ephemeral (less than a year or annual)","10-100 mm","no","yes","no","yes"
"23","Euthora cristata","Rhodophyta","Algae","Red Algae","yes","yes","autotroph","yes","yes","no","no","no","no","no","no","yes","no","no ","yes","no ","no","perennial","10-100 mm","yes","yes","no","yes"
"24","Fucus","Ochrophyta","Algae","Brown Algae","yes","no","autotroph","yes","yes","yes","no","no","no","yes","no","yes","no","yes","yes","no ","no","perennial (one-ten years)",">500 mm","yes","no","no","no"
"25","Fucus distichus","Ochrophyta","Algae","Brown Algae","yes","no","autotroph","yes","yes","no","no","no","no","yes","no","yes","no","yes","yes","no ","no","perennial (one-ten years)","100-500 mm","yes","no","no","no"
"26","Fucus vesiculosus","Ochrophyta","Algae","Brown Algae","yes","no","autotroph","yes","yes","yes","no","no","no","yes","no","yes","no","yes","yes","no ","no","perennial (one-ten years)",">500 mm","yes","no","no","no"
