Year,Organism,Position,Abund,n_transect,Avg_abund_per_transect,Total_abund,Rel_abund_by_side
1982,Acrosiphonia,exposed,0,9,0,6214.45,0
1982,Acrosiphonia,sheltered,0,7,0,4680.083333333333,0
1982,Ahnfeltia plicata,exposed,0,9,0,6214.45,0
1982,Ahnfeltia plicata,sheltered,0,7,0,4680.083333333333,0
1982,Alaria esculenta,exposed,0,9,0,6214.45,0
1982,Alaria esculenta,sheltered,0,7,0,4680.083333333333,0
1982,Anomia simplex,exposed,0,9,0,6214.45,0
1982,Anomia simplex,sheltered,0,7,0,4680.083333333333,0
1982,Antithamnion,exposed,0,9,0,6214.45,0
1982,Antithamnion,sheltered,0,7,0,4680.083333333333,0
1982,Aplidium,exposed,0,9,0,6214.45,0
1982,Aplidium,sheltered,0,7,0,4680.083333333333,0
1982,Arthopyrenia,exposed,0,9,0,6214.45,0
1982,Arthopyrenia,sheltered,0,7,0,4680.083333333333,0
1982,Ascophyllum nodosum,exposed,34,9,3.7777777777777777,6214.45,0.005471119729018658
1982,Ascophyllum nodosum,sheltered,80,7,11.428571428571429,4680.083333333333,0.01709371271879062
1982,Audouinella,exposed,0,9,0,6214.45,0
1982,Audouinella,sheltered,0,7,0,4680.083333333333,0
1982,Bare rock,exposed,0,9,0,6214.45,0
1982,Bare rock,sheltered,0,7,0,4680.083333333333,0
1982,Black zone,exposed,785,9,87.22222222222223,6214.45,0.12631849962587197
1982,Black zone,sheltered,860.25,7,122.89285714285714,4680.083333333333,0.18381082957924538
1982,Bonnemaisonia hamifera,exposed,0,9,0,6214.45,0
1982,Bonnemaisonia hamifera,sheltered,0,7,0,4680.083333333333,0
1982,Botrylloides violaceus,exposed,0,9,0,6214.45,0
1982,Botrylloides violaceus,sheltered,0,7,0,4680.083333333333,0
1982,Botryllus schlosseri,exposed,0,9,0,6214.45,0
1982,Botryllus schlosseri,sheltered,0,7,0,4680.083333333333,0
1982,Brown ground,exposed,0,9,0,6214.45,0
1982,Brown ground,sheltered,0,7,0,4680.083333333333,0
1982,Callophyllis,exposed,0,9,0,6214.45,0
1982,Ceramium virgatum,exposed,113.8,9,12.644444444444444,6214.45,0.018312159563597743
1982,Ceramium virgatum,sheltered,0,7,0,4680.083333333333,0
1982,Chaetomorpha,exposed,0,9,0,6214.45,0
1982,Chaetomorpha,sheltered,0,7,0,4680.083333333333,0
1982,Chondrus crispus,exposed,558.05,9,62.00555555555555,6214.45,0.0897987754346724
1982,Chondrus crispus,sheltered,418,7,59.714285714285715,4680.083333333333,0.08931464895568099
1982,Chorda filum,exposed,0,9,0,6214.45,0
1982,Chorda filum,sheltered,0,7,0,4680.083333333333,0
1982,Chordaria flagelliformis,exposed,0,9,0,6214.45,0
1982,Chordaria flagelliformis,sheltered,0,7,0,4680.083333333333,0
1982,Cladophora,exposed,0,9,0,6214.45,0
1982,Cladophora,sheltered,0,7,0,4680.083333333333,0
1982,Clathromorphum circumscriptum,exposed,10,9,1.1111111111111112,6214.45,0.001609152861476076
1982,Clathromorphum circumscriptum,sheltered,0,7,0,4680.083333333333,0
1982,Codium fragile,exposed,0,9,0,6214.45,0
1982,Codium fragile,sheltered,0,7,0,4680.083333333333,0
1982,Corallina officinalis,exposed,31.5,9,3.5,6214.45,0.0050688315136496395
1982,Corallina officinalis,sheltered,55,7,7.857142857142857,4680.083333333333,0.011751927494168552
1982,Coralline,exposed,0.5,9,0.05555555555555555,6214.45,8.04576430738038e-5
1982,Coralline,sheltered,396,7,56.57142857142857,4680.083333333333,0.08461387795801358
1982,Cryptosula pallasiana,exposed,33.3,9,3.6999999999999997,6214.45,0.005358479028715332
1982,Cryptosula pallasiana,sheltered,291.25,7,41.607142857142854,4680.083333333333,0.062231797866847106
1982,Cyanobacteria,exposed,529,9,58.77777777777778,6214.45,0.08512418637208442
