species,phylum,group,common_name_division_bgr,feeding,foliose_morphology_growth_form,filamentous_morphology_growth_form,crustose_morphology_growth_form,globular_morphology_growth_form,leathery_external_morphology,articulated_external_morphology,branched_external_morphology,space_use_canopy,space_use_sub_canopy,space_use_turf,epibiotic_env_position,solitary_colonial,adult_body_size_bin,adult_motility
Agarum clathratum,Ochrophyta,Algae,Brown Algae,autotroph,yes,no,no,no,yes,no,no,yes,yes,no,no,NA,NA,sessile
Ahnfeltia plicata,Chlorophyta,Algae,Green Algae,autotroph,no,yes,yes,no,no,no,yes,no,yes,yes,no,NA,NA,sessile
Alaria esculenta,Ochrophyta,Algae,Brown Algae,autotroph,yes,no,no,no,yes,no,no,yes,yes,no,yes,NA,NA,sessile
Ascophyllum nodosum,Ochrophyta,Algae,Brown Algae,autotroph,no,no,no,no,yes,no,yes,yes,no,no,yes,NA,NA,sessile
Bonnemaisonia hamifera,Rhodophyta,Algae,Red Algae,autotroph,no,yes,no,no,no,no,yes,no,yes,yes,yes,NA,NA,sessile
Ceramium,Rhodophyta,Algae,Red Algae,autotroph,no,yes,no,no,no,no,yes,no,yes,yes,yes,NA,NA,sessile
Ceramium virgatum,Rhodophyta,Algae,Red Algae,autotroph,no,yes,no,no,no,no,yes,yes,yes,yes,yes,NA,NA,sessile
Chaetomorpha ligustica,Chlorophyta,Algae,Green Algae,autotroph,no,yes,no,no,no,no,yes,no,yes,yes,yes,NA,NA,sessile
Chondrus crispus,Rhodophyta,Algae,Red Algae,autotroph,no,no,no,no,no,no,yes,no,yes,yes,no,NA,NA,sessile
Chordaria flagelliformis,Ochrophyta,Algae,Brown Algae,autotroph,no,no,no,no,no,no,yes,no,yes,yes,yes,NA,NA,sessile
Cladostephus spongiosus,Ochrophyta,Algae,Brown Algae,autotroph,no,no,no,no,no,no,yes,no,yes,yes,no,NA,NA,sessile
Clathromorphum circumscriptum,Rhodophyta,Algae,Red Algae,autotroph,no,no,yes,no,no,no,no,no,no,yes,no,NA,NA,sessile
Coccotylus truncatus,Rhodophyta,Algae,Red Algae,autotroph,no,no,no,no,no,no,yes,no,yes,yes,yes,NA,NA,sessile
Codium fragile,Chlorophyta,Algae,Green Algae,autotroph,yes,yes,no,no,no,no,yes,yes,yes,no,yes,NA,NA,sessile
Colpomenia peregrina,Ochrophyta,Algae,Brown Algae,autotroph,no,no,no,yes,no,no,no,no,yes,no,yes,NA,NA,sessile
Corallina officinalis,Rhodophyta,Algae,Red Algae,autotroph,no,no,no,no,no,yes,yes,no,yes,yes,yes,NA,NA,sessile
Cystoclonium purpureum,Rhodophyta,Algae,Red Algae,autotroph,no,no,no,no,no,no,yes,no,yes,no,no,NA,NA,sessile
Dasysiphonia japonica,Rhodophyta,Algae,Red Algae,autotroph,no,yes,no,no,no,no,yes,no,no,yes,no,NA,NA,sessile
Desmarestia aculeata,Ochrophyta,Algae,Brown Algae,autotroph,no,no,no,no,no,no,yes,yes,yes,no,no,NA,NA,sessile
Desmarestia viridis,Ochrophyta,Algae,Brown Algae,autotroph,no,no,no,no,no,no,yes,yes,yes,no,no,NA,NA,sessile
Dumontia contorta,Rhodophyta,Algae,Red Algae,autotroph,no,no,no,no,no,no,no,no,yes,no,yes,NA,NA,sessile
Elachista fucicola,Ochrophyta,Algae,Brown Algae,autotroph,no,yes,no,yes,no,no,no,no,yes,yes,yes,NA,NA,sessile
Euthora cristata,Rhodophyta,Algae,Red Algae,autotroph,no,no,no,no,no,no,yes,no,yes,no,yes,NA,NA,sessile
