"year","transect","position","species","phylum","group","common_name_division_bgr","invasive_gom","intertidal_gom","subtidal_gom","autotroph","erect_morphology_growth_form","foliose_morphology_growth_form","filamentous_morphology_growth_form","crustose_morphology_growth_form","globular_morphology_growth_form","leathery_external_morphology","branched_external_morphology","saccate_external_morphology","corticated_internal_anatomy","space_use_canopy_gom","space_use_subcanopy_gom","space_use_turf_gom","potential_asexual_reproduction","perennial_gom","epilithic_env_position","epibiotic_env_position_gom"
1982,1,"sheltered","Phymatolithon lenormandii","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,2,"sheltered","Prasiola stipitata","Chlorophyta","Algae","Green Algae","no","yes","no","yes","yes","yes","no","no","no","no","no","no","no","no ","no ","yes","yes","yes","yes","no"
1982,2,"sheltered","Ascophyllum nodosum","Ochrophyta","Algae","Brown Algae","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","yes","yes","no ","no ","no","yes","yes","no"
1982,2,"sheltered","Hildenbrandia rubra","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,2,"sheltered","Fucus vesiculosus","Ochrophyta","Algae","Brown Algae","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","yes","yes","yes","no ","no","yes","yes","no"
1982,2,"sheltered","Mastocarpus stellatus","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","yes","no","no","yes","no","yes","no ","yes","no ","yes","yes","yes","no"
1982,2,"sheltered","Chondrus crispus","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","no","yes","yes","no"
1982,2,"sheltered","Saccharina latissima","Ochrophyta","Algae","Brown Algae","no","yes","yes","yes","yes","no","no","no","no","yes","yes","no","yes","yes","no ","no ","no","yes","yes","no"
1982,2,"sheltered","Ulva lactuca","Chlorophyta","Algae","Green Algae","no","yes","yes","yes","yes","yes","no","no","no","no","no","no","no","no ","yes","no ","yes","no","yes","yes"
1982,5,"sheltered","Hildenbrandia rubra","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,5,"sheltered","Phymatolithon lenormandii","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,5,"sheltered","Corallina officinalis","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","yes","yes","yes","no"
1982,7,"sheltered","Prasiola stipitata","Chlorophyta","Algae","Green Algae","no","yes","no","yes","yes","yes","no","no","no","no","no","no","no","no ","no ","yes","yes","yes","yes","no"
1982,7,"sheltered","Ascophyllum nodosum","Ochrophyta","Algae","Brown Algae","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","yes","yes","no ","no ","no","yes","yes","no"
1982,7,"sheltered","Chondrus crispus","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","no","yes","yes","no"
1982,7,"sheltered","Fucus distichus","Ochrophyta","Algae","Brown Algae","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","yes","yes","yes","no ","no","yes","yes","no"
1982,7,"sheltered","Hildenbrandia rubra","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,7,"sheltered","Ulva lactuca","Chlorophyta","Algae","Green Algae","no","yes","yes","yes","yes","yes","no","no","no","no","no","no","no","no ","yes","no ","yes","no","yes","yes"
1982,7,"sheltered","Mastocarpus stellatus","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","yes","no","no","yes","no","yes","no ","yes","no ","yes","yes","yes","no"
1982,7,"sheltered","Phymatolithon lenormandii","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,8,"sheltered","Hildenbrandia rubra","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,8,"sheltered","Phymatolithon lenormandii","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,10,"exposed","Ceramium virgatum","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no ","no ","yes","no","yes","yes","yes"
1982,10,"exposed","Hildenbrandia rubra","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,10,"exposed","Chondrus crispus","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","no","yes","yes","no"
1982,10,"exposed","Phymatolithon lenormandii","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,10,"exposed","Ulva lactuca","Chlorophyta","Algae","Green Algae","no","yes","yes","yes","yes","yes","no","no","no","no","no","no","no","no ","yes","no ","yes","no","yes","yes"
1982,10,"exposed","Mastocarpus stellatus","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","yes","no","no","yes","no","yes","no ","yes","no ","yes","yes","yes","no"
1982,10,"exposed","Corallina officinalis","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","yes","yes","yes","no"
1982,11,"exposed","Prasiola stipitata","Chlorophyta","Algae","Green Algae","no","yes","no","yes","yes","yes","no","no","no","no","no","no","no","no ","no ","yes","yes","yes","yes","no"
1982,11,"exposed","Ascophyllum nodosum","Ochrophyta","Algae","Brown Algae","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","yes","yes","no ","no ","no","yes","yes","no"
1982,11,"exposed","Chondrus crispus","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","no","yes","yes","no"
1982,11,"exposed","Mastocarpus stellatus","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","yes","no","no","yes","no","yes","no ","yes","no ","yes","yes","yes","no"
1982,11,"exposed","Clathromorphum circumscriptum","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","no"
1982,13,"exposed","Prasiola stipitata","Chlorophyta","Algae","Green Algae","no","yes","no","yes","yes","yes","no","no","no","no","no","no","no","no ","no ","yes","yes","yes","yes","no"
1982,13,"exposed","Hildenbrandia rubra","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,13,"exposed","Phymatolithon lenormandii","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,13,"exposed","Ascophyllum nodosum","Ochrophyta","Algae","Brown Algae","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","yes","yes","no ","no ","no","yes","yes","no"
1982,13,"exposed","Mastocarpus stellatus","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","yes","no","no","yes","no","yes","no ","yes","no ","yes","yes","yes","no"
1982,13,"exposed","Chondrus crispus","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","no","yes","yes","no"
1982,15,"exposed","Hildenbrandia rubra","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,17,"exposed","Fucus vesiculosus","Ochrophyta","Algae","Brown Algae","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","yes","yes","yes","no ","no","yes","yes","no"
1982,17,"exposed","Hildenbrandia rubra","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,17,"exposed","Chondrus crispus","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","no","yes","yes","no"
1982,17,"exposed","Mastocarpus stellatus","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","yes","no","no","yes","no","yes","no ","yes","no ","yes","yes","yes","no"
1982,17,"exposed","Phymatolithon lenormandii","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,18,"exposed","Hildenbrandia rubra","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,18,"exposed","Phymatolithon lenormandii","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,20,"exposed","Prasiola stipitata","Chlorophyta","Algae","Green Algae","no","yes","no","yes","yes","yes","no","no","no","no","no","no","no","no ","no ","yes","yes","yes","yes","no"
1982,20,"exposed","Fucus distichus","Ochrophyta","Algae","Brown Algae","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","yes","yes","yes","no ","no","yes","yes","no"
1982,24,"exposed","Ascophyllum nodosum","Ochrophyta","Algae","Brown Algae","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","yes","yes","no ","no ","no","yes","yes","no"
1982,24,"exposed","Hildenbrandia rubra","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,24,"exposed","Chondrus crispus","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","no","yes","yes","no"
1982,24,"exposed","Fucus distichus","Ochrophyta","Algae","Brown Algae","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","yes","yes","yes","no ","no","yes","yes","no"
1982,24,"exposed","Corallina officinalis","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","yes","yes","yes","no"
1982,24,"exposed","Phymatolithon lenormandii","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,26,"sheltered","Hildenbrandia rubra","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,28,"sheltered","Prasiola stipitata","Chlorophyta","Algae","Green Algae","no","yes","no","yes","yes","yes","no","no","no","no","no","no","no","no ","no ","yes","yes","yes","yes","no"
1982,28,"sheltered","Ulva intestinalis","Chlorophyta","Algae","Green Algae","no","yes","yes","yes","yes","yes","no","no","no","no","no","no","no","no ","yes","no ","yes","no","yes","yes"
1982,28,"sheltered","Hildenbrandia rubra","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1982,28,"sheltered","Phymatolithon lenormandii","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1983,1,"sheltered","Ascophyllum nodosum","Ochrophyta","Algae","Brown Algae","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","yes","yes","no ","no ","no","yes","yes","no"
1983,1,"sheltered","Hildenbrandia rubra","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","no","no","no","yes","no","no","no","no","yes","no ","no ","no ","yes","yes","yes","yes"
1983,1,"sheltered","Chondrus crispus","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","no","yes","yes","no"
1983,1,"sheltered","Fucus vesiculosus","Ochrophyta","Algae","Brown Algae","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","yes","yes","yes","no ","no","yes","yes","no"
