"","species","phylum","group","common_name_division_bgr","invasive_gom","intertidal_gom","subtidal_gom","autotroph","erect_morphology_growth_form","foliose_morphology_growth_form","filamentous_morphology_growth_form","crustose_morphology_growth_form","globular_morphology_growth_form","leathery_external_morphology","branched_external_morphology","saccate_external_morphology","corticated_internal_anatomy","space_use_canopy_gom","space_use_subcanopy_gom","space_use_turf_gom","potential_asexual_reproduction","perennial_gom","epilithic_env_position","epibiotic_env_position_gom"
"1","Agarum clathratum","Ochrophyta","Algae","Brown Algae","no","no","yes","yes","yes","no","no","no","no","yes","no","no","yes","yes","no ","no ","yes","yes","yes","no"
"2","Ahnfeltia plicata","Chlorophyta","Algae","Green Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","yes","yes","yes","no"
"3","Alaria esculenta","Ochrophyta","Algae","Brown Algae","no","yes","yes","yes","yes","no","no","no","no","yes","no","no","yes","yes","no ","no ","no","yes","yes","no"
"4","Ascophyllum nodosum","Ochrophyta","Algae","Brown Algae","no","yes","no","yes","yes","no","no","no","no","yes","yes","no","yes","yes","no ","no ","no","yes","yes","no"
"5","Bonnemaisonia hamifera","Rhodophyta","Algae","Red Algae","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","no","yes","no ","no ","yes","yes","yes","yes","yes"
"6","Ceramium","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no ","no ","yes","yes","yes","yes","yes"
"7","Ceramium virgatum","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","yes","no","no","no","yes","no","no","no ","no ","yes","no","yes","yes","yes"
"8","Chaetomorpha linum","Chlorophyta","Algae","Green Algae","no","yes","yes","yes","yes","no","yes","no","no","no","no","no","no","no ","no ","yes","yes","no","yes","yes"
"9","Chondrus crispus","Rhodophyta","Algae","Red Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","no","yes","yes","no"
"10","Chordaria flagelliformis","Ochrophyta","Algae","Brown Algae","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no ","yes","no ","yes","yes","yes","no"
"11","Chorda filum","Ochrophyta","Algae","Brown Algae","no","no","yes","yes","yes","no","no","no","no","no","no","no","no","yes","no ","no ","yes","no","yes","no"
