"","Phymatolithon lenormandii","Prasiola stipitata","Ascophyllum nodosum","Hildenbrandia rubra","Fucus vesiculosus","Mastocarpus stellatus","Chondrus crispus","Saccharina latissima","Ulva lactuca","Corallina officinalis","Fucus distichus","Ceramium virgatum","Clathromorphum circumscriptum","Ulva intestinalis","Plumaria plumosa","Palmaria palmata","Alaria esculenta","Polysiphonia","Porphyra","Ahnfeltia plicata","Pylaiella littoralis","Leathesia marina","Spongomorpha aeruginosa","Elachista fucicola","Ptilota serrata","Cystoclonium purpureum","Chordaria flagelliformis","Bonnemaisonia hamifera","Codium fragile"
"Phymatolithon lenormandii",0,0.978200554894966,0.94966309948474,0.628088254723213,0.94966309948474,0.738010305192231,0.738010305192231,0.908442330558858,0.936979785969084,0.738010305192231,0.94966309948474,0.738010305192231,0.628088254723213,0.936979785969084,0.738010305192231,0.738010305192231,0.908442330558858,0.759809750297265,0.766547760602457,0.908442330558858,0.94966309948474,0.908442330558858,0.908442330558858,0.94966309948474,0.738010305192231,0.738010305192231,0.908442330558858,0.759809750297265,0.930241775663892
"Prasiola stipitata",0.978200554894966,0,0.850046241247193,0.978200554894966,0.850046241247193,0.956401109789933,0.956401109789933,0.956401109789933,0.634694147179284,0.956401109789933,0.850046241247193,0.956401109789933,0.978200554894966,0.634694147179284,0.956401109789933,0.956401109789933,0.956401109789933,0.978200554894966,0.847403884264764,0.743691372704452,0.850046241247193,0.956401109789933,0.743691372704452,0.850046241247193,0.956401109789933,0.956401109789933,0.956401109789933,0.978200554894966,0.765490817809486
"Ascophyllum nodosum",0.94966309948474,0.850046241247193,0,0.94966309948474,0.620689655172414,0.927863654379707,0.927863654379707,0.727044523715154,0.956401109789933,0.927863654379707,0.620689655172414,0.927863654379707,0.94966309948474,0.956401109789933,0.927863654379707,0.927863654379707,0.727044523715154,0.94966309948474,0.956401109789933,0.927863654379707,0.620689655172414,0.727044523715154,0.927863654379707,0.620689655172414,0.927863654379707,0.927863654379707,0.727044523715154,0.94966309948474,0.94966309948474
"Hildenbrandia rubra",0.628088254723213,0.978200554894966,0.94966309948474,0,0.94966309948474,0.738010305192231,0.738010305192231,0.908442330558858,0.936979785969084,0.738010305192231,0.94966309948474,0.738010305192231,0.628088254723213,0.936979785969084,0.738010305192231,0.738010305192231,0.908442330558858,0.759809750297265,0.766547760602457,0.908442330558858,0.94966309948474,0.908442330558858,0.908442330558858,0.94966309948474,0.738010305192231,0.738010305192231,0.908442330558858,0.759809750297265,0.930241775663892
"Fucus vesiculosus",0.94966309948474,0.850046241247193,0.620689655172414,0.94966309948474,0,0.927863654379707,0.927863654379707,0.727044523715154,0.956401109789933,0.927863654379707,0.620689655172414,0.927863654379707,0.94966309948474,0.956401109789933,0.927863654379707,0.927863654379707,0.727044523715154,0.94966309948474,0.956401109789933,0.927863654379707,0.620689655172414,0.727044523715154,0.927863654379707,0.620689655172414,0.927863654379707,0.927863654379707,0.727044523715154,0.94966309948474,0.94966309948474
"Mastocarpus stellatus",0.738010305192231,0.956401109789933,0.927863654379707,0.738010305192231,0.927863654379707,0,0.716210860087198,0.886642885453825,0.915180340864051,0.716210860087198,0.927863654379707,0.716210860087198,0.738010305192231,0.915180340864051,0.716210860087198,0.716210860087198,0.886642885453825,0.738010305192231,0.744748315497424,0.886642885453825,0.927863654379707,0.886642885453825,0.886642885453825,0.927863654379707,0.716210860087198,0.716210860087198,0.886642885453825,0.738010305192231,0.908442330558858
"Chondrus crispus",0.738010305192231,0.956401109789933,0.927863654379707,0.738010305192231,0.927863654379707,0.716210860087198,0,0.886642885453825,0.915180340864051,0.716210860087198,0.927863654379707,0.716210860087198,0.738010305192231,0.915180340864051,0.716210860087198,0.716210860087198,0.886642885453825,0.738010305192231,0.744748315497424,0.886642885453825,0.927863654379707,0.886642885453825,0.886642885453825,0.927863654379707,0.716210860087198,0.716210860087198,0.886642885453825,0.738010305192231,0.908442330558858
"Saccharina latissima",0.908442330558858,0.956401109789933,0.727044523715154,0.908442330558858,0.727044523715154,0.886642885453825,0.886642885453825,0,0.915180340864051,0.886642885453825,0.727044523715154,0.886642885453825,0.908442330558858,0.915180340864051,0.886642885453825,0.886642885453825,0.685823754789272,0.908442330558858,0.915180340864051,0.886642885453825,0.727044523715154,0.685823754789272,0.886642885453825,0.727044523715154,0.886642885453825,0.886642885453825,0.685823754789272,0.908442330558858,0.908442330558858
"Ulva lactuca",0.936979785969084,0.634694147179284,0.956401109789933,0.936979785969084,0.956401109789933,0.915180340864051,0.915180340864051,0.915180340864051,0,0.915180340864051,0.956401109789933,0.915180340864051,0.936979785969084,0.593473378253402,0.915180340864051,0.915180340864051,0.915180340864051,0.936979785969084,0.806183115338882,0.702470603778571,0.956401109789933,0.915180340864051,0.702470603778571,0.956401109789933,0.915180340864051,0.915180340864051,0.915180340864051,0.936979785969084,0.724270048883604
"Corallina officinalis",0.738010305192231,0.956401109789933,0.927863654379707,0.738010305192231,0.927863654379707,0.716210860087198,0.716210860087198,0.886642885453825,0.915180340864051,0,0.927863654379707,0.716210860087198,0.738010305192231,0.915180340864051,0.716210860087198,0.716210860087198,0.886642885453825,0.738010305192231,0.744748315497424,0.886642885453825,0.927863654379707,0.886642885453825,0.886642885453825,0.927863654379707,0.716210860087198,0.716210860087198,0.886642885453825,0.738010305192231,0.908442330558858
"Fucus distichus",0.94966309948474,0.850046241247193,0.620689655172414,0.94966309948474,0.620689655172414,0.927863654379707,0.927863654379707,0.727044523715154,0.956401109789933,0.927863654379707,0,0.927863654379707,0.94966309948474,0.956401109789933,0.927863654379707,0.927863654379707,0.727044523715154,0.94966309948474,0.956401109789933,0.927863654379707,0.620689655172414,0.727044523715154,0.927863654379707,0.620689655172414,0.927863654379707,0.927863654379707,0.727044523715154,0.94966309948474,0.94966309948474
