"","species","group","common_name_division_bgr","body_size_avg_bin","morphology1","dietary_pref_c","trophic_level","motility_juv","motility_adult","benthic","epibiotic","invasive","intertidal","subtidal"
"42","Urticina felina","Invertebrate","Anemone","medium","soft","predator","secondary consumer","motile","sessile","yes","yes","no","no","yes"
"43","Semibalanus balanoides","Invertebrate","Barnacle","small","calcareous","filter-suspension","primary consumer","motile","sessile","no","yes","no","yes","no"
"44","Anomia simplex","Invertebrate","Bivalve","small","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","no"
"45","Hiatella arctica","Invertebrate","Bivalve","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","no"
"46","Modiolus modiolus","Invertebrate","Bivalve","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes"
"47","Mytilus edulis","Invertebrate","Bivalve","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes"
"48","Ostrea edulis","Invertebrate","Bivalve","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","no","yes","yes","yes","yes"
"49","Placopecten magellanicus","Invertebrate","Bivalve","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"50","Bugulina spicata","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no","yes"
"51","Crisia eburnea","Invertebrate","Bryozoan","small","calcareous","filter-suspension","primary producer","motile","sessile","yes","yes","no","no","yes"
"52","Crisularia turrita","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"53","Dendrobeania murrayana","Invertebrate","Bryozoan","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"54","Membranipora membranacea","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","yes","yes"
"55","Patinella verrucaria","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"56","Schizoporella unicornis","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes"
"57","Tricellaria inopinata","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","yes","no","yes"
"58","Boreochiton ruber","Invertebrate","Chiton","small","calcareous","herbivore","primary consumer","motile","motile","yes","yes","no","no","yes"
"59","Stenosemus albus","Invertebrate","Chiton","small","calcareous","herbivore","primary consumer","motile","motile","yes","no","no","no","yes"
"60","Metridium senile","Invertebrate","Cnidarian","medium-large","soft","filter-suspension","secondary consumer","motile","sessile","yes","yes","no","yes","no"
"61","Pachycerianthus borealis","Invertebrate","Cnidarian","medium-large","soft","filter-suspension","secondary consumer","motile","sessile","yes","no","no","no","yes"
"63","Amphipoda","Invertebrate","Crustacean","small","calcareous","filter-suspension","secondary consumer","motile","motile","yes","yes","no","yes","no"
"64","Cancer borealis","Invertebrate","Crustacean","small-medium","calcareous","omnivore","secondary consumer","motile","motile","yes","no","no","yes","yes"
"65","Cancer irroratus","Invertebrate","Crustacean","small-medium","calcareous","omnivore","secondary consumer","motile","motile","yes","no","no","yes","yes"
"66","Carcinus maenus","Invertebrate","Crustacean","small-medium","calcareous","omnivore","secondary consumer","motile","motile","yes","yes","yes","yes","no"
"67","Homarus americanus","Invertebrate","Crustacean","medium-large","calcareous","predator","secondary consumer","motile","motile","yes","no","no","no","yes"
"68","Isopoda","Invertebrate","Crustacean","small","calcareous","herbivore","primary consumer","motile","motile","yes","no","no","yes","no"
"69","Cucumaria frondosa","Invertebrate","Echinoderm","medium-large","calcareous","deposit feeder","decomposer","motile","motile","yes","no","no","no","yes"
"70","Echinarachnius parma","Invertebrate","Echinoderm","small-medium","calcareous","deposit feeder","decomposer","motile","motile","yes","no","no","no","yes"
"71","Ophiopholis aculeata","Invertebrate","Echinoderm","medium","calcareous","scavenger","secondary consumer","motile","motile","yes","no","no","no","yes"
"72","Strongylocentrotus droebachiensis","Invertebrate","Echinoderm","small-medium","calcareous","herbivore","primary consumer","motile","motile","yes","yes","no","yes","yes"
"73","Buccinum undatum","Invertebrate","Gastropod","small-medium","calcareous","predator","secondary consumer","motile","motile","yes","yes","no","no","yes"
"74","Crepidula fornicata","Invertebrate","Gastropod","small-medium","calcareous","filter-suspension","primary consumer","sessile","sessile","yes","yes","no","yes","yes"
"75","Lacuna vincta","Invertebrate","Gastropod","small","calcareous","filter-suspension","primary consumer","motile","motile","no","yes","no","yes","no"
"76","Littorina littorea","Invertebrate","Gastropod","small-medium","calcareous","herbivore","primary consumer","motile","motile","no","yes","yes","yes","no"
"77","Littorina obtusata","Invertebrate","Gastropod","small","calcareous","herbivore","primary consumer","motile","motile","no","yes","no","yes","no"
"78","Littorina saxatilis","Invertebrate","Gastropod","small-medium","calcareous","herbivore","primary consumer","motile","motile","yes","no","no","yes","no"
"79","Nucella lapillus","Invertebrate","Gastropod","small-medium","calcareous","predator","secondary consumer","motile","motile","no","yes","no","yes","no"
"80","Tectura testudinalis","Invertebrate","Gastropod","small","calcareous","herbivore","primary consumer","motile","motile","yes","no","no","yes","no"
"81","Testudinalia testudinalis","Invertebrate","Gastropod","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
"82","Thylacodes","Invertebrate","Gastropod","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","no","yes"
