Year,Organism,Position,Abund,n_transect,Avg_abund_per_transect,Total_abund,Rel_abund_by_side
1982,Acrosiphonia,exposed,0,9,0,7438,0
1982,Acrosiphonia,sheltered,0,7,0,5345.25,0
1982,Ahnfeltia plicata,exposed,0,9,0,7438,0
1982,Ahnfeltia plicata,sheltered,0,7,0,5345.25,0
1982,Alaria esculenta (canopy),exposed,0,9,0,7438,0
1982,Alaria esculenta (canopy),sheltered,0,7,0,5345.25,0
1982,Alaria esculenta (primary),exposed,0,9,0,7438,0
1982,Alaria esculenta (primary),sheltered,0,7,0,5345.25,0
1982,Anomia simplex,exposed,0,9,0,7438,0
1982,Anomia simplex,sheltered,0,7,0,5345.25,0
1982,Antithamnion,exposed,0,9,0,7438,0
1982,Antithamnion,sheltered,0,7,0,5345.25,0
1982,Aplidium,exposed,0,9,0,7438,0
1982,Aplidium,sheltered,0,7,0,5345.25,0
1982,Arthopyrenia,exposed,0,9,0,7438,0
1982,Arthopyrenia,sheltered,0,7,0,5345.25,0
1982,Ascophyllum nodosum (canopy),exposed,68,9,7.555555555555555,7438,0.009142242538316752
1982,Ascophyllum nodosum (canopy),sheltered,135,7,19.285714285714285,5345.25,0.025256068472007856
1982,Ascophyllum nodosum (primary),exposed,0,9,0,7438,0
1982,Ascophyllum nodosum (primary),sheltered,25,7,3.5714285714285716,5345.25,0.004677049717038492
1982,Audouinella,exposed,0,9,0,7438,0
1982,Audouinella,sheltered,0,7,0,5345.25,0
1982,Bare rock,exposed,0,9,0,7438,0
1982,Bare rock,sheltered,0,7,0,5345.25,0
1982,Black zone,exposed,785,9,87.22222222222223,7438,0.10553912342027427
1982,Black zone,sheltered,860.25,7,122.89285714285714,5345.25,0.16093728076329453
1982,Bonnemaisonia hamifera (Trailiella phase),exposed,0,9,0,7438,0
1982,Bonnemaisonia hamifera (Trailiella phase),sheltered,0,7,0,5345.25,0
1982,Botrylloides violaceus,exposed,0,9,0,7438,0
1982,Botrylloides violaceus,sheltered,0,7,0,5345.25,0
1982,Botryllus schlosseri,exposed,0,9,0,7438,0
1982,Botryllus schlosseri,sheltered,0,7,0,5345.25,0
1982,Brown ground,exposed,0,9,0,7438,0
1982,Brown ground,sheltered,0,7,0,5345.25,0
1982,Callophyllis,exposed,0,9,0,7438,0
1982,Ceramium virgatum (canopy),exposed,113.8,9,12.644444444444444,7438,0.015299811777359505
1982,Ceramium virgatum (canopy),sheltered,0,7,0,5345.25,0
1982,Ceramium virgatum (primary),exposed,0,9,0,7438,0
1982,Ceramium virgatum (primary),sheltered,0,7,0,5345.25,0
1982,Chaetomorpha,exposed,0,9,0,7438,0
1982,Chaetomorpha,sheltered,0,7,0,5345.25,0
1982,Chondrus crispus (canopy),exposed,1116.1,9,124.0111111111111,7438,0.1500537778972842
1982,Chondrus crispus (canopy),sheltered,836,7,119.42857142857143,5345.25,0.15640054253776717
1982,Chondrus crispus (primary),exposed,0,9,0,7438,0
1982,Chondrus crispus (primary),sheltered,0,7,0,5345.25,0
1982,Chorda filum,exposed,0,9,0,7438,0
1982,Chorda filum,sheltered,0,7,0,5345.25,0
1982,Chordaria flagelliformis,exposed,0,9,0,7438,0
1982,Chordaria flagelliformis,sheltered,0,7,0,5345.25,0
1982,Cladophora,exposed,0,9,0,7438,0
1982,Cladophora,sheltered,0,7,0,5345.25,0
1982,Clathromorphum circumscriptum,exposed,10,9,1.1111111111111112,7438,0.0013444474321054048
1982,Clathromorphum circumscriptum,sheltered,0,7,0,5345.25,0
1982,Codium fragile (canopy),exposed,0,9,0,7438,0
1982,Codium fragile (canopy),sheltered,0,7,0,5345.25,0
1982,Codium fragile (primary),exposed,0,9,0,7438,0
1982,Codium fragile (primary),sheltered,0,7,0,5345.25,0
1982,Corallina officinalis,exposed,31.5,9,3.5,7438,0.004235009411132025
1982,Corallina officinalis,sheltered,55,7,7.857142857142857,5345.25,0.010289509377484683
1982,Coralline (crust),exposed,0.5,9,0.05555555555555555,7438,6.722237160527024e-5
1982,Coralline (crust),sheltered,396,7,56.57142857142857,5345.25,0.07408446751788972
1982,Cryptosula pallasiana,exposed,33.3,9,3.6999999999999997,7438,0.004477009948910997
1982,Cryptosula pallasiana,sheltered,291.25,7,41.607142857142854,5345.25,0.054487629203498436
1982,Cyanobacteria,exposed,529,9,58.77777777777778,7438,0.07112126915837591
1982,Cyanobacteria,sheltered,50,7,7.142857142857143,5345.25,0.009354099434076984
1982,Cystoclonium purpureum,exposed,0,9,0,7438,0
1982,Cystoclonium purpureum,sheltered,0,7,0,5345.25,0
1982,Devaleraea ramentacea,exposed,0,9,0,7438,0
1982,Devaleraea ramentacea,sheltered,0,7,0,5345.25,0
1982,Diadumene lineata,exposed,0,9,0,7438,0
1982,Diadumene lineata,sheltered,0,7,0,5345.25,0
1982,Diatom,exposed,0,9,0,7438,0
1982,Diatom,sheltered,0,7,0,5345.25,0
1982,Diplosoma,exposed,0,9,0,7438,0
1982,Diplosoma,sheltered,0,7,0,5345.25,0
1982,Dumontia concortum,exposed,0,9,0,7438,0
1982,Dumontia concortum,sheltered,0,7,0,5345.25,0
1982,Dynamena pumila,exposed,0,9,0,7438,0
1982,Dynamena pumila,sheltered,0,7,0,5345.25,0
