"","X.2","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","id_species","X.1","X.x","species","group","common_name_division_bgr","turf_subcanopy_canopy_algae","Steneck_Dethier_morphology_algae","body_size_avg_bin","morphology1","benthic","epibiotic","intertidal","subtidal","Historical.Abundance.x","Current.Abundance.x","POP","X.y","X1982","X1998","X2009","X2015","X1983","X1987","X1992","X1994","X2004","X2006","X2010","X2012","X2013","X1984","X1986","X1988","X1989","X1990","X1991","X1993","X1995","X1996","X1997","X1999","X2000","X2001","X2002","X2003","X2005","X1985","X2008","X2011","X2014","X2016","X2017","Current.Abundance.y","position.x","Historical.Abundance.y","position.y"
"1",7,0.141845511894761,1.43567842350456,-0.364293849869543,0.216194084365164,0.804320139168537,7,7,7,"Elachista fucicola","Algae","Brown Algae","Turf","filamentous","small-medium","Turf","no","yes","yes","no",0.1,0.3,"B",64,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0.001485884,"exposed",0,"exposed"
"2",7,0.141845511894761,1.43567842350456,-0.364293849869543,0.216194084365164,0.804320139168537,7,7,7,"Elachista fucicola","Algae","Brown Algae","Turf","filamentous","small-medium","Turf","no","yes","yes","no",0.1,0.3,"B",64,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0.001485884,"exposed",0,"sheltered"
"3",7,0.141845511894761,1.43567842350456,-0.364293849869543,0.216194084365164,0.804320139168537,7,7,7,"Elachista fucicola","Algae","Brown Algae","Turf","filamentous","small-medium","Turf","no","yes","yes","no",0.1,0.3,"B",64,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0.010409394,"sheltered",0,"exposed"
"4",7,0.141845511894761,1.43567842350456,-0.364293849869543,0.216194084365164,0.804320139168537,7,7,7,"Elachista fucicola","Algae","Brown Algae","Turf","filamentous","small-medium","Turf","no","yes","yes","no",0.1,0.3,"B",64,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0.010409394,"sheltered",0,"sheltered"
"5",13,-0.456384068207362,1.01854124508789,-0.0912414503625171,-0.435951206684801,0.220476506926781,13,13,13,"Prasiola stipitata","Algae","Green Algae","Turf","foliose algae","small-medium","Turf","yes","no","yes","no",0.47,0.25,"B",127,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,"exposed",0.017881151,"exposed"
"6",13,-0.456384068207362,1.01854124508789,-0.0912414503625171,-0.435951206684801,0.220476506926781,13,13,13,"Prasiola stipitata","Algae","Green Algae","Turf","foliose algae","small-medium","Turf","yes","no","yes","no",0.47,0.25,"B",127,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,"exposed",0.017118002,"sheltered"
"7",13,-0.456384068207362,1.01854124508789,-0.0912414503625171,-0.435951206684801,0.220476506926781,13,13,13,"Prasiola stipitata","Algae","Green Algae","Turf","foliose algae","small-medium","Turf","yes","no","yes","no",0.47,0.25,"B",127,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,"sheltered",0.017881151,"exposed"
"8",13,-0.456384068207362,1.01854124508789,-0.0912414503625171,-0.435951206684801,0.220476506926781,13,13,13,"Prasiola stipitata","Algae","Green Algae","Turf","foliose algae","small-medium","Turf","yes","no","yes","no",0.47,0.25,"B",127,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,"sheltered",0.017118002,"sheltered"
"9",20,-0.406086764547188,1.37650064543507,0.347307644956588,-1.01039289652182,0.566397222508473,20,20,20,"Corallina officinalis","Algae","Red Algae","Turf","articulated coralline","medium","Turf","yes","yes","yes","no",0.68,0.472307692,"A",45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,"exposed",0.004235009,"exposed"
"10",20,-0.406086764547188,1.37650064543507,0.347307644956588,-1.01039289652182,0.566397222508473,20,20,20,"Corallina officinalis","Algae","Red Algae","Turf","articulated coralline","medium","Turf","yes","yes","yes","no",0.68,0.472307692,"A",45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,"exposed",0.010289509,"sheltered"
"11",20,-0.406086764547188,1.37650064543507,0.347307644956588,-1.01039289652182,0.566397222508473,20,20,20,"Corallina officinalis","Algae","Red Algae","Turf","articulated coralline","medium","Turf","yes","yes","yes","no",0.68,0.472307692,"A",45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.020897055,"sheltered",0.004235009,"exposed"
"12",20,-0.406086764547188,1.37650064543507,0.347307644956588,-1.01039289652182,0.566397222508473,20,20,20,"Corallina officinalis","Algae","Red Algae","Turf","articulated coralline","medium","Turf","yes","yes","yes","no",0.68,0.472307692,"A",45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0.020897055,"sheltered",0.010289509,"sheltered"
"13",21,-0.139235728941735,-0.717562214901907,-0.545508927893167,-0.53073157214773,0.0847725135678323,21,21,21,"Cystoclonium purpureum","Algae","Red Algae","Subcanopy","corticated macrophyte","large","Subcanopy","yes","no","yes","yes",0.71,0.490769231,"C",53,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"exposed",0,"exposed"
"14",21,-0.139235728941735,-0.717562214901907,-0.545508927893167,-0.53073157214773,0.0847725135678323,21,21,21,"Cystoclonium purpureum","Algae","Red Algae","Subcanopy","corticated macrophyte","large","Subcanopy","yes","no","yes","yes",0.71,0.490769231,"C",53,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"exposed",0,"sheltered"
"15",21,-0.139235728941735,-0.717562214901907,-0.545508927893167,-0.53073157214773,0.0847725135678323,21,21,21,"Cystoclonium purpureum","Algae","Red Algae","Subcanopy","corticated macrophyte","large","Subcanopy","yes","no","yes","yes",0.71,0.490769231,"C",53,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sheltered",0,"exposed"
