"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","id_species","X.1","X","species","group","common_name_division_bgr","turf_subcanopy_canopy_algae","Steneck_Dethier_morphology_algae","body_size_avg_bin","morphology1","benthic","epibiotic","intertidal","subtidal","Historical.Abundance","Current.Abundance","POP"
"1",1.29081167126047,-0.483819155076376,0.547946925098469,0.055430784951878,-0.111701216213833,1,1,1,"Agarum clathratum","Algae","Brown Algae","Canopy","leathery macrophyte","very large","Canopy","yes","no","no","yes",0.2,0.1,"A"
"2",1.83803677012739,0.220055918078175,0.23983243907495,-0.204116598247114,0.0342370971116155,2,2,2,"Alaria esculenta","Algae","Brown Algae","Canopy","leathery macrophyte","very large","Canopy","no","yes","yes","yes",0.1,0.1,"B"
"3",1.39941104290464,0.0839734390058538,-0.0372939702622987,-0.229537438330641,0.370949231092007,3,3,3,"Ascophyllum nodosum","Algae","Brown Algae","Canopy","leathery macrophyte","large","Canopy","no","yes","yes","yes",0.6,0.15,"B"
"4",-0.145103939198145,0.653553988360768,-0.387331983319698,0.19509881214008,-0.539584243915933,4,4,4,"Colpomenia peregrina","Algae","Brown Algae","Turf","corticated foliose","small-medium","Turf","yes","yes","yes","yes",0.6,0.2,"A"
"5",-0.20096377747293,-0.954100561920981,-0.409119457456118,-0.30415332802288,0.359096380571444,5,5,5,"Desmarestia aculeata","Algae","Brown Algae","Subcanopy","corticated macrophyte","large","Subcanopy","yes","no","no","yes",0.1,0.22,"B"
"6",-0.200963777472929,-0.95410056192098,-0.409119457456119,-0.30415332802288,0.359096380571444,6,6,6,"Desmarestia viridis","Algae","Brown Algae","Subcanopy","corticated macrophyte","large","Subcanopy","yes","no","no","yes",0.2,0.1,"B"
"7",0.141845511894761,1.43567842350456,-0.364293849869543,0.216194084365164,0.804320139168537,7,7,7,"Elachista fucicola","Algae","Brown Algae","Turf","filamentous","small-medium","Turf","no","yes","yes","no",0.1,0.3,"B"
"8",-0.313327556465449,-0.710285525100912,-0.548248178236252,1.35847818379068,0.884542287584911,8,8,8,"Halosiphon tomentosus","Algae","Brown Algae","Subcanopy","filamentous","very small","Subcanopy","yes","no","no","yes",0.6,0.3,"B"
"9",1.00872036415953,-0.311169778408117,0.170845380697704,0.107954779913114,0.277616419299877,9,9,9,"Laminaria digitata","Algae","Brown Algae","Canopy","leathery macrophyte","large","Canopy","yes","yes","no","yes",0.6,0.3,"B"
"10",1.50907413991349,0.0614510476832773,0.311582319597903,-0.0932026241282089,-0.333419581684126,10,10,10,"Saccharina latissima","Algae","Brown Algae","Canopy","leathery macrophyte","very large","Canopy","yes","yes","yes","yes",0.1,0.4,"B"
"11",1.35253971979166,-0.247280808057303,0.411557454661421,-0.171147459172972,-0.386025083217445,11,11,11,"Saccorhiza dermatodea","Algae","Brown Algae","Canopy","leathery macrophyte","very large","Canopy","yes","no","yes","yes",0.41,0.4,"A"
"12",-0.240729544544699,-0.155356541830554,-0.743729286929909,0.0774868767161209,-1.10161755702003,12,12,12,"Codium fragile","Algae","Green Algae","Subcanopy","corticated foliose","medium-large","Subcanopy","yes","no","yes","yes",0.44,0.2,"B"
"13",-0.456384068207362,1.01854124508789,-0.0912414503625171,-0.435951206684801,0.220476506926781,13,13,13,"Prasiola stipitata","Algae","Green Algae","Turf","foliose algae","small-medium","Turf","yes","no","yes","no",0.47,0.25,"B"
"14",-0.277337851057119,1.14448734192684,-0.278717179922945,-0.232483364600089,-0.223371923548054,14,14,14,"Ulva lactuca","Algae","Green Algae","Turf","foliose algae","medium-large","Turf","yes","yes","yes","no",0.5,0.361538462,"B"
"15",-0.051728709303156,0.554977492347083,-0.405147672211889,0.710423677076251,-0.294921223503872,15,15,15,"Bonnemaisonia hamifera","Algae","Red Algae","Turf","filamentous","medium-large","Turf","yes","yes","yes","yes",0.53,0.38,"A"
"16",0.427866996346153,0.15886608277428,-0.293960538039596,0.914751122284301,-0.0500397521787457,16,16,16,"Ceramium","Algae","Red Algae","Canopy","filamentous","medium-large","Canopy","yes","yes","no","yes",0.56,0.398461538,"B"
"17",-0.346482199272721,-0.568139838395108,-0.31937267982887,-0.609915931541052,-0.0322222120807724,17,17,17,"Chondrus crispus","Algae","Red Algae","Subcanopy","corticated macrophyte","medium","Subcanopy","yes","no","yes","yes",0.59,0.416923077,"B"
"18",-0.529099630781514,-0.00967103346791321,1.08239824435491,0.0658928639187915,-0.952098334934109,18,18,18,"Clathromorphum circumscriptum","Algae","Red Algae","Turf","crustose algae","unknown","Turf","yes","no","yes","yes",0.62,0.435384615,"C"
"19",-0.451637912388422,-0.221754005069664,0.160350832624567,0.113712650088305,-0.385714893744425,19,19,19,"Coccotylus truncatus","Algae","Red Algae","Turf","corticated foliose","medium","Turf","yes","no","no","yes",0.65,0.453846154,"C"
"20",-0.406086764547188,1.37650064543507,0.347307644956588,-1.01039289652182,0.566397222508473,20,20,20,"Corallina officinalis","Algae","Red Algae","Turf","articulated coralline","medium","Turf","yes","yes","yes","no",0.68,0.472307692,"A"
"21",-0.139235728941735,-0.717562214901907,-0.545508927893167,-0.53073157214773,0.0847725135678323,21,21,21,"Cystoclonium purpureum","Algae","Red Algae","Subcanopy","corticated macrophyte","large","Subcanopy","yes","no","yes","yes",0.71,0.490769231,"C"
"22",-0.173528009190861,-0.286967118688525,0.00389949016498942,0.582698867377849,0.472396784324394,22,22,22,"Dasysiphonia japonica","Algae","Red Algae","Turf","filamentous","large","Turf","yes","no","no","yes",0.74,0.509230769,"C"
"23",0.0772868025318192,-0.337341459278703,-0.354708224978292,-0.416306826490343,0.6623638352519,23,23,23,"Dumontia contorta","Algae","Red Algae","Subcanopy","corticated macrophyte","medium","Subcanopy","no","yes","no","yes",0.77,0.527692308,"C"
"24",-0.10167627461364,0.0706298080162507,-0.730666025336086,-0.301951525364427,0.0882323047513314,24,24,24,"Euthora cristata","Algae","Red Algae","Subcanopy","corticated macrophyte","small-medium","Subcanopy","yes","yes","yes","yes",0.8,0.546153846,"C"
"25",-0.484655773007429,-0.0379122266153782,0.681042366179516,-0.14465937599574,-0.203153106094479,25,25,25,"Hildenbrandia rubra","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","no","yes","yes",0.83,0.564615385,"C"
"26",-0.389849401416795,0.0342812821061287,0.717456701553048,0.159863703173873,0.123776262442452,26,26,26,"Leptophytum acervatum","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","yes","no","yes",0.6,0.583076923,"C"
"27",-0.546383821538622,-0.274450573634451,0.817431836616566,0.0819188681291101,0.071170760909133,27,27,27,"Lithophyllum ","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","no","no","yes",0.1,0.601538462,"C"
"28",-0.546383821538622,-0.274450573634451,0.817431836616566,0.0819188681291101,0.071170760909133,28,28,28,"Lithothamnion","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","no","no","yes",0.2,0.62,"C"
"29",-0.346482199272721,-0.568139838395108,-0.31937267982887,-0.609915931541052,-0.0322222120807724,29,29,29,"Mastocarpus stellatus","Algae","Red Algae","Subcanopy","corticated macrophyte","medium","Subcanopy","yes","no","yes","yes",0.1,0.638461538,"C"
"30",-0.0841951244228716,0.153375313910026,-0.843704421993426,0.155431711760884,-1.04901205548671,30,30,30,"Palmaria palmata","Algae","Red Algae","Subcanopy","corticated foliose","medium-large","Subcanopy","yes","yes","yes","yes",0.6,0.656923077,"C"
"31",-0.455109991541379,-0.404738110012044,-0.0375087220269772,-0.346790029558724,0.178846727200468,31,31,31,"Phycodrys rubens","Algae","Red Algae","Subcanopy","foliose algae","medium","Subcanopy","yes","no","no","yes",0.6,0.675384615,"C"
"32",-0.440997964873174,0.810129930986163,0.606170339484388,-0.32450715250321,0.084583147307355,32,32,32,"Phymatolithon lenormandii","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","yes","yes","no",0.1,0.693846154,"C"
"33",-0.446607265550773,-0.487285269865062,0.185888634784997,-0.218147579997057,0.255075534485464,33,33,33,"Polyides rotunda","Algae","Red Algae","Turf","corticated macrophyte","medium","Turf","yes","no","no","yes",0.41,0.712307692,"C"
"34",-0.051728709303156,0.554977492347083,-0.405147672211889,0.710423677076251,-0.294921223503872,34,34,34,"Polysiphonia","Algae","Red Algae","Turf","filamentous","medium-large","Turf","yes","yes","yes","yes",0.1,0.730769231,"C"
"35",-0.224532490426057,-0.000229223950651477,-0.0311625963515048,-0.328993806871107,0.0344914654080863,35,35,35,"Porphyra","Algae","Red Algae","Turf","foliose algae","large","Turf","yes","no","yes","yes",0.6,0.749230769,"C"
"36",-0.23569889770705,-0.420887806625952,-0.718191484769479,-0.254373353369242,-0.460827128790142,36,36,36,"Ptilota serrata","Algae","Red Algae","Subcanopy","corticated macrophyte","medium-large","Subcanopy","yes","no","yes","yes",0.6,0.767692308,"C"
"37",-0.135968554862766,0.501224904229633,-0.181257607277929,0.811478914161152,0.475856575507894,37,37,37,"Spermothamnion repens","Algae","Red Algae","Turf","filamentous","small-medium","Turf","yes","yes","no","yes",0.1,0.786153846,"C"
"38",-0.62271326001063,-0.407062130948949,1.35366162009679,0.672272884058178,-0.0286165889032071,38,38,38,"Titanoderma","Algae","Red Algae","Turf","crustose algae","small","Turf","yes","no","no","yes",0.41,0.804615385,"C"
