"species","body_size_avg_bin","morphology1","benthic","epibiotic","intertidal","subtidal","species_id","POP","Historical.Abundance","Current.Abundance","D1","D2","D3","D4"
"Agarum clathratum",0,1,1,0,0,1,1,"A",0.2,0.1,-0.537765602491578,-2.29800498092054,-0.992634633133818,1.14163402943571
"Alaria esculenta",0,1,2,1,1,1,2,"B",0.1,0.1,1.84270766042727,-2.98800948311873,1.23571367992567,-0.0167665180531814
"Ascophyllum nodosum",1,1,2,1,1,1,3,"B",0.6,0.15,1.63732454153975,-1.21415800169551,1.08757518560173,-1.24311072463933
"Colpomenia peregrina",2,0,1,1,1,1,4,"A",0.6,0.2,0.603890020136224,0.275856750618023,-0.181832277601365,0.0858878598539511
"Desmarestia aculeata",1,2,1,0,0,1,5,"B",0.1,0.22,-1.31965536760742,-0.146569454420213,0.481368148447118,-0.37316589655488
"Desmarestia viridis",1,2,1,0,0,1,6,"B",0.2,0.1,-1.31965536760742,-0.146569454420213,0.481368148447118,-0.37316589655488
"Elachista fucicola",2,0,2,1,1,0,7,"B",0.1,0.3,2.61035041399055,0.533269803096998,0.547125789810491,-1.10606667812087
"Halosiphon tomentosus",3,2,1,0,0,1,8,"B",0.6,0.3,-1.37476179001367,0.329373308308911,0.441621052935772,-0.702206775034273
"Laminaria digitata",1,1,1,1,0,1,9,"B",0.6,0.3,0.0722703546178405,-0.564384258997983,-1.13638040077558,-0.878482045835882
"Saccharina latissima",0,1,1,1,1,1,10,"B",0.1,0.4,0.864379561429987,-1.97393749353432,0.00605331223392398,1.6412729449195
"Saccorhiza dermatodea",0,1,1,0,1,1,11,"A",0.41,0.4,0.0489604854330498,-1.93370673403366,0.0016605855517418,2.43504481360494
"Codium fragile",4,2,1,0,1,1,12,"B",0.44,0.2,-0.788035702089039,0.693671555195793,1.43591627162133,0.591204009134953
"Prasiola stipitata",2,0,1,0,1,0,13,"B",0.47,0.25,0.81660323899633,1.58757255218207,-0.686927304563436,1.34574465353725
"Ulva lactuca",4,0,1,1,1,0,14,"B",0.5,0.361538462,1.63202231499327,1.54734179268141,-0.682534577881254,0.551972784851807
"Bonnemaisonia hamifera",4,0,1,1,1,1,15,"A",0.53,0.38,0.603890020136224,0.275856750618023,-0.181832277601366,0.085887859853951
"Ceramium",4,1,1,1,0,1,16,"B",0.56,0.398461538,0.0171639322115963,-0.0884414962688595,-1.17612749628693,-1.20752292431527
"Chondrus crispus",5,2,1,0,1,1,17,"B",0.59,0.416923077,-0.788035702089039,0.693671555195793,1.43591627162133,0.591204009134953
"Clathromorphum circumscriptum",6,0,1,0,1,1,18,"C",0.62,0.435384615,-0.211529055860713,0.316087510118684,-0.186225004283548,0.87965972853939
"Coccotylus truncatus",5,0,1,0,0,1,19,"C",0.65,0.453846154,-0.798255143785341,-0.0482107367681983,-1.18052022296911,-0.413751055629836
"Corallina officinalis",5,0,1,1,1,0,20,"A",0.68,0.472307692,1.63202231499327,1.54734179268141,-0.682534577881254,0.551972784851807
"Cystoclonium purpureum",1,2,1,0,1,1,21,"C",0.71,0.490769231,-0.732929279682795,0.21772879246667,1.47566336713268,0.920244887614346
"Dasysiphonia japonica",1,0,1,0,0,1,22,"C",0.74,0.509230769,-0.743148721379097,-0.524153499497322,-1.14077312745776,-0.0847101771504428
"Dumontia contorta",5,2,2,1,0,1,23,"C",0.77,0.527692308,0.418985384980556,-0.72492944077616,1.6756741473097,-3.15401810669239
"Euthora cristata",2,2,1,1,1,1,24,"C",0.8,0.546153846,0.0273833739078978,0.653440795695132,1.44030899830351,-0.202567859550486
"Hildenbrandia rubra",5,0,1,0,1,1,25,"C",0.83,0.564615385,-0.211529055860713,0.316087510118684,-0.186225004283548,0.87965972853939
"Leptophytum acervatum",5,0,1,1,0,1,26,"C",0.6,0.583076923,0.0171639322115964,-0.0884414962688596,-1.17612749628693,-1.20752292431527
