binomial,id,1911,1959,1994,2016,weight,TotalCulmen,BillWidth,WingLength,TailLength,Tarsus,HWI,Hab_breadth,Gen_length,Historical Abundance,Current Abundance,POP,IUCN,Data_Source,Functional_Uniqueness,Functional_Distinctiveness,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8,Comp.9
Nothocercus bonapartei,1,1,1,,1,763.00,34.14,5.97,194.46,58.39,60.71,8.56,2,6.8,0.2,0.2,A,LC,MontoyaEtAl2018,0.07045555,0.223112292,2.869056442,1.472656469,1.21944787,1.239114,1.222680297,1.575257991,0.334974237,0.498533272,0.327886685
Tinamus tao,2,1,,,,1636.00,40.63,6.94,271.33,77.04,73.20,7.96,3,6.8,0.2,0,A,VU,MontoyaEtAl2018,0.07045555,0.268636845,4.317714055,1.49879944,1.058981473,1.711012801,1.043103194,2.119080267,0.472878895,0.777637258,-0.160916861
Crypturellus soui,3,1,1,1,1,236.00,22.11,4.58,127.99,46.80,36.54,13.16,4,6.8,0.4,0.2,C,LC,Medidas ICN,0.0718024,0.150868954,1.066602624,0.591454242,0.42255387,0.920272851,1.259525886,0.481339561,0.321944795,0.506582551,0.67242443
Chamaepetes goudotii,4,1,1,1,1,515.00,37.95,10.17,247.00,245.00,63.73,5.76,1,5.7,0.4,0.4,C,LC,MontoyaEtAl2018,0.066251362,0.301263648,4.789870475,2.002577647,1.174123273,1.422956454,-1.84002334,0.145620303,-0.654311345,0.01705071,-0.157194026
Penelope perspicax,5,1,,,,1197.00,35.81,11.72,297.50,305.32,77.82,6.05,3,5.7,0.6,0,A,EN,AMNH,0.089239856,0.354740399,6.347503296,1.928681558,0.662244739,2.390417435,-2.5100535,0.164302432,-0.6753167,-0.292264495,-0.28740588
Ortalis columbiana,6,1,,,1,520.00,30.84,9.85,217.50,255.00,66.21,6.89,7,5.7,0.6,0.8,C,LC,MontoyaEtAl2018,0.066251362,0.293316162,4.767429676,1.177931395,-0.778352054,2.201762524,-1.69874806,0.160838095,-0.777780011,-0.391416346,0.233025411
Odontophorus hyperythrus,7,1,1,1,1,339.50,23.85,10.95,142.20,59.85,53.10,4.64,2,3.9,0.8,0.4,C,NT,MontoyaEtAl2018,0.057726282,0.188970316,1.76576548,2.067213341,0.55405773,0.707915515,0.376866399,1.214112163,1.086658857,-0.598484514,-0.026499074
Patagioenas fasciata,8,1,1,1,1,287.73,25.78,5.45,171.40,112.89,24.93,37.32,5,6.9,0.6,0.6,C,LC,MontoyaEtAl2018,0.055712507,0.173118855,1.873728191,-0.918497462,0.457468827,0.620376304,-0.059395638,-0.163518008,0.450001219,0.773292844,0.720480292
Patagioenas cayennensis,9,1,,,1,229.00,18.70,5.10,172.90,135.00,26.20,64.65,5,6.6,0.8,0.2,C,LC,Medidas ICN-Mahecha,0.057241633,0.19993518,1.841746678,-2.306452541,0.980210195,0.813404095,-0.736050499,-0.120545612,0.554517208,0.114715306,0.728340015
Patagioenas subvinacea,10,1,,,,163.00,18.81,4.58,167.00,107.03,21.00,27.11,3,6.6,0.6,0,A,VU,MontoyaEtAl2018,0.055712507,0.145359622,1.153316005,-0.255276358,0.91846848,0.737156453,-0.040049539,-0.579477711,0.363120534,0.863191073,0.406510724
Geotrygon montana,11,1,1,1,1,110.00,19.49,3.66,132.90,58.05,27.55,30.02,4,4.6,0.8,0.4,C,LC,MontoyaEtAl2018,0.058370566,0.124810306,0.240614914,-0.255422287,0.506302497,0.698929294,0.12084144,0.632372214,0.579897356,0.460689138,0.310110687
Leptotila verreauxi,12,1,1,1,1,148.59,22.03,3.28,134.75,80.01,29.79,19.42,7,4.2,0.8,0.2,C,LC,MontoyaEtAl2018,0.051916639,0.137372271,0.604247256,-0.034635478,-0.692244322,1.134881904,-0.087330834,0.708129825,0.381309677,0.698749344,0.489204691
Zentrygon frenata,13,1,1,1,1,307.00,26.27,3.87,160.50,93.52,37.54,27.57,3,4.6,0.8,0.6,C,LC,MontoyaEtAl2018,0.06170918,0.160820827,1.391864306,0.213451167,0.8987781,0.977591816,-0.342628224,0.932698007,0.512986742,0.58434864,0.544997287
Tapera naevia,14,1,1,1,1,50.00,18.49,6.00,113.00,184.00,24.58,19.73,3,4.2,0.6,0.2,C,LC,Medidas ICN-Mahecha,0.06262928,0.138959647,0.801036023,0.506799092,0.329407074,0.673609796,-1.7560283,-0.825899539,-0.491356723,-0.070960044,0.347258896
Piaya cayana,15,1,1,1,1,102.00,33.77,10.79,145.33,265.00,36.14,11.18,8,4.2,0.8,0.6,C,LC,MontoyaEtAl2018,0.059420208,0.225425591,3.029322263,0.670397243,-1.652482819,0.735187351,-2.602312161,-0.777017221,-0.903867765,-0.274290263,0.395737071
