Year,Transect,Position,Organism
1982,1,sheltered,Cryptosula pallasiana
1982,1,sheltered,Phymatolithon lenormandii
1982,2,sheltered,Prasiola stipitata
1982,2,sheltered,Ascophyllum nodosum
1982,2,sheltered,Fucus 
1982,2,sheltered,Hildenbrandia rubra
1982,2,sheltered,Semibalanus balanoides
1982,2,sheltered,Ectocarpus
1982,2,sheltered,Verrucaria 
1982,2,sheltered,Fucus vesiculosus
1982,2,sheltered,Mastocarpus stellatus
1982,2,sheltered,Ascophyllum nodosum
1982,2,sheltered,Fucus 
1982,2,sheltered,Chondrus crispus
1982,2,sheltered,Cryptosula pallasiana
1982,2,sheltered,Saccharina latissima
1982,2,sheltered,Ulva lactuca
1982,5,sheltered,Hildenbrandia rubra
1982,5,sheltered,Corallina 
1982,5,sheltered,Phymatolithon lenormandii
1982,5,sheltered,Cryptosula pallasiana
1982,5,sheltered,Corallina officinalis
1982,5,sheltered,Ralfsia 
1982,7,sheltered,Prasiola stipitata
1982,7,sheltered,Ascophyllum nodosum
1982,7,sheltered,Chondrus crispus
1982,7,sheltered,Fucus distichus
1982,7,sheltered,Hildenbrandia rubra
1982,7,sheltered,Mytilus edulis
1982,7,sheltered,Ulva lactuca
1982,7,sheltered,Verrucaria 
1982,7,sheltered,Mastocarpus stellatus
1982,7,sheltered,Modiolus modiolus
1982,7,sheltered,Corallina 
1982,7,sheltered,Phymatolithon lenormandii
1982,8,sheltered,Cyanobacteria
1982,8,sheltered,Hildenbrandia rubra
1982,8,sheltered,Phymatolithon lenormandii
1982,8,sheltered,Semibalanus balanoides
1982,8,sheltered,Cryptosula pallasiana
1982,10,exposed,Semibalanus balanoides
1982,10,exposed,Ceramium virgatum
1982,10,exposed,Hildenbrandia rubra
1982,10,exposed,Chondrus crispus
1982,10,exposed,Phymatolithon lenormandii
1982,10,exposed,Cryptosula pallasiana
1982,10,exposed,Ulva lactuca
1982,10,exposed,Mastocarpus stellatus
1982,10,exposed,Modiolus modiolus
1982,10,exposed,Corallina officinalis
1982,11,exposed,Cyanobacteria
1982,11,exposed,Prasiola stipitata
1982,11,exposed,Semibalanus balanoides
