"","NETWORK.x","PI.x","YEAR_MONTH_DAY_TRANSECT","YEAR.x","MONTH.x","DAY.x","SITE.x","TRANSECT.x","SP_CODE","QUAD","SIDE","FISH.SIZE","COUNT","AREA","GROUP","DIVISION.FAMILY","COMMON.DIVISION.NAME","SIZE","COMMON.NAME","KINGDOM","PHYLUM","CLASS","ORDER","FAMILY","GENUS","SPECIES","SAMPLING_METHOD","NOTES","BLADE_LENGTH_CM","WIDTH_CM","STIPE_LENGTH_CM","WET_WEIGHT","DRY_WEIGHT","PERCENT_COVER","NETWORK.y","PI.y","YEAR.y","MONTH.y","DAY.y","SITE.y","TRANSECT.y","START_LATITUDE","START_LONGITUDE","END_LATITUDE","END_LONGITUDE","START_DEPTH_M","END_DEPTH_M","TEMPERATURE_C","VISIBILITY_M"
"1","KEEN ONE","Byrnes","2014_7_17_North Smith's Cove",2014,7,17,"SW Appledore","North Smith's Cove","TAAD",NA,NA,"0-10",5,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,17,"SW Appledore","North Smith's Cove",42.984961979,-70.618916983,42.984833987,-70.618681032,9.1,9.1,9,2.5
"2","KEEN ONE","Byrnes","2014_7_17_South Smith's Cove",2014,7,17,"SW Appledore","South Smith's Cove","POVI",NA,NA,"10-50",70,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,17,"SW Appledore","South Smith's Cove",42.984478008,-70.618435023,42.984103002,-70.618429994,8.4,12.6,9,3
"3","KEEN ONE","Byrnes","2014_7_17_North Smith's Cove",2014,7,17,"SW Appledore","North Smith's Cove","TAAD",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,17,"SW Appledore","North Smith's Cove",42.984961979,-70.618916983,42.984833987,-70.618681032,9.1,9.1,9,2.5
"4","KEEN ONE","Byrnes","2014_7_17_North Smith's Cove",2014,7,17,"SW Appledore","North Smith's Cove","POVI",NA,NA,"10-50",5,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,17,"SW Appledore","North Smith's Cove",42.984961979,-70.618916983,42.984833987,-70.618681032,9.1,9.1,9,2.5
"5","KEEN ONE","Byrnes","2014_7_18_Broad Cove",2014,7,18,"NE Appledore","Broad Cove","POVI",NA,NA,"10-50",86,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,18,"NE Appledore","Broad Cove",42.989987014,-70.611166991,42.989742011,-70.610920982,6,8.4,9,5
"6","KEEN ONE","Byrnes","2014_7_18_Norwegian Cove",2014,7,18,"NE Appledore","Norwegian Cove","POVI",NA,NA,"10-50",24,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,18,"NE Appledore","Norwegian Cove",42.990710959,-70.610730965,42.991084037,-70.610600039,9.8,10.1,9,4.5
"7","KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","TAAD",NA,NA,"YOY",1,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,18,"NW Appledore","Larus Ledge",42.991161989,-70.618240982,42.991544036,-70.618120031,11.4,4.4,12,3
"8","KEEN ONE","Byrnes","2014_7_18_Sandpiper Beach",2014,7,18,"NW Appledore","Sandpiper Beach","TAAD",NA,NA,"0-10",3,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,18,"NW Appledore","Sandpiper Beach",42.99012,-70.617828,NA,NA,9.4,4.5,12.5,3
"9","KEEN ONE","Byrnes","2014_7_18_Larus Ledge",2014,7,18,"NW Appledore","Larus Ledge","TAAD",NA,NA,"0-10",8,80,"Fish","Chordates","Fish",NA,"Cunner","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,18,"NW Appledore","Larus Ledge",42.991161989,-70.618240982,42.991544036,-70.618120031,11.4,4.4,12,3
"10","KEEN ONE","Byrnes","2014_7_18_Sandpiper Beach",2014,7,18,"NW Appledore","Sandpiper Beach","POVI",NA,NA,"10-50",2,80,"Fish","Chordates","Fish",NA,"Pollock","Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","keen_fish",NA,NA,NA,NA,NA,NA,NA,"KEEN ONE","Byrnes",2014,7,18,"NW Appledore","Sandpiper Beach",42.99012,-70.617828,NA,NA,9.4,4.5,12.5,3
