"","query","kingdom","phylum","class","order"
"1","Cryptosula pallasiana","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida"
"2","Fucus ","Chromista","Ochrophyta","Phaeophyceae","Fucales"
"3","Ectocarpus","Chromista","Ochrophyta","Phaeophyceae","Ectocarpales"
"4","Verrucaria ","Fungi","Ascomycota","Eurotiomycetes","Verrucariales"
"5","Fucus vesiculosus","Chromista","Ochrophyta","Phaeophyceae","Fucales"
"6","Corallina ","Plantae","Rhodophyta","Florideophyceae","Corallinales"
"7","Ralfsia ","Chromista","Ochrophyta","Phaeophyceae","Ralfsiales"
"8","Fucus distichus","Chromista","Ochrophyta","Phaeophyceae","Fucales"
"9","Cyanobacteria","Bacteria","Cyanobacteria",NA,NA
"10","Ceramium virgatum","Plantae","Rhodophyta","Florideophyceae","Ceramiales"
"11","Fucus vesiculosus var. spiralis","Chromista","Ochrophyta","Phaeophyceae","Fucales"
"12","Ulva intestinalis","Plantae","Chlorophyta","Ulvophyceae","Ulvales"
"13","Plumaria plumosa","Plantae","Rhodophyta","Florideophyceae","Ceramiales"
"14","Sphacelaria cirrosa ","Chromista","Ochrophyta","Phaeophyceae","Sphacelariales"
"15","Hincksia granulosa","Chromista","Ochrophyta","Phaeophyceae","Ectocarpales"
"16","Ahnfeltia plicata","Plantae","Rhodophyta","Florideophyceae","Ahnfeltiales"
"17","Chaetomorpha","Plantae","Chlorophyta","Ulvophyceae","Cladophorales"
"18","Cladophora","Plantae","Chlorophyta","Ulvophyceae","Cladophorales"
"19","Chaetomorpha ligustica","Plantae","Chlorophyta","Ulvophyceae","Cladophorales"
"20","Erythrotrichia carnea","Plantae","Rhodophyta","Compsopogonophyceae","Erythropeltidales"
"21","Pylaiella littoralis","Chromista","Ochrophyta","Phaeophyceae","Ectocarpales"
"22","Leathesia marina","Chromista","Ochrophyta","Phaeophyceae","Ectocarpales"
"23","Spongomorpha aeruginosa","Plantae","Chlorophyta","Ulvophyceae","Ulotrichales"
"24","Audouinella ","Plantae","Rhodophyta","Florideophyceae","Nemaliales"
"25","Halichondria","Animalia","Porifera","Demospongiae","Suberitida"
"26","Metridium dianthus","Animalia","Cnidaria","Anthozoa","Actiniaria"
"27","Arthopyrenia","Fungi","Ascomycota","Dothideomycetes","Pleosporales"
"28","Scytosiphon lomentaria ","Chromista","Ochrophyta","Phaeophyceae","Scytosiphonales"
"29","Diatoma","Chromista","Ochrophyta","Bacillariophyceae","Fragilariales"
"30","Monostroma","Plantae","Chlorophyta","Ulvophyceae","Ulotrichales"
"31","Chordaria flagelliformis","Chromista","Ochrophyta","Phaeophyceae","Ectocarpales"
"32","Sphacelaria","Chromista","Ochrophyta","Phaeophyceae","Sphacelariales"
"33","Electra pilosa","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida"
"34","Vertebrata lanosa","Plantae","Rhodophyta","Florideophyceae","Ceramiales"
"35","Antithamnion","Plantae","Rhodophyta","Florideophyceae","Ceramiales"
"36","Chorda filum","Chromista","Ochrophyta","Phaeophyceae","Laminariales"
"37","Bangia atropurpurea","Plantae","Rhodophyta","Bangiophyceae","Bangiales"
"38","Devaleraea ramentacea","Plantae","Rhodophyta","Florideophyceae","Palmariales"
"39","Petalonia fascia","Chromista","Ochrophyta","Phaeophyceae","Scytosiphonales"
"40","Nemalion helminthoides","Plantae","Rhodophyta","Florideophyceae","Nemaliales"
"41","Dynamena pumila","Animalia","Cnidaria","Hydrozoa","Leptothecata"
"42","Diadumene lineata","Animalia","Cnidaria","Anthozoa","Actiniaria"
"43","Diplosoma ","Animalia","Chordata","Ascidiacea","Aplousobranchia"
