"","Organism"
"1","Cryptosula pallasiana"
"2","Fucus "
"3","Ectocarpus"
"4","Verrucaria "
"5","Fucus vesiculosus"
"6","Corallina "
"7","Ralfsia "
"8","Fucus distichus"
"9","Cyanobacteria"
"10","Ceramium virgatum"
"11","Fucus vesiculosus var. spiralis"
"12","Ulva intestinalis"
"13","Plumaria plumosa"
"14","Sphacelaria cirrosa "
"15","Hincksia granulosa"
"16","Ahnfeltia plicata"
"17","Chaetomorpha"
"18","Cladophora"
"19","Chaetomorpha ligustica"
"20","Erythrotrichia carnea"
"21","Pylaiella littoralis"
"22","Leathesia marina"
"23","Spongomorpha aeruginosa"
"24","Audouinella "
"25","Halichondria"
"26","Metridium dianthus"
"27","Arthopyrenia"
"28","Scytosiphon lomentaria "
"29","Diatoma"
"30","Monostroma"
"31","Chordaria flagelliformis"
"32","Sphacelaria"
"33","Electra pilosa"
"34","Vertebrata lanosa"
"35","Antithamnion"
"36","Chorda filum"
"37","Bangia atropurpurea"
"38","Devaleraea ramentacea"
"39","Petalonia fascia"
"40","Nemalion helminthoides"
"41","Dynamena pumila"
"42","Diadumene lineata"
"43","Diplosoma "
"44","Acrosiphonia"
"45","Protectocarpus speciosus"
"46","Bugula neritina"
"47","Cladostephus spongiosus "
"48","Tricellaria"
"49","Annelida"
"50","Anurida maritima"
"51","Platyhelminthes"
"52","Halacarus"
"53","Hemigrapsus sanguineus"
"54","Idotea balthica"
"55","Lepidonotus"
"56","Namanereis"
"57","Micrura affinis"
"58","Nematodes"
"59","Nemertea"
"60","Nudibranchia"
"61","Oligochaeta "
"62","Ophiopholis"
"63","Pagurus acadianus"
"64","Polychaeta (class in Lophotrochozoa)"
"65","Notoplana"
"66","Acoela"
"67","Turbellaria"
"68","Gaidropsarus"
"69","Colus stimpsoni"
"70","Copepoda"
"71","Euplana"
"72","Nicolea"
"73","Celleporella hyalina"
"74","Aplidium"
"75","Mya arenaria"
"76","Cirratulus"
"77","Molgula"
"78","Culicoides"
"79","Praunus"
"80","Dendrodoa"
"81","Cancer"
"82","Flabellina "
"83","Foviella"
"84","Thelepus cincinnatus"
"85","Skeneopsis planorbis"
"86","Onchidoris"
"87","Grammaria"
"88","Dendronotus"
"89","Cerianthus"
"90","Astyris lunata"
"91","Flustrellidra hispida"
