name,value
1,Semibalanus balanoides
2,Fucus spiralis (canopy)
3,Cyanobacteria
4,Chondrus crispus (primary)
5,Fucus (canopy)
6,Modiolus modiolus
7,Ulva lactuca
8,Arthopyrenia
9,Verrucaria
10,Hildenbrandia rubra
11,Prasiola stipitata
12,Phymatolithon lenormandii
13,Ralfsia
14,Chaetomorpha
15,Coralline (crust)
16,Polysiphonia (canopy)
17,Chondrus crispus (canopy)
18,Codium fragile (canopy)
19,Elachista fucicola
20,Ulva intestinalis
21,Rhizoclonium tortuosum
22,Plumaria plumosa
23,Mastocarpus stellatus (canopy)
24,Little round green things
25,Ectocarpus
26,Corallina officinalis
27,Mytilus edulis
28,Leathesia marina
29,Fucus distichus (canopy)
30,Fucus vesiculosus (canopy)
31,Metridium senile
32,Black zone
33,Fucus (primary)
34,Ascophyllum nodosum (canopy)
35,Cladophora
36,Mastocarpus stellatus (crust)
37,Monostroma
38,Ceramium virgatum (canopy)
39,Ascophyllum nodosum (primary)
40,Mastocarpus stellatus (primary)
41,Alaria esculenta (primary)
42,Saccharina latissima (canopy)
43,Chordaria flagelliformis
44,Porphyra
45,Ahnfeltia plicata
46,Anomia simplex
47,Halichondria
48,Brown lichen
49,Cryptosula pallasiana
50,Spongomorpha aeruginosa
51,Bare rock
52,Shell hash
53,Alaria esculenta (canopy)
54,Clathromorphum circumscriptum
55,Scytosiphon lomentaria
56,Palmaria palmata
57,Erythrotrichia carnea
58,Giffordia granulosa
59,Ptilota serrata
60,Pylaiella littoralis
61,Bonnemaisonia hamifera (Trailiella phase)
62,Cystoclonium purpureum
63,Saccharina latissima (primary)
64,Diatom
65,Sphacelaria
66,Audouinella
67,Sphacelaria cirrosa
68,Ceramium virgatum (primary)
69,Lithophyllum
70,Tectura testudinalis
71,Amphipoda
72,Annelid
73,Anurida maritima
74,Asterias forbesi
75,Asterias rubens
76,Cancer irroratus
77,Carcinus maenus
78,platyhelminthes
79,Halacarus
80,Hiatella arctica
81,Idotea baltica
82,Isopods
83,Lacuna vincta
84,Lepidonotus
85,Littorina littorea
86,Littorina obtusata
87,Littorina saxatilis
88,Micrura affinis
89,Nematodes
90,Nemertean
91,Nucella lapillus
92,Nudibranchia
93,Oligochaete
94,Ophiopholis
95,Pagurus acadianus
96,Polychaeta
97,Spirorbis
98,Strongylocentrotus droebachiensis
99,Turbellarid
100,Mussel
101,Colus stimpsoni
102,Hippothoa hyalina
103,Nucella lapillus (egg case)
104,Molgula
105,Foviella
106,Thelepus cincinnatus
107,Skeneopsis planorbis
108,Crepidula fornicata
109,Onchidoris
110,Gammarid
111,Tonicella rubra
