name,value
1,Cryptosula pallasiana
2,Phymatolithon lenormandii
3,Prasiola stipitata
4,Ascophyllum nodosum
5,Fucus 
6,Hildenbrandia rubra
7,Semibalanus balanoides
8,Ectocarpus
9,Verrucaria 
10,Fucus vesiculosus
11,Mastocarpus stellatus
12,Chondrus crispus
13,Saccharina latissima
14,Ulva lactuca
15,Corallina 
16,Corallina officinalis
17,Ralfsia 
18,Fucus distichus
19,Mytilus edulis
20,Modiolus modiolus
21,Cyanobacteria
22,Ceramium virgatum
23,Clathromorphum circumscriptum
24,Fucus vesiculosus var. spiralis
25,Ulva intestinalis
26,Plumaria plumosa
27,Palmaria palmata
28,Sphacelaria cirrosa 
29,Hincksia granulosa
30,Alaria esculenta
31,Polysiphonia
32,Porphyra
33,Ahnfeltia plicata
34,Chaetomorpha
35,Cladophora
36,Chaetomorpha ligustica
37,Erythrotrichia carnea
38,Pylaiella littoralis
39,Leathesia marina
40,Spongomorpha aeruginosa
41,Lithophyllum
42,Audouinella 
43,Halichondria
44,Metridium dianthus
45,Anomia simplex
46,Arthopyrenia
47,Elachista fucicola
48,Scytosiphon lomentaria 
49,Diatoma
50,Monostroma
51,Ptilota serrata
52,Cystoclonium purpureum
53,Chordaria flagelliformis
54,Bonnemaisonia hamifera
55,Codium fragile
56,Sphacelaria
57,Electra pilosa
58,Euthora cristata
59,Vertebrata lanosa
60,Hiatella arctica
61,Saccorhiza dermatodea
62,Antithamnion
63,Chorda filum
64,Bangia atropurpurea
65,Devaleraea ramentacea
66,Petalonia fascia
67,Nemalion helminthoides
68,Dynamena pumila
69,Schizoporella unicornis
70,Dumontia contorta
71,Diadumene lineata
72,Botrylloides violaceus
73,Membranipora membranacea
74,Botryllus schlosseri
75,Diplosoma 
76,Acrosiphonia
77,Didemnum vexillum
78,Spirorbis
79,Protectocarpus speciosus
80,Bugula neritina
81,Testudinalia testudinalis
82,Amphipoda
83,Annelida
84,Anurida maritima
85,Asterias forbesi
86,Asterias rubens
87,Cancer borealis
88,Cancer irroratus
89,Carcinus maenus
90,Crepidula fornicata
91,Platyhelminthes
92,Halacarus
93,Hemigrapsus sanguineus
94,Henricia sanguinolenta
95,Idotea balthica
96,Isopoda
97,Lacuna vincta
98,Lepidonotus
99,Littorina littorea
100,Littorina obtusata
101,Littorina saxatilis
102,Namanereis
103,Micrura affinis
104,Nematodes
105,Nemertea
106,Nucella lapillus
107,Nudibranchia
108,Oligochaeta 
109,Ophiopholis
110,Pagurus acadianus
111,Polychaeta (class in Lophotrochozoa)
112,Strongylocentrotus droebachiensis
113,Boreochiton ruber
114,Notoplana
115,Acoela
116,Turbellaria
117,Gaidropsarus
118,Colus stimpsoni
119,Copepoda
120,Euplana
121,Nicolea
122,Celleporella hyalina
123,Aplidium
124,Mya arenaria
125,Cirratulus
126,Molgula
127,Culicoides
128,Praunus
129,Dendrodoa
130,Cancer
131,Flabellina 
132,Foviella
133,Thelepus cincinnatus
134,Skeneopsis planorbis
135,Onchidoris
136,Grammaria
137,Dendronotus
138,Cerianthus
