"year","name"
1982,"Acoela"
1998,"Acrosiphonia"
2009,"Acrosiphonia"
2015,"Acrosiphonia"
1983,"Ahnfeltia plicata"
1987,"Ahnfeltia plicata"
1992,"Ahnfeltia plicata"
1994,"Ahnfeltia plicata"
1998,"Ahnfeltia plicata"
2004,"Ahnfeltia plicata"
2006,"Ahnfeltia plicata"
2009,"Ahnfeltia plicata"
2010,"Ahnfeltia plicata"
2012,"Ahnfeltia plicata"
2013,"Ahnfeltia plicata"
2015,"Ahnfeltia plicata"
1982,"Alaria esculenta"
1983,"Alaria esculenta"
1984,"Alaria esculenta"
1986,"Alaria esculenta"
1987,"Alaria esculenta"
1988,"Alaria esculenta"
1989,"Alaria esculenta"
1990,"Alaria esculenta"
1991,"Alaria esculenta"
1992,"Alaria esculenta"
1993,"Alaria esculenta"
1994,"Alaria esculenta"
1995,"Alaria esculenta"
1996,"Alaria esculenta"
1997,"Alaria esculenta"
1998,"Alaria esculenta"
1999,"Alaria esculenta"
2000,"Alaria esculenta"
2001,"Alaria esculenta"
2002,"Alaria esculenta"
2003,"Alaria esculenta"
2004,"Alaria esculenta"
2005,"Alaria esculenta"
2006,"Alaria esculenta"
2009,"Alaria esculenta"
2010,"Alaria esculenta"
1982,"Amphipoda"
1983,"Amphipoda"
1984,"Amphipoda"
1985,"Amphipoda"
1986,"Amphipoda"
1987,"Amphipoda"
1988,"Amphipoda"
1989,"Amphipoda"
1990,"Amphipoda"
1991,"Amphipoda"
1992,"Amphipoda"
1993,"Amphipoda"
1994,"Amphipoda"
1995,"Amphipoda"
1996,"Amphipoda"
1997,"Amphipoda"
1998,"Amphipoda"
1999,"Amphipoda"
2000,"Amphipoda"
2001,"Amphipoda"
2002,"Amphipoda"
2003,"Amphipoda"
2004,"Amphipoda"
2005,"Amphipoda"
2006,"Amphipoda"
2008,"Amphipoda"
2009,"Amphipoda"
2010,"Amphipoda"
2011,"Amphipoda"
2012,"Amphipoda"
2013,"Amphipoda"
2014,"Amphipoda"
2016,"Amphipoda"
2017,"Amphipoda"
1985,"Annelid"
1989,"Annelid"
1990,"Annelid"
1997,"Annelid"
1998,"Annelid"
2000,"Annelid"
2004,"Annelid"
2009,"Annelid"
2010,"Annelid"
1982,"Anomia simplex"
1983,"Anomia simplex"
1984,"Anomia simplex"
1987,"Anomia simplex"
1989,"Anomia simplex"
1994,"Anomia simplex"
1997,"Anomia simplex"
1998,"Anomia simplex"
2000,"Anomia simplex"
2001,"Anomia simplex"
2002,"Anomia simplex"
2004,"Anomia simplex"
2006,"Anomia simplex"
2009,"Anomia simplex"
2010,"Anomia simplex"
2014,"Anomia simplex"
2015,"Anomia simplex"
1984,"Anomia simplex"
1997,"Anomia simplex"
2000,"Anomia simplex"
2003,"Anomia simplex"
2004,"Anomia simplex"
2005,"Anomia simplex"
2006,"Anomia simplex"
1992,"Antithamnion"
2000,"Antithamnion"
1982,"Anurida maritima"
1983,"Anurida maritima"
1984,"Anurida maritima"
1985,"Anurida maritima"
1986,"Anurida maritima"
1987,"Anurida maritima"
1988,"Anurida maritima"
1989,"Anurida maritima"
1990,"Anurida maritima"
1991,"Anurida maritima"
1992,"Anurida maritima"
1993,"Anurida maritima"
1994,"Anurida maritima"
1995,"Anurida maritima"
1996,"Anurida maritima"
1997,"Anurida maritima"
1998,"Anurida maritima"
1999,"Anurida maritima"
2000,"Anurida maritima"
2001,"Anurida maritima"
2002,"Anurida maritima"
2003,"Anurida maritima"
2004,"Anurida maritima"
2005,"Anurida maritima"
2006,"Anurida maritima"
2008,"Anurida maritima"
2009,"Anurida maritima"
2010,"Anurida maritima"
2011,"Anurida maritima"
2012,"Anurida maritima"
2013,"Anurida maritima"
2014,"Anurida maritima"
2015,"Anurida maritima"
2016,"Anurida maritima"
2017,"Anurida maritima"
1982,"Aplidium"
1984,"Arthopyrenia"
1985,"Arthopyrenia"
1987,"Arthopyrenia"
1988,"Arthopyrenia"
1989,"Arthopyrenia"
1990,"Arthopyrenia"
1991,"Arthopyrenia"
1992,"Arthopyrenia"
1993,"Arthopyrenia"
1994,"Arthopyrenia"
1995,"Arthopyrenia"
1996,"Arthopyrenia"
1997,"Arthopyrenia"
1998,"Arthopyrenia"
1999,"Arthopyrenia"
2000,"Arthopyrenia"
2001,"Arthopyrenia"
2002,"Arthopyrenia"
2003,"Arthopyrenia"
2004,"Arthopyrenia"
2005,"Arthopyrenia"
2006,"Arthopyrenia"
2009,"Arthopyrenia"
2011,"Arthopyrenia"
2013,"Arthopyrenia"
1982,"Ascophyllum nodosum"
1983,"Ascophyllum nodosum"
1984,"Ascophyllum nodosum"
1985,"Ascophyllum nodosum"
1986,"Ascophyllum nodosum"
1987,"Ascophyllum nodosum"
1988,"Ascophyllum nodosum"
1989,"Ascophyllum nodosum"
1990,"Ascophyllum nodosum"
1991,"Ascophyllum nodosum"
