"","Urticina felina","Semibalanus balanoides","Anomia simplex","Hiatella arctica","Modiolus modiolus","Mytilus edulis","Ostrea edulis","Placopecten magellanicus","Bugulina spicata","Crisia eburnea","Crisularia turrita","Dendrobeania murrayana","Membranipora membranacea","Patinella verrucaria","Schizoporella unicornis","Tricellaria inopinata","Boreochiton ruber","Stenosemus albus","Metridium senile","Pachycerianthus borealis","Amphipoda","Cancer borealis","Cancer irroratus","Carcinus maenus","Homarus americanus","Isopoda","Cucumaria frondosa","Echinarachnius parma","Ophiopholis aculeata","Strongylocentrotus droebachiensis","Buccinum undatum","Crepidula fornicata","Lacuna vincta","Littorina littorea","Littorina obtusata","Littorina saxatilis","Nucella lapillus","Tectura testudinalis","Testudinalia testudinalis","Thylacodes","Obelia","Spirorbis","Asterias forbesi","Asterias rubens","Henricia sanguinolenta","Halichondria panicea","Halisarca dujardinii","Hymedesmia","Leucosolenia","Aplidium pallidum","Boltenia echinata","Boltenia ovifera","Botrylloides violaceus","Botryllus schlosseri","Ciona intestinalis","Ciona savignyi","Dendrodoa carnea","Didemnum albidum","Didemnum vexillum","Diplosoma listerianum","Cyclopterus lumpus","Morone saxatilis","Myoxocephalus octodecemspinosus","Myoxocephalus scorpius","Pholis gunnellus","Pollachius virens","Pseudopleuronectes americanus","Tautoga onitis","Tautogolabrus adspersus","Urophycis regia"
"Urticina felina",0,0.824332810047096,0.805824175824176,0.805824175824176,0.717174254317111,0.717174254317111,0.820753532182104,0.667943485086342,0.753014128728414,0.728901098901099,0.728901098901099,0.667943485086342,0.802244897959184,0.728901098901099,0.778131868131868,0.753014128728414,0.785478806907378,0.830612244897959,0.730675039246468,0.698885400313972,0.824175824175824,0.841616954474097,0.841616954474097,0.84828885400314,0.744599686028257,0.907535321821036,0.830612244897959,0.830612244897959,0.731428571428571,0.834709576138148,0.699466248037677,0.80756671899529,0.880910518053375,0.905023547880691,0.880910518053375,0.907535321821036,0.794897959183673,0.907535321821036,0.728901098901099,0.728901098901099,0.777990580847724,0.824332810047096,0.793830455259027,0.793830455259027,0.879843014128728,0.631020408163265,0.631020408163265,0.631020408163265,0.667943485086342,0.841632653061224,0.691978021978022,0.691978021978022,0.655133437990581,0.70436420722135,0.716091051805337,0.703076923076923,0.691978021978022,0.691978021978022,0.794756671899529,0.716091051805337,0.757519623233909,0.757519623233909,0.757519623233909,0.757519623233909,0.696562009419152,0.757519623233909,0.757519623233909,0.757519623233909,0.757519623233909,0.757519623233909
"Semibalanus balanoides",0.824332810047096,0,0.554270015698587,0.615227629513344,0.639843014128728,0.639843014128728,0.646718995290424,0.676766091051805,0.700879120879121,0.662339089481947,0.676766091051805,0.676766091051805,0.663956043956044,0.676766091051805,0.639843014128728,0.700879120879121,0.724191522762951,0.769324960753532,0.710989010989011,0.817660910518053,0.657378335949764,0.83989010989011,0.83989010989011,0.79425431711146,0.876813186813187,0.707786499215071,0.876813186813187,0.876813186813187,0.876813186813187,0.748226059654631,0.831679748822606,0.669277864992151,0.593610675039246,0.730486656200942,0.64541601255887,0.768744113029827,0.752904238618524,0.707786499215071,0.676766091051805,0.676766091051805,0.812009419152276,0.597990580847724,0.83989010989011,0.83989010989011,0.741554160125589,0.725996860282575,0.725996860282575,0.725996860282575,0.676766091051805,0.839905808477237,0.665039246467818,0.725996860282575,0.75010989010989,0.713186813186813,0.75010989010989,0.762307692307692,0.665039246467818,0.665039246467818,0.681664050235479,0.75010989010989,0.975886970172684,0.975886970172684,0.975886970172684,0.975886970172684,0.975886970172684,0.975886970172684,0.975886970172684,0.975886970172684,0.975886970172684,0.975886970172684
"Anomia simplex",0.805824175824176,0.554270015698587,0,0.526970172684458,0.551585557299843,0.551585557299843,0.594207221350078,0.58850863422292,0.682370486656201,0.643830455259027,0.658257456828885,0.658257456828885,0.645447409733124,0.658257456828885,0.621334379905808,0.682370486656201,0.705682888540031,0.750816326530612,0.692480376766091,0.799152276295133,0.638869701726845,0.82138147566719,0.82138147566719,0.77574568288854,0.858304552590267,0.689277864992151,0.858304552590267,0.858304552590267,0.858304552590267,0.729717425431711,0.813171114599686,0.650769230769231,0.610847723704867,0.747723704866562,0.66265306122449,0.750235478806907,0.770141287284144,0.689277864992151,0.658257456828885,0.658257456828885,0.793500784929356,0.615227629513344,0.82138147566719,0.82138147566719,0.723045525902669,0.707488226059655,0.707488226059655,0.707488226059655,0.658257456828885,0.857142857142857,0.646530612244898,0.707488226059655,0.73160125588697,0.694678178963893,0.73160125588697,0.779544740973312,0.646530612244898,0.646530612244898,0.663155416012559,0.73160125588697,0.957378335949765,0.957378335949765,0.957378335949765,0.957378335949765,0.957378335949765,0.957378335949765,0.957378335949765,0.957378335949765,0.957378335949765,0.957378335949765
"Hiatella arctica",0.805824175824176,0.615227629513344,0.526970172684458,0,0.551585557299843,0.551585557299843,0.527095761381476,0.58850863422292,0.615259026687598,0.704788069073783,0.591145996860283,0.658257456828885,0.578335949764521,0.591145996860283,0.554222919937206,0.615259026687598,0.766640502354788,0.811773940345369,0.692480376766091,0.799152276295133,0.699827315541601,0.754270015698587,0.754270015698587,0.708634222919937,0.858304552590267,0.750235478806907,0.858304552590267,0.791193092621664,0.858304552590267,0.662605965463108,0.746059654631083,0.583657770800628,0.671805337519623,0.680612244897959,0.723610675039246,0.683124018838305,0.703029827315542,0.750235478806907,0.591145996860283,0.591145996860283,0.793500784929356,0.615227629513344,0.754270015698587,0.82138147566719,0.655934065934066,0.707488226059655,0.707488226059655,0.707488226059655,0.658257456828885,0.790031397174254,0.707488226059655,0.640376766091052,0.73160125588697,0.694678178963893,0.664489795918367,0.779544740973312,0.707488226059655,0.707488226059655,0.724113029827316,0.73160125588697,0.957378335949765,0.957378335949765,0.957378335949765,0.957378335949765,0.957378335949765,0.957378335949765,0.957378335949765,0.957378335949765,0.957378335949765,0.957378335949765
"Modiolus modiolus",0.717174254317111,0.639843014128728,0.551585557299843,0.551585557299843,0,0.462935635792779,0.566514913657771,0.499858712715856,0.654678178963893,0.677095761381476,0.630565149136578,0.569607535321821,0.617755102040816,0.630565149136578,0.593642072213501,0.654678178963893,0.73894819466248,0.784081632653061,0.717095761381476,0.771459968602826,0.724442700156986,0.793689167974882,0.793689167974882,0.800361067503925,0.830612244897959,0.774850863422292,0.830612244897959,0.830612244897959,0.769654631083203,0.702025117739403,0.785478806907378,0.623076923076923,0.696420722135008,0.772339089481947,0.748226059654631,0.774850863422292,0.794756671899529,0.774850863422292,0.630565149136578,0.630565149136578,0.765808477237049,0.639843014128728,0.793689167974882,0.793689167974882,0.695353218210361,0.61883830455259,0.61883830455259,0.61883830455259,0.569607535321821,0.829450549450549,0.679795918367347,0.679795918367347,0.642951334379906,0.606028257456829,0.703908948194662,0.690894819466248,0.679795918367347,0.679795918367347,0.696420722135008,0.703908948194662,0.929686028257457,0.929686028257457,0.929686028257457,0.929686028257457,0.8687284144427,0.929686028257457,0.929686028257457,0.929686028257457,0.929686028257457,0.929686028257457
"Mytilus edulis",0.717174254317111,0.639843014128728,0.551585557299843,0.551585557299843,0.462935635792779,0,0.566514913657771,0.499858712715856,0.654678178963893,0.677095761381476,0.630565149136578,0.569607535321821,0.617755102040816,0.630565149136578,0.593642072213501,0.654678178963893,0.73894819466248,0.784081632653061,0.717095761381476,0.771459968602826,0.724442700156986,0.793689167974882,0.793689167974882,0.800361067503925,0.830612244897959,0.774850863422292,0.830612244897959,0.830612244897959,0.769654631083203,0.702025117739403,0.785478806907378,0.623076923076923,0.696420722135008,0.772339089481947,0.748226059654631,0.774850863422292,0.794756671899529,0.774850863422292,0.630565149136578,0.630565149136578,0.765808477237049,0.639843014128728,0.793689167974882,0.793689167974882,0.695353218210361,0.61883830455259,0.61883830455259,0.61883830455259,0.569607535321821,0.829450549450549,0.679795918367347,0.679795918367347,0.642951334379906,0.606028257456829,0.703908948194662,0.690894819466248,0.679795918367347,0.679795918367347,0.696420722135008,0.703908948194662,0.929686028257457,0.929686028257457,0.929686028257457,0.929686028257457,0.8687284144427,0.929686028257457,0.929686028257457,0.929686028257457,0.929686028257457,0.929686028257457
"Ostrea edulis",0.820753532182104,0.646718995290424,0.594207221350078,0.527095761381476,0.566514913657771,0.566514913657771,0,0.603437990580848,0.584222919937206,0.719717425431711,0.60607535321821,0.673186813186813,0.547299843014129,0.60607535321821,0.569152276295133,0.584222919937206,0.781569858712716,0.826703296703297,0.759717425431711,0.814081632653061,0.767064364207221,0.769199372056515,0.769199372056515,0.729905808477237,0.873233908948195,0.817472527472527,0.873233908948195,0.806122448979592,0.873233908948195,0.677535321821036,0.760989010989011,0.598587127158556,0.703296703296703,0.666138147566719,0.755102040816326,0.750361067503925,0.734521193092622,0.817472527472527,0.60607535321821,0.60607535321821,0.808430141287284,0.646718995290424,0.769199372056515,0.836310832025118,0.670863422291994,0.722417582417582,0.722417582417582,0.722417582417582,0.673186813186813,0.769215070643642,0.722417582417582,0.65530612244898,0.700565149136578,0.663642072213501,0.633453689167975,0.71276295133438,0.722417582417582,0.722417582417582,0.693076923076923,0.700565149136578,0.972307692307692,0.972307692307692,0.972307692307692,0.972307692307692,0.972307692307692,0.972307692307692,0.972307692307692,0.972307692307692,0.972307692307692,0.972307692307692
"Placopecten magellanicus",0.667943485086342,0.676766091051805,0.58850863422292,0.58850863422292,0.499858712715856,0.499858712715856,0.603437990580848,0,0.605447409733124,0.627864992150706,0.581334379905808,0.520376766091052,0.654678178963893,0.581334379905808,0.630565149136578,0.605447409733124,0.689717425431711,0.734850863422292,0.754018838304553,0.722229199372056,0.761365777080063,0.830612244897959,0.830612244897959,0.837284144427002,0.78138147566719,0.811773940345369,0.78138147566719,0.78138147566719,0.720423861852433,0.73894819466248,0.736248037676609,0.66,0.733343799058085,0.809262166405023,0.785149136577708,0.811773940345369,0.831679748822606,0.811773940345369,0.581334379905808,0.581334379905808,0.716577708006279,0.676766091051805,0.830612244897959,0.830612244897959,0.732276295133438,0.569607535321821,0.569607535321821,0.569607535321821,0.520376766091052,0.78021978021978,0.630565149136578,0.630565149136578,0.593720565149137,0.642951334379906,0.654678178963893,0.641664050235479,0.630565149136578,0.630565149136578,0.733343799058085,0.654678178963893,0.880455259026688,0.880455259026688,0.880455259026688,0.880455259026688,0.819497645211931,0.880455259026688,0.880455259026688,0.880455259026688,0.880455259026688,0.880455259026688
"Bugulina spicata",0.753014128728414,0.700879120879121,0.682370486656201,0.615259026687598,0.654678178963893,0.654678178963893,0.584222919937206,0.605447409733124,0,0.581098901098901,0.4674568288854,0.534568288854003,0.494835164835165,0.4674568288854,0.51668759811617,0.445604395604396,0.713830455259027,0.758963893249608,0.778131868131868,0.746342229199372,0.785478806907378,0.787613814756672,0.787613814756672,0.748320251177394,0.805494505494506,0.835886970172684,0.805494505494506,0.738383045525903,0.805494505494506,0.695949764521193,0.693249607535322,0.617001569858713,0.7574568288854,0.720298273155416,0.809262166405023,0.768775510204082,0.788681318681319,0.835886970172684,0.538335949764521,0.538335949764521,0.740690737833595,0.700879120879121,0.787613814756672,0.854725274725275,0.689277864992151,0.654678178963893,0.654678178963893,0.654678178963893,0.605447409733124,0.737221350078493,0.654678178963893,0.58756671899529,0.632825745682889,0.682056514913658,0.565714285714286,0.680769230769231,0.654678178963893,0.654678178963893,0.71149136577708,0.632825745682889,0.904568288854003,0.904568288854003,0.904568288854003,0.904568288854003,0.904568288854003,0.904568288854003,0.904568288854003,0.904568288854003,0.904568288854003,0.904568288854003
"Crisia eburnea",0.728901098901099,0.662339089481947,0.643830455259027,0.704788069073783,0.677095761381476,0.677095761381476,0.719717425431711,0.627864992150706,0.581098901098901,0,0.556985871271585,0.556985871271585,0.63032967032967,0.556985871271585,0.606216640502355,0.581098901098901,0.675290423861852,0.720423861852433,0.754018838304553,0.722229199372056,0.700408163265306,0.830612244897959,0.830612244897959,0.837284144427002,0.78138147566719,0.79734693877551,0.78138147566719,0.78138147566719,0.78138147566719,0.785478806907378,0.736248037676609,0.706530612244898,0.718916797488226,0.855792778649922,0.770722135007849,0.858304552590267,0.831679748822606,0.79734693877551,0.627864992150706,0.627864992150706,0.763108320251177,0.723296703296703,0.830612244897959,0.830612244897959,0.778806907378336,0.677095761381476,0.677095761381476,0.677095761381476,0.627864992150706,0.826750392464678,0.616138147566719,0.677095761381476,0.701208791208791,0.75043956043956,0.701208791208791,0.749152276295133,0.616138147566719,0.616138147566719,0.718916797488226,0.701208791208791,0.880455259026688,0.880455259026688,0.880455259026688,0.880455259026688,0.880455259026688,0.880455259026688,0.880455259026688,0.880455259026688,0.880455259026688,0.880455259026688
