"","species","group","common_name_division_bgr","turf_subcanopy_canopy_algae","Steneck_Dethier_morphology_algae","body_size_avg_bin","morphology1","benthic","epibiotic","intertidal","subtidal"
"1","Agarum clathratum","Algae","Brown Algae","Canopy","leathery macrophyte","very large","Canopy","yes","no","no","yes"
"2","Alaria esculenta","Algae","Brown Algae","Canopy","leathery macrophyte","very large","Canopy","no","yes","yes","yes"
"3","Ascophyllum nodosum","Algae","Brown Algae","Canopy","leathery macrophyte","large","Canopy","no","yes","yes","yes"
"4","Colpomenia peregrina","Algae","Brown Algae","Turf","corticated foliose","small-medium","Turf","yes","yes","yes","yes"
"5","Desmarestia aculeata","Algae","Brown Algae","Subcanopy","corticated macrophyte","large","Subcanopy","yes","no","no","yes"
"6","Desmarestia viridis","Algae","Brown Algae","Subcanopy","corticated macrophyte","large","Subcanopy","yes","no","no","yes"
"7","Elachista fucicola","Algae","Brown Algae","Turf","filamentous","small-medium","Turf","no","yes","yes","no"
"8","Halosiphon tomentosus","Algae","Brown Algae","Subcanopy","filamentous","very small","Subcanopy","yes","no","no","yes"
"9","Laminaria digitata","Algae","Brown Algae","Canopy","leathery macrophyte","large","Canopy","yes","yes","no","yes"
"10","Saccharina latissima","Algae","Brown Algae","Canopy","leathery macrophyte","very large","Canopy","yes","yes","yes","yes"
"11","Saccorhiza dermatodea","Algae","Brown Algae","Canopy","leathery macrophyte","very large","Canopy","yes","no","yes","yes"
"12","Codium fragile","Algae","Green Algae","Subcanopy","corticated foliose","medium-large","Subcanopy","yes","no","yes","yes"
"13","Prasiola stipitata","Algae","Green Algae","Turf","foliose algae","small-medium","Turf","yes","no","yes","no"
"14","Ulva lactuca","Algae","Green Algae","Turf","foliose algae","medium-large","Turf","yes","yes","yes","no"
"15","Bonnemaisonia hamifera","Algae","Red Algae","Turf","filamentous","medium-large","Turf","yes","yes","yes","yes"
"16","Ceramium","Algae","Red Algae","Canopy","filamentous","medium-large","Canopy","yes","yes","no","yes"
"17","Chondrus crispus","Algae","Red Algae","Subcanopy","corticated macrophyte","medium","Subcanopy","yes","no","yes","yes"
"18","Clathromorphum circumscriptum","Algae","Red Algae","Turf","crustose algae","unknown","Turf","yes","no","yes","yes"
"19","Coccotylus truncatus","Algae","Red Algae","Turf","corticated foliose","medium","Turf","yes","no","no","yes"
"20","Corallina officinalis","Algae","Red Algae","Turf","articulated coralline","medium","Turf","yes","yes","yes","no"
"21","Cystoclonium purpureum","Algae","Red Algae","Subcanopy","corticated macrophyte","large","Subcanopy","yes","no","yes","yes"
"22","Dasysiphonia japonica","Algae","Red Algae","Turf","filamentous","large","Turf","yes","no","no","yes"
"23","Dumontia contorta","Algae","Red Algae","Subcanopy","corticated macrophyte","medium","Subcanopy","no","yes","no","yes"
"24","Euthora cristata","Algae","Red Algae","Subcanopy","corticated macrophyte","small-medium","Subcanopy","yes","yes","yes","yes"
"25","Hildenbrandia rubra","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","no","yes","yes"
"26","Leptophytum acervatum","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","yes","no","yes"
"27","Lithophyllum ","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","no","no","yes"
"28","Lithothamnion","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","no","no","yes"
"29","Mastocarpus stellatus","Algae","Red Algae","Subcanopy","corticated macrophyte","medium","Subcanopy","yes","no","yes","yes"
"30","Palmaria palmata","Algae","Red Algae","Subcanopy","corticated foliose","medium-large","Subcanopy","yes","yes","yes","yes"
"31","Phycodrys rubens","Algae","Red Algae","Subcanopy","foliose algae","medium","Subcanopy","yes","no","no","yes"
"32","Phymatolithon lenormandii","Algae","Red Algae","Turf","crustose algae","medium","Turf","yes","yes","yes","no"
"33","Polyides rotunda","Algae","Red Algae","Turf","corticated macrophyte","medium","Turf","yes","no","no","yes"
"34","Polysiphonia","Algae","Red Algae","Turf","filamentous","medium-large","Turf","yes","yes","yes","yes"
"35","Porphyra","Algae","Red Algae","Turf","foliose algae","large","Turf","yes","no","yes","yes"
"36","Ptilota serrata","Algae","Red Algae","Subcanopy","corticated macrophyte","medium-large","Subcanopy","yes","no","yes","yes"
"37","Spermothamnion repens","Algae","Red Algae","Turf","filamentous","small-medium","Turf","yes","yes","no","yes"
"38","Titanoderma","Algae","Red Algae","Turf","crustose algae","small","Turf","yes","no","no","yes"
