who,species,synonym,phylum,group,common_name_division,common_name_division_bgr,turf_subcanopy_canopy_algae,steneck_dethier_morphology_algae,body_size_lower_cm,adult_body_size_upper_cm,body_size_avg_marlin,body_size_avg_bin,morphology1,morphology2,dietary_pref,dietary_pref_c,trophic_level,motility_juv,motility_adult,habitat_type,benthic,pelagic,epibiotic,invasive,human_use,thermal_lower_c,thermal_upper_c,thermal_details,area,intertidal,subtidal,notes,Source,Wikipedia
"Laura, Ellen",Alaria esculenta,,Ochrophyta,Algae,Brown Algae,Brown Algae,Canopy,leathery macrophyte,NA,600,NA,very large,Canopy,leathery macrophyte,phototrophic,phototrophic,primary producer,sessile,sessile,epifloral,no,no,yes,no,food,NA,17,LT0,shared,yes,yes,BIOTIC/marlin,http://www.marinespecies.org/aphia.php?p=taxdetails&id=234483#attributes,
"Ellen, Laura",Ascophyllum nodosum,,Ochrophyta,Algae,Brown Algae,Brown Algae,Canopy,leathery macrophyte,NA,100,NA,large,Canopy,leathery macrophyte,phototrophic,phototrophic,primary producer,sessile,sessile,epifloral,no,no,yes,no,"alginates, fertilizers, packing material, animal feed, food",,,,shared,yes,yes,,http://www.marinespecies.org/aphia.php?p=taxdetails&id=145541#attributes,https://en.wikipedia.org/wiki/Ascophyllum
"Jen, Laura",Elachista fucicola,,Ochrophyta,Algae,Brown Algae,Brown Algae,Turf,filamentous,NA,5,NA,small-medium,Turf,filamentous,phototrophic,phototrophic,primary producer,sessile,sessile,epiphytic,no,no,yes,no,no,,,,intertidal,yes,no,"Algaebase, WoRMS",http://www.marinespecies.org/aphia.php?p=taxdetails&id=144937#attributes,
,Fucus,,Ochrophyta,Algae,Brown Algae,Brown Algae,Canopy,leathery macrophyte,NA,60,NA,large,Canopy,thick leathery,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,no,no,,,,intertidal,yes,no,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=144129&allchildren=1#attributes,
,Fucus distichus,,Ochrophyta,Algae,Brown Algae,Brown Algae,Canopy,leathery macrophyte,NA,60,NA,large,Canopy,thick leathery,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,,no,,,,intertidal,yes,no,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=145544#attributes,
,Fucus vesiculosus,Fucus vesiculosus var. spiralis,Ochrophyta,Algae,Brown Algae,Brown Algae,Canopy,leathery macrophyte,NA,90,NA,large,Canopy,thick leathery,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,,no,,,,intertidal,yes,no,,,
,Sphacelaria cirrosa,Sphacelaria,Ochrophyta,Algae,Brown Algae,Brown Algae,,,NA,10,NA,medium,,,phototrophic,phototrophic,primary producer,sessile,sessile,"epilithc, epiphytic",yes,no,yes,,,,,,shared,yes,yes,,,
,Pylaiella littoralis,,Ochrophyta,Algae,Brown Algae,Brown Algae,Subcanopy,,NA,25,NA,,Subcanopy,,phototrophic,phototrophic,primary producer,sessile,sessile,"epilithic, epiphytic, epizoic",yes,no,yes,no,,,,,shared,yes,yes,,,
,Leathesia marina,,Ochrophyta,Algae,Brown Algae,Brown Algae,Turf,corticated foliose,NA,8,NA,,Turf,corticated foliose,phototrophic,phototrophic,primary producer,sessile,sessile,"epilithic, epiphytic",yes,no,yes,,,,,,intertidal,yes,yes,,,
,Scytosiphon lomentaria,,Ochrophyta,Algae,Brown Algae,Brown Algae,,,NA,75,NA,large,,,phototrophic,phototrophic,primary producer,sessile,sessile,"epilithic, epiphytic",yes,no,yes,,,,,,shared,yes,yes,,,
,Chordaria flagelliformis,,Ochrophyta,Algae,Brown Algae,Brown Algae,Subcanopy,corticated macrophyte,NA,100,NA,large,Subcanopy,corticated macrophyte,phototrophic,phototrophic,primary producer,sessile,sessile,epiphytic,no,no,yes,,,,,,shared,yes,yes,,,
,Petalonia fascia,,Ochrophyta,Algae,Brown Algae,Brown Algae,,,NA,40,NA,,,,phototrophic,phototrophic,primary producer,sessile,sessile,"epilithic, epiphytic",yes,no,yes,,,,,,intertidal,yes,no,,,
,Cladostephus spongiosus,,Ochrophyta,Algae,Brown Algae,Brown Algae,Turf,filamentous,NA,40,NA,,Turf,filamentous,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,,,,,,shared,yes,no,"conflict between worms and mauffrey et al whther it is turf or canopy. worms says canopy, Mauffrey et al says turf.",,
Laura,Agarum clathratum,,Ochrophyta,Algae,Brown Algae,Brown Algae,Canopy,leathery macrophyte,NA,,NA,very large,Canopy,leathery macrophyte,phototrophic,phototrophic,primary producer,sessile,sessile,epilithic,yes,no,no,no,no,10,40,LT100,subtidal,no,yes,,https://www.marinespecies.org/aphia.php?p=taxdetails&id=157207,
