"","species","group","common_name_division_bgr","turf_subcanopy_canopy_algae","steneck_dethier_morphology_algae","body_size_avg_bin","benthic","epibiotic","intertidal","subtidal"
"1","Alaria esculenta","Algae","Brown Algae","Canopy","leathery macrophyte","very large","no","yes","yes","yes"
"2","Ascophyllum nodosum","Algae","Brown Algae","Canopy","leathery macrophyte","large","no","yes","yes","yes"
"3","Elachista fucicola","Algae","Brown Algae","Turf","filamentous","small-medium","no","yes","yes","no"
"4","Fucus","Algae","Brown Algae","Canopy","leathery macrophyte","large","yes","no","yes","no"
"5","Fucus distichus","Algae","Brown Algae","Canopy","leathery macrophyte","large","yes","no","yes","no"
"6","Fucus vesiculosus","Algae","Brown Algae","Canopy","leathery macrophyte","large","yes","no","yes","no"
"7","Sphacelaria cirrosa","Algae","Brown Algae","Canopy","leathery macrophyte","medium","yes","yes","yes","yes"
"8","Pylaiella littoralis","Algae","Brown Algae","Subcanopy","corticated macrophyte","medium","yes","yes","yes","yes"
"9","Leathesia marina","Algae","Brown Algae","Turf","corticated foliose","medium","yes","yes","yes","yes"
"10","Scytosiphon lomentaria","Algae","Brown Algae","Turf","foliose algae","large","yes","yes","yes","yes"
"11","Chordaria flagelliformis","Algae","Brown Algae","Subcanopy","corticated macrophyte","large","no","yes","yes","yes"
"12","Petalonia fascia","Algae","Brown Algae","Turf","foliose algae","small-medium","yes","yes","yes","no"
"13","Cladostephus spongiosus","Algae","Brown Algae","Turf","filamentous","medium","yes","no","yes","no"
"14","Agarum clathratum","Algae","Brown Algae","Canopy","leathery macrophyte","very large","yes","no","no","yes"
"15","Colpomenia peregrina","Algae","Brown Algae","Turf","corticated foliose","small-medium","yes","yes","yes","yes"
"16","Desmarestia aculeata","Algae","Brown Algae","Subcanopy","corticated macrophyte","large","yes","no","no","yes"
"17","Desmarestia viridis","Algae","Brown Algae","Subcanopy","corticated macrophyte","large","yes","no","no","yes"
"18","Halosiphon tomentosus","Algae","Brown Algae","Subcanopy","filamentous","very small","yes","no","no","yes"
"19","Laminaria digitata","Algae","Brown Algae","Canopy","leathery macrophyte","large","yes","yes","no","yes"
"20","Saccharina latissima","Algae","Brown Algae","Canopy","leathery macrophyte","very large","yes","yes","yes","yes"
"21","Saccorhiza dermatodea","Algae","Brown Algae","Canopy","leathery macrophyte","very large","yes","no","yes","yes"
"22","Codium fragile","Algae","Green Algae","Subcanopy","corticated foliose","medium-large","yes","no","yes","yes"
"23","Prasiola stipitata","Algae","Green Algae","Turf","foliose algae","small-medium","yes","no","yes","no"
"24","Ulva lactuca","Algae","Green Algae","Turf","foliose algae","medium-large","yes","yes","yes","no"
"25","Ulva intestinalis","Algae","Green Algae","Turf","foliose algae","medium","yes","yes","yes","no"
"26","Ahnfeltia plicata","Algae","Green Algae","Canopy","leathery macrophyte","medium","yes","no","yes","yes"
"27","Chaetomorpha ligustica","Algae","Green Algae","Canopy","leathery macrophyte","large","no","yes","yes","yes"
"28","Spongomorpha aeruginosa","Algae","Green Algae","Subcanopy","corticated foliose","large","no","yes","yes","no"
"29","Ceramium virgatum","Algae","Red Algae","Turf","foliose algae","medium-large","yes","yes","yes","yes"
"30","Plumaria plumosa","Algae","Red Algae","Turf","crustose algae","medium","yes","yes","yes","yes"
"31","Vertebrata lanosa","Algae","Red Algae","Turf","corticated filamentous","large","yes","yes","yes","no"
"32","Corallina officinalis","Algae","Red Algae","Turf","articulated coralline","medium","yes","yes","yes","no"
"33","Leptophytum acervatum","Algae","Red Algae","Turf","crustose algae","medium","yes","yes","no","yes"
"34","Lithophyllum ","Algae","Red Algae","Turf","crustose algae","medium","yes","no","no","yes"
"35","Lithothamnion","Algae","Red Algae","Turf","crustose algae","medium","yes","no","no","yes"
"36","Phymatolithon lenormandii","Algae","Red Algae","Turf","crustose algae","medium","yes","yes","yes","no"
"37","Titanoderma","Algae","Red Algae","Turf","crustose algae","small","yes","no","no","yes"
"38","Clathromorphum circumscriptum","Algae","Red Algae","Turf","crustose algae","unknown","yes","no","yes","yes"
"39","Hildenbrandia rubra","Algae","Red Algae","Turf","crustose algae","medium","yes","no","yes","yes"
