"","Alaria esculenta","Ascophyllum nodosum","Elachista fucicola","Fucus","Fucus distichus","Fucus vesiculosus","Sphacelaria cirrosa","Pylaiella littoralis","Leathesia marina","Scytosiphon lomentaria","Chordaria flagelliformis","Petalonia fascia","Cladostephus spongiosus","Agarum clathratum","Colpomenia peregrina","Desmarestia aculeata","Desmarestia viridis","Halosiphon tomentosus","Laminaria digitata","Saccharina latissima","Saccorhiza dermatodea","Codium fragile","Prasiola stipitata","Ulva lactuca","Ulva intestinalis","Ahnfeltia plicata","Chaetomorpha ligustica","Spongomorpha aeruginosa","Ceramium virgatum","Plumaria plumosa","Vertebrata lanosa","Corallina officinalis","Leptophytum acervatum","Lithophyllum ","Lithothamnion","Phymatolithon lenormandii","Titanoderma","Clathromorphum circumscriptum","Hildenbrandia rubra","Dumontia contorta","Bonnemaisonia hamifera","Ceramium","Chondrus crispus","Coccotylus truncatus","Cystoclonium purpureum","Dasysiphonia japonica","Euthora cristata","Mastocarpus stellatus","Palmaria palmata","Phycodrys rubens","Polyides rotunda","Polysiphonia","Porphyra","Ptilota serrata","Spermothamnion repens"
"Alaria esculenta",0,0.549715335169881,0.771717171717172,0.700936639118457,0.700936639118457,0.700936639118457,0.574398530762167,0.750082644628099,0.750082644628099,0.750082644628099,0.725399449035813,0.796400367309458,0.876620752984389,0.624536271808999,0.750082644628099,0.8855463728191,0.8855463728191,0.8855463728191,0.629641873278237,0.489072543617998,0.569292929292929,0.898438934802571,0.94475665748393,0.864536271808999,0.864536271808999,0.722754820936639,0.617851239669422,0.839853076216713,0.81821854912764,0.81821854912764,0.864536271808999,0.864536271808999,0.87346189164371,0.953682277318641,0.953682277318641,0.864536271808999,0.953682277318641,0.898438934802571,0.898438934802571,0.848778696051423,0.81821854912764,0.803599632690542,0.898438934802571,0.953682277318641,0.898438934802571,0.953682277318641,0.81821854912764,0.898438934802571,0.81821854912764,0.953682277318641,0.953682277318641,0.81821854912764,0.898438934802571,0.898438934802571,0.87346189164371
"Ascophyllum nodosum",0.549715335169881,0,0.771717171717172,0.611349862258953,0.611349862258953,0.611349862258953,0.574398530762167,0.750082644628099,0.750082644628099,0.660495867768595,0.635812672176309,0.796400367309458,0.876620752984389,0.709862258953168,0.750082644628099,0.795959595959596,0.795959595959596,0.8855463728191,0.540055096418733,0.574398530762167,0.654618916437098,0.898438934802571,0.94475665748393,0.864536271808999,0.864536271808999,0.722754820936639,0.528264462809917,0.750266299357208,0.81821854912764,0.81821854912764,0.774949494949495,0.864536271808999,0.87346189164371,0.953682277318641,0.953682277318641,0.864536271808999,0.953682277318641,0.898438934802571,0.898438934802571,0.848778696051423,0.81821854912764,0.803599632690542,0.898438934802571,0.953682277318641,0.808852157943067,0.864095500459137,0.81821854912764,0.898438934802571,0.81821854912764,0.953682277318641,0.953682277318641,0.81821854912764,0.808852157943067,0.898438934802571,0.87346189164371
"Elachista fucicola",0.771717171717172,0.771717171717172,0,0.836510560146924,0.836510560146924,0.836510560146924,0.796400367309458,0.796400367309458,0.71206611570248,0.71206611570248,0.771717171717172,0.586042240587695,0.657851239669422,0.931864095500459,0.626152433425161,0.931864095500459,0.931864095500459,0.837539026629936,0.851643709825528,0.796400367309458,0.876620752984389,0.94475665748393,0.734398530762167,0.740091827364555,0.740091827364555,0.94475665748393,0.839853076216713,0.799742883379247,0.78020202020202,0.78020202020202,0.740091827364555,0.740091827364555,0.83544536271809,0.915665748393021,0.915665748393021,0.740091827364555,0.915665748393021,0.860422405876951,0.860422405876951,0.895096418732782,0.685876951331497,0.825454545454545,0.94475665748393,0.915665748393021,0.94475665748393,0.821340679522498,0.77862258953168,0.94475665748393,0.864536271808999,1,0.915665748393021,0.685876951331497,0.860422405876951,0.94475665748393,0.655206611570248
"Fucus",0.700936639118457,0.611349862258953,0.836510560146924,0,0.489366391184573,0.489366391184573,0.6744536271809,0.850137741046832,0.850137741046832,0.760550964187328,0.787033976124885,0.810027548209366,0.754637281910009,0.674306703397612,0.850137741046832,0.76040404040404,0.76040404040404,0.849990817263545,0.640110192837466,0.6744536271809,0.619063360881543,0.862883379247016,0.82277318640955,0.878163452708907,0.878163452708907,0.687199265381084,0.679485766758494,0.81505968778696,0.918273645546373,0.918273645546373,0.788576675849403,0.878163452708907,0.973516988062443,0.918126721763085,0.918126721763085,0.878163452708907,0.918126721763085,0.862883379247016,0.862883379247016,1,0.918273645546373,0.903654729109275,0.862883379247016,0.918126721763085,0.773296602387512,0.828539944903581,0.918273645546373,0.862883379247016,0.918273645546373,0.918126721763085,0.918126721763085,0.918273645546373,0.773296602387512,0.862883379247016,0.973516988062443
"Fucus distichus",0.700936639118457,0.611349862258953,0.836510560146924,0.489366391184573,0,0.489366391184573,0.6744536271809,0.850137741046832,0.850137741046832,0.760550964187328,0.787033976124885,0.810027548209366,0.754637281910009,0.674306703397612,0.850137741046832,0.76040404040404,0.76040404040404,0.849990817263545,0.640110192837466,0.6744536271809,0.619063360881543,0.862883379247016,0.82277318640955,0.878163452708907,0.878163452708907,0.687199265381084,0.679485766758494,0.81505968778696,0.918273645546373,0.918273645546373,0.788576675849403,0.878163452708907,0.973516988062443,0.918126721763085,0.918126721763085,0.878163452708907,0.918126721763085,0.862883379247016,0.862883379247016,1,0.918273645546373,0.903654729109275,0.862883379247016,0.918126721763085,0.773296602387512,0.828539944903581,0.918273645546373,0.862883379247016,0.918273645546373,0.918126721763085,0.918126721763085,0.918273645546373,0.773296602387512,0.862883379247016,0.973516988062443
"Fucus vesiculosus",0.700936639118457,0.611349862258953,0.836510560146924,0.489366391184573,0.489366391184573,0,0.6744536271809,0.850137741046832,0.850137741046832,0.760550964187328,0.787033976124885,0.810027548209366,0.754637281910009,0.674306703397612,0.850137741046832,0.76040404040404,0.76040404040404,0.849990817263545,0.640110192837466,0.6744536271809,0.619063360881543,0.862883379247016,0.82277318640955,0.878163452708907,0.878163452708907,0.687199265381084,0.679485766758494,0.81505968778696,0.918273645546373,0.918273645546373,0.788576675849403,0.878163452708907,0.973516988062443,0.918126721763085,0.918126721763085,0.878163452708907,0.918126721763085,0.862883379247016,0.862883379247016,1,0.918273645546373,0.903654729109275,0.862883379247016,0.918126721763085,0.773296602387512,0.828539944903581,0.918273645546373,0.862883379247016,0.918273645546373,0.918126721763085,0.918126721763085,0.918273645546373,0.773296602387512,0.862883379247016,0.973516988062443
"Sphacelaria cirrosa",0.574398530762167,0.574398530762167,0.796400367309458,0.6744536271809,0.6744536271809,0.6744536271809,0,0.62574839302112,0.62574839302112,0.723599632690542,0.750082644628099,0.769917355371901,0.75228650137741,0.683379247015611,0.723599632690542,0.859063360881543,0.859063360881543,0.859063360881543,0.60315886134068,0.54791551882461,0.628135904499541,0.871955922865014,0.918273645546373,0.838053259871442,0.74020202020202,0.59842056932966,0.642534435261708,0.864536271808999,0.791735537190083,0.693884297520661,0.838053259871442,0.74020202020202,0.749127640036731,0.829348025711662,0.829348025711662,0.74020202020202,0.927199265381084,0.871955922865014,0.774104683195592,0.775610651974288,0.791735537190083,0.777116620752984,0.774104683195592,0.829348025711662,0.871955922865014,0.927199265381084,0.791735537190083,0.774104683195592,0.791735537190083,0.829348025711662,0.829348025711662,0.791735537190083,0.871955922865014,0.871955922865014,0.846978879706152
"Pylaiella littoralis",0.750082644628099,0.750082644628099,0.796400367309458,0.850137741046832,0.850137741046832,0.850137741046832,0.62574839302112,0,0.62574839302112,0.723599632690542,0.572635445362718,0.769917355371901,0.75228650137741,0.859063360881543,0.723599632690542,0.681616161616162,0.681616161616162,0.782993572084481,0.778842975206612,0.723599632690542,0.803820018365473,0.795886134067952,0.918273645546373,0.838053259871442,0.74020202020202,0.774104683195592,0.81821854912764,0.788466483011938,0.791735537190083,0.693884297520661,0.838053259871442,0.74020202020202,0.749127640036731,0.829348025711662,0.829348025711662,0.74020202020202,0.927199265381084,0.871955922865014,0.774104683195592,0.598163452708907,0.791735537190083,0.846978879706152,0.596657483930211,0.829348025711662,0.694508723599633,0.927199265381084,0.614288337924701,0.596657483930211,0.715665748393021,0.7532782369146,0.727970615243343,0.791735537190083,0.871955922865014,0.694508723599633,0.846978879706152
"Leathesia marina",0.750082644628099,0.750082644628099,0.71206611570248,0.850137741046832,0.850137741046832,0.850137741046832,0.62574839302112,0.62574839302112,0,0.639265381083563,0.750082644628099,0.685583103764922,0.667952249770432,0.859063360881543,0.546262626262626,0.859063360881543,0.859063360881543,0.859063360881543,0.778842975206612,0.723599632690542,0.803820018365473,0.778953168044077,0.833939393939394,0.753719008264463,0.655867768595041,0.774104683195592,0.81821854912764,0.771533516988062,0.707401285583104,0.609550045913682,0.753719008264463,0.655867768595041,0.664793388429752,0.745013774104683,0.745013774104683,0.655867768595041,0.842865013774105,0.787621671258035,0.689770431588613,0.775610651974288,0.707401285583104,0.846978879706152,0.774104683195592,0.652011019283746,0.871955922865014,0.842865013774105,0.791735537190083,0.774104683195592,0.698732782369146,0.829348025711662,0.745013774104683,0.707401285583104,0.787621671258035,0.871955922865014,0.762644628099174
"Scytosiphon lomentaria",0.750082644628099,0.660495867768595,0.71206611570248,0.760550964187328,0.760550964187328,0.760550964187328,0.723599632690542,0.723599632690542,0.639265381083563,0,0.660495867768595,0.591258034894399,0.765803489439853,0.859063360881543,0.639265381083563,0.769476584022039,0.769476584022039,0.859063360881543,0.689256198347107,0.723599632690542,0.803820018365473,0.871955922865014,0.73961432506887,0.659393939393939,0.659393939393939,0.871955922865014,0.728631772268136,0.774949494949495,0.61307621671258,0.707401285583104,0.664132231404959,0.753719008264463,0.762644628099174,0.842865013774105,0.842865013774105,0.753719008264463,0.842865013774105,0.787621671258035,0.787621671258035,0.87346189164371,0.707401285583104,0.846978879706152,0.871955922865014,0.842865013774105,0.78236914600551,0.753278236914601,0.791735537190083,0.871955922865014,0.791735537190083,0.83287419651056,0.842865013774105,0.707401285583104,0.603709825528007,0.871955922865014,0.762644628099174
