"","Prasiola stipitata","Hildenbrandia rubra","Ascophyllum nodosum","Chordaria flagelliformis","Fucus vesiculosus","Chondrus crispus","Mastocarpus stellatus","Codium fragile","Fucus distichus","Ulva lactuca","Polysiphonia","Elachista fucicola","Leathesia marina","Chaetomorpha ligustica","Porphyra","Ceramium virgatum","Alaria esculenta","Ulva intestinalis","Corallina officinalis","Dumontia contorta","Bonnemaisonia hamifera","Phymatolithon lenormandii","Clathromorphum circumscriptum","Ahnfeltia plicata","Plumaria plumosa","Saccharina latissima","Spongomorpha aeruginosa","Pylaiella littoralis","Cystoclonium purpureum"
"Prasiola stipitata",0,0.764962346413,0.992469282600079,0.992469282600079,0.749768793764038,0.850178359096314,0.850178359096314,0.745541022592152,0.749768793764038,0.547232131060906,0.86008719778042,0.696261064869864,0.86008719778042,0.887831946095918,0.657154181529925,0.752279032897344,0.992469282600079,0.547232131060906,0.759677632448144,1,0.86008719778042,0.759677632448144,0.764962346413,0.745541022592152,0.86008719778042,0.945303210463734,0.787422380763641,0.945303210463734,0.850178359096314
"Hildenbrandia rubra",0.764962346413,0,0.934205311137535,0.934205311137535,0.850178359096314,0.608006341656758,0.608006341656758,0.791914387633769,0.850178359096314,0.86008719778042,0.713040031708284,0.907253269916766,0.706698374950456,0.934205311137535,0.617915180340864,0.713040031708284,0.934205311137535,0.764962346413,0.676179151803409,0.757827982560444,0.713040031708284,0.56718192627824,0.508917954815696,0.69678953626635,0.508917954815696,0.887039239001189,0.992469282600079,0.791914387633769,0.703131193024178
"Ascophyllum nodosum",0.992469282600079,0.934205311137535,0,0.558197912537984,0.580129475492139,0.934205311137535,0.934205311137535,0.934205311137535,0.580129475492139,0.924164354604307,0.865900383141762,0.719117452767869,0.765490817809486,0.449332804861937,0.831549742370194,0.865900383141762,0.451578808297001,0.924164354604307,0.924164354604307,0.768793764037522,0.865900383141762,0.924164354604307,0.934205311137535,0.724930638129211,0.865900383141762,0.556216144801163,0.716871449332805,0.765490817809486,0.831549742370194
"Chordaria flagelliformis",0.992469282600079,0.934205311137535,0.558197912537984,0,0.789404148500462,0.725194873827454,0.725194873827454,0.831549742370194,0.789404148500462,0.924164354604307,0.865900383141762,0.719117452767869,0.765490817809486,0.65860747787026,0.831549742370194,0.865900383141762,0.660853481305324,0.924164354604307,0.924164354604307,0.559783326727441,0.865900383141762,0.924164354604307,0.934205311137535,0.934205311137535,0.865900383141762,0.765490817809486,0.614215880565464,0.556480380499405,0.622539305060114
"Fucus vesiculosus",0.749768793764038,0.850178359096314,0.580129475492139,0.789404148500462,0,0.850178359096314,0.850178359096314,0.850178359096314,0.337428986656097,0.844893645131457,0.945303210463734,0.791650151935527,0.844893645131457,0.680539040824415,0.747522790328973,0.945303210463734,0.682785044259479,0.844893645131457,0.844893645131457,1,0.945303210463734,0.844893645131457,0.850178359096314,0.64090368608799,0.945303210463734,0.635618972123134,0.789404148500462,0.844893645131457,0.747522790328973
"Chondrus crispus",0.850178359096314,0.608006341656758,0.934205311137535,0.725194873827454,0.850178359096314,0,0.398995904346677,0.689258818866429,0.850178359096314,0.945303210463734,0.798256044391597,0.992469282600079,0.791914387633769,0.934205311137535,0.703131193024178,0.798256044391597,0.934205311137535,0.850178359096314,0.761395164486722,0.548817545250363,0.798256044391597,0.761395164486722,0.703131193024178,0.69678953626635,0.703131193024178,0.887039239001189,0.889813713832739,0.582903950323689,0.494120755714097
"Mastocarpus stellatus",0.850178359096314,0.608006341656758,0.934205311137535,0.725194873827454,0.850178359096314,0.398995904346677,0,0.689258818866429,0.850178359096314,0.945303210463734,0.798256044391597,0.992469282600079,0.791914387633769,0.934205311137535,0.703131193024178,0.798256044391597,0.934205311137535,0.850178359096314,0.761395164486722,0.548817545250363,0.798256044391597,0.761395164486722,0.703131193024178,0.69678953626635,0.703131193024178,0.887039239001189,0.889813713832739,0.582903950323689,0.494120755714097
"Codium fragile",0.745541022592152,0.791914387633769,0.934205311137535,0.831549742370194,0.850178359096314,0.689258818866429,0.689258818866429,0,0.850178359096314,0.732857709076496,0.779231074118113,0.992469282600079,0.777117188532171,0.829567974633373,0.791914387633769,0.779231074118113,0.934205311137535,0.840665873959572,0.945303210463734,0.839080459770115,0.779231074118113,0.945303210463734,0.791914387633769,0.687277051129608,0.887039239001189,0.887039239001189,0.675254326859559,0.784383670233849,0.689258818866429
"Fucus distichus",0.749768793764038,0.850178359096314,0.580129475492139,0.789404148500462,0.337428986656097,0.850178359096314,0.850178359096314,0.850178359096314,0,0.844893645131457,0.945303210463734,0.791650151935527,0.844893645131457,0.680539040824415,0.747522790328973,0.945303210463734,0.682785044259479,0.844893645131457,0.844893645131457,1,0.945303210463734,0.844893645131457,0.850178359096314,0.64090368608799,0.945303210463734,0.635618972123134,0.789404148500462,0.844893645131457,0.747522790328973
"Ulva lactuca",0.547232131060906,0.86008719778042,0.924164354604307,0.924164354604307,0.844893645131457,0.945303210463734,0.945303210463734,0.732857709076496,0.844893645131457,0,0.683974104901572,0.738538776588717,0.791782269784648,0.819527018100145,0.752279032897344,0.576165940018497,0.924164354604307,0.478927203065134,0.691372704452372,0.931695072004228,0.683974104901572,0.691372704452372,0.86008719778042,0.840665873959572,0.791782269784648,0.876998282467961,0.719117452767869,0.876998282467961,0.945303210463734
"Polysiphonia",0.86008719778042,0.713040031708284,0.865900383141762,0.865900383141762,0.945303210463734,0.798256044391597,0.798256044391597,0.779231074118113,0.945303210463734,0.683974104901572,0,0.729026291451975,0.733518298322103,0.865900383141762,0.713040031708284,0.536926938829436,0.865900383141762,0.791782269784648,0.702999075175056,0.784647905932091,0.427004888360418,0.702999075175056,0.713040031708284,0.887039239001189,0.644735103712512,0.818734311005417,0.924164354604307,0.818734311005417,0.798256044391597
"Elachista fucicola",0.696261064869864,0.907253269916766,0.719117452767869,0.719117452767869,0.791650151935527,0.992469282600079,0.992469282600079,0.992469282600079,0.791650151935527,0.738538776588717,0.729026291451975,0,0.738538776588717,0.819527018100145,0.907253269916766,0.838948341920994,0.719117452767869,0.738538776588717,0.738538776588717,0.827057735500066,0.729026291451975,0.738538776588717,0.907253269916766,0.992469282600079,0.838948341920994,0.823754789272031,0.719117452767869,0.823754789272031,0.992469282600079
"Leathesia marina",0.86008719778042,0.706698374950456,0.765490817809486,0.765490817809486,0.844893645131457,0.791914387633769,0.791914387633769,0.777117188532171,0.844893645131457,0.791782269784648,0.733518298322103,0.738538776588717,0,0.865900383141762,0.801823226317876,0.733518298322103,0.765490817809486,0.696657418417228,0.696657418417228,0.778306249174263,0.733518298322103,0.696657418417228,0.801823226317876,0.791914387633769,0.638393446954684,0.718324745673141,0.814242304135289,0.623199894305721,0.887039239001189
"Chaetomorpha ligustica",0.887831946095918,0.934205311137535,0.449332804861937,0.65860747787026,0.680539040824415,0.934205311137535,0.934205311137535,0.829567974633373,0.680539040824415,0.819527018100145,0.865900383141762,0.819527018100145,0.865900383141762,0,0.831549742370194,0.865900383141762,0.551988373629277,0.819527018100145,0.924164354604307,0.768793764037522,0.865900383141762,0.924164354604307,0.934205311137535,0.62029330162505,0.865900383141762,0.656625710133439,0.612234112828643,0.865900383141762,0.831549742370194
"Porphyra",0.657154181529925,0.617915180340864,0.831549742370194,0.831549742370194,0.747522790328973,0.703131193024178,0.703131193024178,0.791914387633769,0.747522790328973,0.752279032897344,0.713040031708284,0.907253269916766,0.801823226317876,0.831549742370194,0,0.605231866825208,0.934205311137535,0.752279032897344,0.771304003170828,0.852952833927864,0.713040031708284,0.771304003170828,0.617915180340864,0.791914387633769,0.713040031708284,0.887039239001189,0.889813713832739,0.887039239001189,0.600475624256837
"Ceramium virgatum",0.752279032897344,0.713040031708284,0.865900383141762,0.865900383141762,0.945303210463734,0.798256044391597,0.798256044391597,0.779231074118113,0.945303210463734,0.576165940018497,0.536926938829436,0.838948341920994,0.733518298322103,0.865900383141762,0.605231866825208,0,0.865900383141762,0.683974104901572,0.702999075175056,0.784647905932091,0.536926938829436,0.702999075175056,0.713040031708284,0.887039239001189,0.644735103712512,0.818734311005417,0.924164354604307,0.818734311005417,0.798256044391597
"Alaria esculenta",0.992469282600079,0.934205311137535,0.451578808297001,0.660853481305324,0.682785044259479,0.934205311137535,0.934205311137535,0.934205311137535,0.682785044259479,0.924164354604307,0.865900383141762,0.719117452767869,0.765490817809486,0.551988373629277,0.934205311137535,0.865900383141762,0,0.924164354604307,0.924164354604307,0.768793764037522,0.865900383141762,0.924164354604307,0.934205311137535,0.724930638129211,0.865900383141762,0.445633505086537,0.819527018100145,0.765490817809486,0.934205311137535
"Ulva intestinalis",0.547232131060906,0.764962346413,0.924164354604307,0.924164354604307,0.844893645131457,0.850178359096314,0.850178359096314,0.840665873959572,0.844893645131457,0.478927203065134,0.791782269784648,0.738538776588717,0.696657418417228,0.819527018100145,0.752279032897344,0.683974104901572,0.924164354604307,0,0.596247853084952,0.836570220636808,0.791782269784648,0.596247853084952,0.86008719778042,0.745541022592152,0.696657418417228,0.876998282467961,0.719117452767869,0.781873431100542,0.945303210463734
