"","Phymatolithon lenormandii","Prasiola stipitata","Ascophyllum nodosum","Hildenbrandia rubra","Fucus vesiculosus","Mastocarpus stellatus","Chondrus crispus","Saccharina latissima","Ulva lactuca","Corallina officinalis","Fucus distichus","Ceramium virgatum","Clathromorphum circumscriptum","Ulva intestinalis","Plumaria plumosa","Palmaria palmata","Alaria esculenta","Polysiphonia","Porphyra","Ahnfeltia plicata","Chaetomorpha ligustica","Pylaiella littoralis","Leathesia marina","Spongomorpha aeruginosa","Elachista fucicola","Ptilota serrata","Cystoclonium purpureum","Chordaria flagelliformis","Bonnemaisonia hamifera","Codium fragile","Euthora cristata","Vertebrata lanosa","Saccorhiza dermatodea","Petalonia fascia","Dumontia contorta"
"Phymatolithon lenormandii",0,0.765714285714286,0.926530612244898,0.571156462585034,0.853605442176871,0.768707482993197,0.768707482993197,0.886530612244898,0.698503401360544,0.513469387755102,0.853605442176871,0.71374149659864,0.671292517006803,0.598367346938776,0.503945578231292,0.801632653061225,0.926530612244898,0.71374149659864,0.780952380952381,0.853605442176871,0.926530612244898,0.786394557823129,0.698503401360544,0.826394557823129,0.738503401360544,0.868843537414966,0.868843537414966,0.926530612244898,0.71374149659864,0.953741496598639,0.801632653061225,0.613605442176871,0.953741496598639,0.698503401360544,0.747755102040816
"Prasiola stipitata",0.765714285714286,0,0.993741496598639,0.770068027210884,0.757823129251701,0.857959183673469,0.857959183673469,0.953741496598639,0.551201814058957,0.765714285714286,0.757823129251701,0.758004535147392,0.770068027210884,0.551201814058957,0.865850340136054,0.953741496598639,0.993741496598639,0.865850340136054,0.662222222222222,0.751292517006803,0.887074829931973,0.953741496598639,0.865850340136054,0.786938775510204,0.696054421768707,0.857959183673469,0.857959183673469,0.993741496598639,0.865850340136054,0.751292517006803,0.844081632653061,0.765714285714286,0.857959183673469,0.548208616780045,1
"Ascophyllum nodosum",0.926530612244898,0.993741496598639,0,0.934875283446712,0.579229024943311,0.934875283446712,0.934875283446712,0.556916099773243,0.926530612244898,0.926530612244898,0.579229024943311,0.867664399092971,0.934875283446712,0.926530612244898,0.867664399092971,0.867664399092971,0.450249433106576,0.867664399092971,0.831111111111111,0.724263038548753,0.446621315192744,0.767528344671202,0.767528344671202,0.71609977324263,0.719727891156463,0.934875283446712,0.831111111111111,0.557097505668934,0.867664399092971,0.934875283446712,0.867664399092971,0.822766439909297,0.624126984126984,0.826394557823129,0.767256235827664
"Hildenbrandia rubra",0.571156462585034,0.770068027210884,0.934875283446712,0,0.857959183673469,0.6140589569161,0.6140589569161,0.894875283446712,0.865850340136054,0.680816326530612,0.857959183673469,0.722086167800454,0.516643990929705,0.765714285714286,0.512290249433107,0.809977324263039,0.934875283446712,0.722086167800454,0.626303854875284,0.698956916099773,0.934875283446712,0.794739229024943,0.706848072562358,0.993741496598639,0.905850340136054,0.714195011337869,0.714195011337869,0.934875283446712,0.722086167800454,0.799092970521542,0.809977324263039,0.780952380952381,0.799092970521542,0.865850340136054,0.75609977324263
"Fucus vesiculosus",0.853605442176871,0.757823129251701,0.579229024943311,0.857959183673469,0,0.857959183673469,0.857959183673469,0.642993197278912,0.853605442176871,0.853605442176871,0.343310657596372,0.953741496598639,0.857959183673469,0.853605442176871,0.953741496598639,0.953741496598639,0.682993197278912,0.953741496598639,0.754195011337868,0.64734693877551,0.679365079365079,0.853605442176871,0.853605442176871,0.78984126984127,0.793469387755102,0.857959183673469,0.754195011337868,0.78984126984127,0.953741496598639,0.857959183673469,0.953741496598639,0.74984126984127,0.547210884353742,0.753469387755102,1
"Mastocarpus stellatus",0.768707482993197,0.857959183673469,0.934875283446712,0.6140589569161,0.857959183673469,0,0.408616780045352,0.894875283446712,0.953741496598639,0.768707482993197,0.857959183673469,0.809977324263039,0.714195011337869,0.853605442176871,0.70984126984127,0.70984126984127,0.934875283446712,0.809977324263039,0.714195011337869,0.698956916099773,0.934875283446712,0.589297052154195,0.794739229024943,0.893605442176871,0.993741496598639,0.50875283446712,0.50875283446712,0.729433106575964,0.809977324263039,0.698956916099773,0.60453514739229,0.868843537414966,0.799092970521542,0.953741496598639,0.550657596371882
"Chondrus crispus",0.768707482993197,0.857959183673469,0.934875283446712,0.6140589569161,0.857959183673469,0.408616780045352,0,0.894875283446712,0.953741496598639,0.768707482993197,0.857959183673469,0.809977324263039,0.714195011337869,0.853605442176871,0.70984126984127,0.70984126984127,0.934875283446712,0.809977324263039,0.714195011337869,0.698956916099773,0.934875283446712,0.589297052154195,0.794739229024943,0.893605442176871,0.993741496598639,0.50875283446712,0.50875283446712,0.729433106575964,0.809977324263039,0.698956916099773,0.60453514739229,0.868843537414966,0.799092970521542,0.953741496598639,0.550657596371882
"Saccharina latissima",0.886530612244898,0.953741496598639,0.556916099773243,0.894875283446712,0.642993197278912,0.894875283446712,0.894875283446712,0,0.886530612244898,0.886530612244898,0.642993197278912,0.827664399092971,0.894875283446712,0.886530612244898,0.827664399092971,0.827664399092971,0.446621315192744,0.827664399092971,0.894875283446712,0.684263038548753,0.657052154195011,0.727528344671202,0.727528344671202,0.926530612244898,0.826394557823129,0.894875283446712,0.894875283446712,0.767528344671202,0.827664399092971,0.894875283446712,0.827664399092971,0.886530612244898,0.473832199546485,0.786394557823129,0.873922902494331
"Ulva lactuca",0.698503401360544,0.551201814058957,0.926530612244898,0.865850340136054,0.853605442176871,0.953741496598639,0.953741496598639,0.886530612244898,0,0.698503401360544,0.853605442176871,0.584126984126984,0.865850340136054,0.483990929705215,0.798639455782313,0.779863945578231,0.926530612244898,0.691972789115646,0.758004535147392,0.847074829931973,0.819863945578231,0.886530612244898,0.798639455782313,0.719727891156463,0.738503401360544,0.847074829931973,0.953741496598639,0.926530612244898,0.691972789115646,0.740408163265306,0.886530612244898,0.698503401360544,0.953741496598639,0.590657596371882,0.932789115646259
"Corallina officinalis",0.513469387755102,0.765714285714286,0.926530612244898,0.680816326530612,0.853605442176871,0.768707482993197,0.768707482993197,0.886530612244898,0.698503401360544,0,0.853605442176871,0.71374149659864,0.780952380952381,0.598367346938776,0.613605442176871,0.801632653061225,0.926530612244898,0.71374149659864,0.780952380952381,0.853605442176871,0.926530612244898,0.786394557823129,0.698503401360544,0.826394557823129,0.738503401360544,0.868843537414966,0.868843537414966,0.926530612244898,0.71374149659864,0.953741496598639,0.801632653061225,0.613605442176871,0.953741496598639,0.698503401360544,0.747755102040816
