"","Cryptosula pallasiana","Semibalanus balanoides","Mytilus edulis","Modiolus modiolus","Halichondria panicea","Metridium dianthus","Anomia simplex","Testudinalia testudinalis","Amphipoda","Annelida","Asterias forbesi","Asterias rubens","Cancer borealis","Cancer irroratus","Carcinus maenus","Small worm","Hiatella arctica","Isopoda","Lacuna vincta","Littorina littorea","Littorina obtusata","Littorina saxatilis","Nucella lapillus","Nudibranchia","Ophiopholis aculeata","Pagurus acadianus","Spirorbis","Strongylocentrotus droebachiensis","Boreochiton ruber","Gaidropsarus","Gastropoda","Sedentary Polychaete","Celleporella hyalina","Aplidium pallidum","Mya arenaria","Dendrodoa carnea","Crepidula fornicata"
"Cryptosula pallasiana",0,0.706467382143058,0.636343203910771,0.636343203910771,0.695566668539642,0.759004326571894,0.683542170028656,0.602011574984548,0.790638871719953,0.792043602854414,0.786031353598921,0.84671573860763,0.786031353598921,0.786031353598921,0.804405236837669,0.879586447154015,0.622857785019947,0.849356633140417,0.769006012249255,0.782772377366972,0.82772377366972,0.788672248131708,0.811597460246109,0.835028375568916,0.873068494690116,0.833230319716806,0.706467382143058,0.696915210428724,0.783952351519919,0.925774006855088,0.757599595437433,0.669213912457156,0.498960498960499,0.679440355116031,0.620216890487161,0.695566668539642,0.579760633814688
"Semibalanus balanoides",0.706467382143058,0,0.706467382143058,0.706467382143058,0.765690846771928,0.776703938866101,0.571725571725572,0.732820138225544,0.678822273416868,0.793335955498118,0.916839916839917,0.916839916839917,0.916839916839917,0.916839916839917,0.822104849131876,0.949710625386301,0.640557397314154,0.737540034837332,0.559363937742316,0.702646513457324,0.61808169916278,0.806371860425914,0.731471596336461,0.83632072821262,0.943192672922403,0.850929932011013,0.565657133224701,0.82772377366972,0.785244704163623,0.995898185087374,0.758891948081137,0.67050626510086,0.706467382143058,0.810248918357027,0.751025453728156,0.696859021183345,0.710569197055684
"Mytilus edulis",0.636343203910771,0.706467382143058,0,0.484800809125133,0.619542619542619,0.819688711580604,0.60802382424004,0.662695959993257,0.790638871719953,0.792043602854414,0.84671573860763,0.84671573860763,0.84671573860763,0.84671573860763,0.865089621846379,0.879586447154015,0.60802382424004,0.849356633140417,0.769006012249255,0.843456762375681,0.82772377366972,0.849356633140417,0.872281845254818,0.835028375568916,0.797044445693094,0.893914704725516,0.706467382143058,0.757599595437433,0.783952351519919,0.925774006855088,0.757599595437433,0.669213912457156,0.636343203910771,0.74012474012474,0.605382929707254,0.695566668539642,0.640445018823397
"Modiolus modiolus",0.636343203910771,0.706467382143058,0.484800809125133,0,0.619542619542619,0.819688711580604,0.60802382424004,0.662695959993257,0.790638871719953,0.792043602854414,0.84671573860763,0.84671573860763,0.84671573860763,0.84671573860763,0.865089621846379,0.879586447154015,0.60802382424004,0.849356633140417,0.769006012249255,0.843456762375681,0.82772377366972,0.849356633140417,0.872281845254818,0.835028375568916,0.797044445693094,0.893914704725516,0.706467382143058,0.757599595437433,0.783952351519919,0.925774006855088,0.757599595437433,0.669213912457156,0.636343203910771,0.74012474012474,0.605382929707254,0.695566668539642,0.640445018823397
"Halichondria panicea",0.695566668539642,0.765690846771928,0.619542619542619,0.619542619542619,0,0.773669719615666,0.742765634657527,0.621396864640108,0.849862336348823,0.746024610889476,0.905939203236501,0.905939203236501,0.905939203236501,0.905939203236501,0.924313086475249,0.833567455189077,0.742765634657527,0.908580097769287,0.828229476878126,0.902680227004551,0.88694723829859,0.908580097769287,0.931505309883688,0.789009383603978,0.755745350339945,0.953138169354386,0.765690846771928,0.816823060066303,0.74265325616677,0.779232454908131,0.816823060066303,0.623194920492218,0.695566668539642,0.593583188177783,0.74012474012474,0.549025116592684,0.699668483452267
"Metridium dianthus",0.759004326571894,0.776703938866101,0.819688711580604,0.819688711580604,0.773669719615666,0,0.7537787267517,0.78535708265438,0.747485531269315,0.870146653930438,0.722368938585155,0.783053323593864,0.797269202674608,0.797269202674608,0.702534134966567,0.854413665224476,0.69309434174299,0.860875428442996,0.839242568972299,0.794291172669551,0.839242568972299,0.800191043434287,0.634826094285554,0.666123503961342,0.884306343765803,0.731359217845704,0.776703938866101,0.821542956678092,0.908580097769287,0.756869135247514,0.882227341686801,0.74731696353318,0.759004326571894,0.757543406192055,0.803562398156993,0.773669719615666,0.76310614148452
"Anomia simplex",0.683542170028656,0.571725571725572,0.60802382424004,0.60802382424004,0.742765634657527,0.7537787267517,0,0.709894926111142,0.655897061302467,0.770410743383716,0.893914704725516,0.893914704725516,0.893914704725516,0.893914704725516,0.799179637017475,0.9267854132719,0.542113839411137,0.714614822722931,0.634264201831769,0.777546777546778,0.692981963252234,0.783446648311513,0.806371860425914,0.813395516098219,0.920267460808001,0.828004719896612,0.640557397314154,0.804798561555318,0.762319492049222,0.972972972972973,0.735966735966736,0.647581052986458,0.683542170028656,0.787323706242625,0.652581895825139,0.673933809068944,0.687643984941282
"Testudinalia testudinalis",0.602011574984548,0.732820138225544,0.662695959993257,0.662695959993257,0.621396864640108,0.78535708265438,0.709894926111142,0,0.816991627802439,0.818396358936899,0.812384109681407,0.873068494690116,0.812384109681407,0.812384109681407,0.830757992920155,0.905939203236501,0.649210541102433,0.875709389222903,0.722987020284318,0.736753385402034,0.781704781704782,0.74265325616677,0.765578468281171,0.789009383603978,0.798898690790583,0.859583075799292,0.732820138225544,0.72326796651121,0.709782547620385,0.851604202955554,0.711580603472495,0.695566668539642,0.602011574984548,0.605270551216497,0.646569646569647,0.621396864640108,0.53374164184975
"Amphipoda",0.790638871719953,0.678822273416868,0.790638871719953,0.790638871719953,0.849862336348823,0.747485531269315,0.655897061302467,0.816991627802439,0,0.762825195257628,0.772939259425746,0.772939259425746,0.698038995336293,0.698038995336293,0.603303927628252,0.874641793560712,0.724728886891049,0.632129010507389,0.626678653705681,0.769961229420689,0.685396415126145,0.775861100185425,0.685396415126145,0.692420070798449,0.799292015508232,0.632129010507389,0.74765409900545,0.79721301342923,0.754733943923133,0.851997527673203,0.728381187840647,0.754677754677755,0.790638871719953,0.894420407933921,0.835196943305051,0.78103051076024,0.794740686632579
"Annelida",0.792043602854414,0.793335955498118,0.792043602854414,0.792043602854414,0.746024610889476,0.870146653930438,0.770410743383716,0.818396358936899,0.762825195257628,0,0.775748721694668,0.775748721694668,0.775748721694668,0.775748721694668,0.814350733269652,0.703376973647244,0.839242568972299,0.709557790638872,0.74119233578693,0.792717873798955,0.799910097207394,0.778389616227454,0.913299994381075,0.701972242512783,0.802101477777153,0.822947687812553,0.785750407372029,0.798617744563691,0.756138675057594,0.657807495645333,0.729785918975108,0.574422655503737,0.792043602854414,0.678597516435354,0.724616508400292,0.677192785300893,0.796145417767039
