"","Semibalanus balanoides","Mytilus edulis","Metridium dianthus","Dynamena pumila","Modiolus modiolus","Cryptosula pallasiana","Schizoporella unicornis","Diadumene lineata","Anomia simplex","Halichondria panicea","Botrylloides violaceus","Hiatella arctica","Membranipora membranacea","Electra pilosa","Botryllus schlosseri","Testudinalia testudinalis","Amphipoda","Annelida","Asterias forbesi","Asterias rubens","Cancer borealis","Cancer irroratus","Carcinus maenus","Crepidula fornicata","Small worm","Hemigrapsus sanguineus","Henricia sanguinolenta","Isopoda","Lacuna vincta","Littorina littorea","Littorina obtusata","Littorina saxatilis","Nucella lapillus","Nudibranchia","Ophiopholis aculeata","Pagurus acadianus","Spirorbis","Strongylocentrotus droebachiensis","Boreochiton ruber"
"Semibalanus balanoides",0,0.721590047033834,0.78794315480706,0.586810296869468,0.721590047033834,0.721590047033834,0.721590047033834,0.781115662772467,0.586810296869468,0.768371010974561,0.793506296464876,0.657613917968948,0.746725332524149,0.721590047033834,0.775046780963941,0.74004956253477,0.69266171041319,0.804834875840793,0.924189551408486,0.924189551408486,0.924189551408486,0.924189551408486,0.845294087897638,0.725484246194305,0.952510999848278,0.885348707833915,0.822181763010165,0.744095483740454,0.572244980529004,0.724877358013453,0.628938451423658,0.814899104839933,0.745056390026804,0.841652758812522,0.942649066909422,0.8602134223436,0.582511505588429,0.838820613968543,0.786476508369999
"Mytilus edulis",0.721590047033834,0,0.83007130936125,0.699742072523138,0.498356344510191,0.649572649572649,0.649572649572649,0.779901886410762,0.623628179841198,0.621251201132858,0.646386486623173,0.623628179841198,0.674707935062965,0.649572649572649,0.627926971122237,0.668032165073585,0.805593486066859,0.803621099479088,0.852172153947302,0.852172153947302,0.852172153947302,0.852172153947302,0.887422242451828,0.653466848733121,0.880493602387094,0.927476862388105,0.750164365548981,0.857027259394123,0.782127143073889,0.863955899458858,0.838820613968543,0.857027259394123,0.88413493147221,0.840438982450817,0.795529257067719,0.90234157689779,0.721590047033834,0.766803216507358,0.785262732008294
"Metridium dianthus",0.78794315480706,0.83007130936125,0,0.766095180296364,0.83007130936125,0.771405451878825,0.771405451878825,0.536185707783341,0.766095180296364,0.774844484903657,0.799979770393972,0.707429322813938,0.79654073736914,0.771405451878825,0.781520254893036,0.78986496737976,0.75825620796035,0.882111970869367,0.728518687098569,0.787184544580994,0.803621099479088,0.803621099479088,0.724725635968239,0.775299651039296,0.856976685379052,0.764780255904516,0.871997167855156,0.866686896272695,0.848480250847115,0.814949678855004,0.848480250847115,0.80802103879027,0.646335912608102,0.673443584686188,0.880746472462449,0.739644970414201,0.78794315480706,0.831942547918879,0.90906792090224
"Dynamena pumila",0.586810296869468,0.699742072523138,0.766095180296364,0,0.699742072523138,0.699742072523138,0.699742072523138,0.759267688261771,0.564962322358772,0.746523036463865,0.77165832195418,0.635765943458251,0.724877358013453,0.699742072523138,0.753198806453244,0.718201588024073,0.670813735902493,0.782986901330097,0.90234157689779,0.90234157689779,0.90234157689779,0.90234157689779,0.823446113386942,0.703636271683609,0.930663025337581,0.863500733323219,0.800333788499469,0.722247509229758,0.647347392909523,0.799979770393972,0.704040863804177,0.793051130329237,0.820158802407323,0.819804784301826,0.920801092398726,0.838365447832903,0.657613917968948,0.816972639457846,0.764628533859303
"Modiolus modiolus",0.721590047033834,0.498356344510191,0.83007130936125,0.699742072523138,0,0.649572649572649,0.649572649572649,0.779901886410762,0.623628179841198,0.621251201132858,0.646386486623173,0.623628179841198,0.674707935062965,0.649572649572649,0.627926971122237,0.668032165073585,0.805593486066859,0.803621099479088,0.852172153947302,0.852172153947302,0.852172153947302,0.852172153947302,0.887422242451828,0.653466848733121,0.880493602387094,0.927476862388105,0.750164365548981,0.857027259394123,0.782127143073889,0.863955899458858,0.838820613968543,0.857027259394123,0.88413493147221,0.840438982450817,0.795529257067719,0.90234157689779,0.721590047033834,0.766803216507358,0.785262732008294
"Cryptosula pallasiana",0.721590047033834,0.649572649572649,0.771405451878825,0.699742072523138,0.649572649572649,0,0.514792899408284,0.779901886410762,0.699742072523138,0.696353613513377,0.721488899003692,0.641076215040712,0.539928184898599,0.514792899408284,0.703029383502756,0.60936630759116,0.805593486066859,0.803621099479088,0.793506296464876,0.852172153947302,0.793506296464876,0.793506296464876,0.828756384969403,0.594800991250695,0.880493602387094,0.868811004905679,0.691498508066555,0.857027259394123,0.782127143073889,0.805290041976433,0.838820613968543,0.798361401911698,0.825469073989784,0.840438982450817,0.870631669448237,0.843675719415364,0.721590047033834,0.708137359024933,0.785262732008294
"Schizoporella unicornis",0.721590047033834,0.649572649572649,0.771405451878825,0.699742072523138,0.649572649572649,0.514792899408284,0,0.779901886410762,0.699742072523138,0.696353613513377,0.721488899003692,0.641076215040712,0.539928184898599,0.514792899408284,0.703029383502756,0.60936630759116,0.805593486066859,0.803621099479088,0.793506296464876,0.852172153947302,0.793506296464876,0.793506296464876,0.828756384969403,0.594800991250695,0.880493602387094,0.868811004905679,0.691498508066555,0.857027259394123,0.782127143073889,0.805290041976433,0.838820613968543,0.798361401911698,0.825469073989784,0.840438982450817,0.870631669448237,0.843675719415364,0.721590047033834,0.708137359024933,0.785262732008294
"Diadumene lineata",0.781115662772467,0.779901886410762,0.536185707783341,0.759267688261771,0.779901886410762,0.779901886410762,0.779901886410762,0,0.759267688261771,0.724675061953168,0.749810347443484,0.83007130936125,0.805037171901077,0.779901886410762,0.731350831942548,0.798361401911698,0.751428715925757,0.7611389268194,0.737015121630506,0.737015121630506,0.812117534011025,0.812117534011025,0.847367622515552,0.783796085571233,0.806807262428564,0.887422242451828,0.880493602387094,0.859859404238102,0.841652758812522,0.937591665402316,0.841652758812522,0.930663025337581,0.768977899155414,0.552470540636221,0.830577049511961,0.862286956961513,0.851919283871947,0.840438982450817,0.788094876852273
"Anomia simplex",0.586810296869468,0.623628179841198,0.766095180296364,0.564962322358772,0.623628179841198,0.699742072523138,0.699742072523138,0.759267688261771,0,0.746523036463865,0.77165832195418,0.559652050776311,0.724877358013453,0.699742072523138,0.753198806453244,0.718201588024073,0.670813735902493,0.782986901330097,0.90234157689779,0.90234157689779,0.90234157689779,0.90234157689779,0.823446113386942,0.703636271683609,0.930663025337581,0.863500733323219,0.800333788499469,0.722247509229758,0.647347392909523,0.799979770393972,0.704040863804177,0.793051130329237,0.820158802407323,0.819804784301826,0.920801092398726,0.838365447832903,0.657613917968948,0.816972639457846,0.764628533859303
"Halichondria panicea",0.768371010974561,0.621251201132858,0.774844484903657,0.746523036463865,0.621251201132858,0.696353613513377,0.696353613513377,0.724675061953168,0.746523036463865,0,0.497041420118343,0.746523036463865,0.721488899003692,0.696353613513377,0.572700146664644,0.620694886967076,0.852374450007586,0.748394275021494,0.898953117888029,0.898953117888029,0.898953117888029,0.898953117888029,0.934203206392555,0.700247812673848,0.8252667779295,0.974257826328832,0.796945329489708,0.903808223334851,0.828908107014616,0.910736863399585,0.88560157790927,0.903808223334851,0.930915895412937,0.785212157993223,0.74819197896121,0.949122540838517,0.768371010974561,0.813584180448086,0.737925453901785
