"","Cryptosula pallasiana","Semibalanus balanoides","Mytilus edulis","Modiolus modiolus","Halichondria panicea","Metridium dianthus","Anomia simplex","Electra pilosa","Hiatella arctica","Dynamena pumila","Schizoporella unicornis","Diadumene lineata","Botrylloides violaceus","Membranipora membranacea","Botryllus schlosseri","Didemnum vexillum","Spirorbis","Bugula neritina","Testudinalia testudinalis","Amphipoda","Annelida","Asterias forbesi","Asterias rubens","Cancer borealis","Cancer irroratus","Carcinus maenus","Crepidula fornicata","Small worm","Hemigrapsus sanguineus","Henricia sanguinolenta","Isopoda","Lacuna vincta","Littorina littorea","Littorina obtusata","Littorina saxatilis","Nucella lapillus","Nudibranchia","Ophiopholis aculeata","Pagurus acadianus","Strongylocentrotus droebachiensis","Boreochiton ruber","Gaidropsarus","Gastropoda","Sedentary Polychaete","Celleporella hyalina","Aplidium pallidum","Mya arenaria","Dendrodoa carnea"
"Cryptosula pallasiana",0,0.712540064102564,0.651776175213675,0.651776175213675,0.711304754273504,0.764423076923077,0.694511217948718,0.516793536324786,0.635249732905983,0.694511217948718,0.516793536324786,0.780949519230769,0.740017361111111,0.545506143162393,0.716513087606838,0.722789797008547,0.712540064102564,0.545506143162393,0.616018963675214,0.791132478632479,0.813134348290598,0.782284989316239,0.841546474358974,0.782284989316239,0.782284989316239,0.813167735042735,0.598791399572649,0.87757077991453,0.853732638888889,0.689135950854701,0.843716613247863,0.768596420940171,0.790631677350427,0.821180555555556,0.784455128205128,0.802483974358974,0.837005876068376,0.865050747863248,0.825020032051282,0.701155181623932,0.78392094017094,0.932959401709402,0.760416666666667,0.687800480769231,0.516793536324786,0.692608173076923,0.633079594017094,0.711304754273504
"Semibalanus balanoides",0.712540064102564,0,0.712540064102564,0.712540064102564,0.772068643162393,0.77333733974359,0.574752938034188,0.712540064102564,0.644163995726496,0.574752938034188,0.712540064102564,0.77230235042735,0.80078125,0.741252670940171,0.777276976495726,0.714142628205128,0.568442841880342,0.741252670940171,0.736044337606838,0.671374198717949,0.80448717948718,0.902310363247863,0.902310363247863,0.902310363247863,0.902310363247863,0.822081997863248,0.718816773504274,0.938334668803419,0.862646901709402,0.809161324786325,0.723958333333333,0.555088141025641,0.70579594017094,0.607672275641026,0.793369391025641,0.717648237179487,0.828358707264957,0.925814636752137,0.833934294871795,0.821180555555556,0.775273771367521,0.993723290598291,0.751769497863248,0.679153311965812,0.712540064102564,0.812633547008547,0.753104967948718,0.702657585470085
"Mytilus edulis",0.651776175213675,0.712540064102564,0,0.499966613247863,0.635583600427351,0.823684561965812,0.61842280982906,0.651776175213675,0.61842280982906,0.694511217948718,0.651776175213675,0.780949519230769,0.664296207264957,0.680488782051282,0.640791933760684,0.722789797008547,0.712540064102564,0.680488782051282,0.675280448717949,0.791132478632479,0.813134348290598,0.841546474358974,0.841546474358974,0.841546474358974,0.841546474358974,0.87242922008547,0.658052884615385,0.87757077991453,0.912994123931624,0.748397435897436,0.843716613247863,0.768596420940171,0.849893162393162,0.821180555555556,0.843716613247863,0.861745459401709,0.837005876068376,0.789329594017094,0.884281517094017,0.760416666666667,0.78392094017094,0.932959401709402,0.760416666666667,0.687800480769231,0.651776175213675,0.751869658119658,0.616252670940171,0.711304754273504
"Modiolus modiolus",0.651776175213675,0.712540064102564,0.499966613247863,0,0.635583600427351,0.823684561965812,0.61842280982906,0.651776175213675,0.61842280982906,0.694511217948718,0.651776175213675,0.780949519230769,0.664296207264957,0.680488782051282,0.640791933760684,0.722789797008547,0.712540064102564,0.680488782051282,0.675280448717949,0.791132478632479,0.813134348290598,0.841546474358974,0.841546474358974,0.841546474358974,0.841546474358974,0.87242922008547,0.658052884615385,0.87757077991453,0.912994123931624,0.748397435897436,0.843716613247863,0.768596420940171,0.849893162393162,0.821180555555556,0.843716613247863,0.861745459401709,0.837005876068376,0.789329594017094,0.884281517094017,0.760416666666667,0.78392094017094,0.932959401709402,0.760416666666667,0.687800480769231,0.651776175213675,0.751869658119658,0.616252670940171,0.711304754273504
"Halichondria panicea",0.711304754273504,0.772068643162393,0.635583600427351,0.635583600427351,0,0.77590811965812,0.754039797008547,0.711304754273504,0.754039797008547,0.754039797008547,0.711304754273504,0.733173076923077,0.518229166666667,0.740017361111111,0.593015491452991,0.675013354700855,0.772068643162393,0.740017361111111,0.63651842948718,0.850661057692308,0.765357905982906,0.901075053418803,0.901075053418803,0.901075053418803,0.901075053418803,0.931957799145299,0.717581463675214,0.829794337606838,0.972522702991453,0.807926014957265,0.903245192307692,0.828125,0.909421741452991,0.880709134615385,0.903245192307692,0.921274038461538,0.789229433760684,0.750567574786325,0.943810096153846,0.819945245726496,0.745158920940171,0.786892361111111,0.819945245726496,0.640024038461538,0.711304754273504,0.605802617521368,0.751869658119658,0.565237713675214
"Metridium dianthus",0.764423076923077,0.77333733974359,0.823684561965812,0.823684561965812,0.77590811965812,0,0.755308493589744,0.764423076923077,0.696047008547009,0.755308493589744,0.764423076923077,0.529947916666667,0.804620726495726,0.793135683760684,0.781116452991453,0.787393162393162,0.77333733974359,0.793135683760684,0.78792735042735,0.740985576923077,0.877737713675214,0.715377938034188,0.774639423076923,0.790665064102564,0.790665064102564,0.710436698717949,0.770699786324786,0.849025106837607,0.751001602564103,0.861044337606838,0.851929754273504,0.829393696581197,0.798844818376068,0.829393696581197,0.792668269230769,0.624465811965812,0.662793803418803,0.873430822649573,0.722288995726496,0.820479433760684,0.903245192307692,0.758747329059829,0.879740918803419,0.752403846153846,0.764423076923077,0.757211538461539,0.804987980769231,0.77590811965812
"Anomia simplex",0.694511217948718,0.574752938034188,0.61842280982906,0.61842280982906,0.754039797008547,0.755308493589744,0,0.694511217948718,0.550046741452991,0.556724091880342,0.694511217948718,0.754273504273504,0.782752403846154,0.723223824786325,0.75924813034188,0.696113782051282,0.644163995726496,0.723223824786325,0.718015491452991,0.653345352564103,0.786458333333333,0.884281517094017,0.884281517094017,0.884281517094017,0.884281517094017,0.804053151709402,0.700787927350427,0.920305822649573,0.844618055555556,0.791132478632479,0.705929487179487,0.630809294871795,0.781517094017094,0.68339342948718,0.775340544871795,0.793369391025641,0.810329861111111,0.907785790598291,0.815905448717949,0.803151709401709,0.757244925213675,0.975694444444444,0.733740651709402,0.661124465811966,0.694511217948718,0.794604700854701,0.658987713675214,0.684628739316239
"Electra pilosa",0.516793536324786,0.712540064102564,0.651776175213675,0.651776175213675,0.711304754273504,0.764423076923077,0.694511217948718,0,0.635249732905983,0.694511217948718,0.516793536324786,0.780949519230769,0.740017361111111,0.545506143162393,0.716513087606838,0.722789797008547,0.712540064102564,0.545506143162393,0.616018963675214,0.791132478632479,0.813134348290598,0.782284989316239,0.841546474358974,0.782284989316239,0.782284989316239,0.813167735042735,0.598791399572649,0.87757077991453,0.853732638888889,0.689135950854701,0.843716613247863,0.768596420940171,0.790631677350427,0.821180555555556,0.784455128205128,0.802483974358974,0.837005876068376,0.865050747863248,0.825020032051282,0.701155181623932,0.78392094017094,0.932959401709402,0.760416666666667,0.687800480769231,0.516793536324786,0.692608173076923,0.633079594017094,0.711304754273504
"Hiatella arctica",0.635249732905983,0.644163995726496,0.61842280982906,0.61842280982906,0.754039797008547,0.696047008547009,0.550046741452991,0.635249732905983,0,0.626135149572649,0.635249732905983,0.823684561965812,0.782752403846154,0.66396233974359,0.75924813034188,0.76552483974359,0.644163995726496,0.66396233974359,0.658754006410256,0.72275641025641,0.855869391025641,0.825020032051282,0.884281517094017,0.825020032051282,0.825020032051282,0.744791666666667,0.641526442307692,0.920305822649573,0.78535657051282,0.731870993589744,0.775340544871795,0.700220352564103,0.722255608974359,0.752804487179487,0.71607905982906,0.734107905982906,0.879740918803419,0.907785790598291,0.756643963675214,0.743890224358974,0.826655982905983,0.975694444444444,0.803151709401709,0.730535523504274,0.635249732905983,0.735343215811966,0.599726228632478,0.754039797008547
"Dynamena pumila",0.694511217948718,0.574752938034188,0.694511217948718,0.694511217948718,0.754039797008547,0.755308493589744,0.556724091880342,0.694511217948718,0.626135149572649,0,0.694511217948718,0.754273504273504,0.782752403846154,0.723223824786325,0.75924813034188,0.696113782051282,0.644163995726496,0.723223824786325,0.718015491452991,0.653345352564103,0.786458333333333,0.884281517094017,0.884281517094017,0.884281517094017,0.884281517094017,0.804053151709402,0.700787927350427,0.920305822649573,0.844618055555556,0.791132478632479,0.705929487179487,0.630809294871795,0.781517094017094,0.68339342948718,0.775340544871795,0.793369391025641,0.810329861111111,0.907785790598291,0.815905448717949,0.803151709401709,0.757244925213675,0.975694444444444,0.733740651709402,0.661124465811966,0.694511217948718,0.794604700854701,0.735076121794872,0.684628739316239
"Schizoporella unicornis",0.516793536324786,0.712540064102564,0.651776175213675,0.651776175213675,0.711304754273504,0.764423076923077,0.694511217948718,0.516793536324786,0.635249732905983,0.694511217948718,0,0.780949519230769,0.740017361111111,0.545506143162393,0.716513087606838,0.722789797008547,0.712540064102564,0.545506143162393,0.616018963675214,0.791132478632479,0.813134348290598,0.782284989316239,0.841546474358974,0.782284989316239,0.782284989316239,0.813167735042735,0.598791399572649,0.87757077991453,0.853732638888889,0.689135950854701,0.843716613247863,0.768596420940171,0.790631677350427,0.821180555555556,0.784455128205128,0.802483974358974,0.837005876068376,0.865050747863248,0.825020032051282,0.701155181623932,0.78392094017094,0.932959401709402,0.760416666666667,0.687800480769231,0.516793536324786,0.692608173076923,0.633079594017094,0.711304754273504
"Diadumene lineata",0.780949519230769,0.77230235042735,0.780949519230769,0.780949519230769,0.733173076923077,0.529947916666667,0.754273504273504,0.780949519230769,0.823684561965812,0.754273504273504,0.780949519230769,0,0.761885683760684,0.809662126068376,0.73838141025641,0.675247061965812,0.841713408119658,0.809662126068376,0.804453792735043,0.739950587606838,0.765591613247863,0.73190438034188,0.73190438034188,0.807191506410256,0.807191506410256,0.838074252136752,0.787226228632479,0.806290064102564,0.878639155982906,0.87757077991453,0.850894764957265,0.828358707264957,0.926482371794872,0.828358707264957,0.920305822649573,0.752103365384615,0.550647702991453,0.83069577991453,0.849926549145299,0.837005876068376,0.791099091880342,0.716012286324786,0.767594818376068,0.640257745726496,0.780949519230769,0.773737980769231,0.821514423076923,0.663762019230769
