"","Semibalanus balanoides","Anomia simplex","Hiatella arctica","Modiolus modiolus","Mytilus edulis","Membranipora membranacea","Schizoporella unicornis","Metridium senile","Amphipoda","Cancer borealis","Cancer irroratus","Carcinus maenus","Strongylocentrotus droebachiensis","Crepidula fornicata","Lacuna vincta","Littorina littorea","Littorina obtusata","Littorina saxatilis","Nucella lapillus","Tectura testudinalis","Spirorbis","Asterias forbesi","Asterias rubens","Henricia sanguinolenta","Botrylloides violaceus","Botryllus schlosseri"
"Semibalanus balanoides",0,0.621984524351388,0.69481110605371,0.752503413746017,0.752503413746017,0.783909877105143,0.752503413746017,0.751593081474738,0.753982703686846,0.940259444697314,0.940259444697314,0.878129267182522,0.864360491579427,0.758306781975421,0.609695038689122,0.765248065543924,0.661015020482476,0.84251251706873,0.773896222121074,0.769685935366409,0.621984524351388,0.940259444697314,0.940259444697314,0.848884842967683,0.806440600819299,0.800637232589895
"Anomia simplex",0.621984524351388,0,0.588302230314065,0.645994538006372,0.645994538006372,0.752503413746017,0.721096950386891,0.720186618115612,0.72257624032772,0.908852981338188,0.908852981338188,0.846722803823395,0.8329540282203,0.726900318616295,0.682521620391443,0.838074647246245,0.733841602184797,0.811106053709604,0.846722803823395,0.738279472007283,0.69481110605371,0.908852981338188,0.908852981338188,0.817478379608557,0.775034137460173,0.769230769230769
"Hiatella arctica",0.69481110605371,0.588302230314065,0,0.645994538006372,0.645994538006372,0.69481110605371,0.663404642694584,0.720186618115612,0.795402822030041,0.851160673645881,0.851160673645881,0.789030496131088,0.775261720527993,0.669208010923987,0.755348202093764,0.780382339553937,0.806668183887119,0.753413746017296,0.789030496131088,0.811106053709604,0.69481110605371,0.851160673645881,0.908852981338188,0.759786071916249,0.775034137460173,0.769230769230769
"Modiolus modiolus",0.752503413746017,0.645994538006372,0.645994538006372,0,0.513199817933546,0.69481110605371,0.663404642694583,0.77787892580792,0.853095129722349,0.851160673645881,0.851160673645881,0.904415111515703,0.775261720527993,0.669208010923987,0.813040509786072,0.895766954938553,0.864360491579427,0.868798361401912,0.904415111515703,0.868798361401912,0.752503413746017,0.851160673645881,0.851160673645881,0.759786071916249,0.642239417387346,0.636436049157943
"Mytilus edulis",0.752503413746017,0.645994538006372,0.645994538006372,0.513199817933546,0,0.69481110605371,0.663404642694583,0.77787892580792,0.853095129722349,0.851160673645881,0.851160673645881,0.904415111515703,0.775261720527993,0.669208010923987,0.813040509786072,0.895766954938553,0.864360491579427,0.868798361401912,0.904415111515703,0.868798361401912,0.752503413746017,0.851160673645881,0.851160673645881,0.759786071916249,0.642239417387346,0.636436049157943
"Membranipora membranacea",0.783909877105143,0.752503413746017,0.69481110605371,0.69481110605371,0.69481110605371,0,0.560650887573964,0.809285389167046,0.780268548020027,0.824874829312699,0.824874829312699,0.773896222121074,0.748975876194811,0.642922166590806,0.844446973145198,0.765248065543924,0.895766954938553,0.84251251706873,0.878129267182522,0.900204824761038,0.783909877105143,0.824874829312699,0.882567137005007,0.733500227583068,0.644515248065544,0.63871187983614
"Schizoporella unicornis",0.752503413746017,0.721096950386891,0.663404642694584,0.663404642694583,0.663404642694583,0.560650887573964,0,0.77787892580792,0.853095129722349,0.793468365953573,0.793468365953573,0.846722803823395,0.717569412835685,0.61151570323168,0.813040509786072,0.838074647246245,0.864360491579427,0.811106053709604,0.846722803823395,0.868798361401912,0.752503413746017,0.793468365953573,0.851160673645881,0.702093764223942,0.717341829767865,0.711538461538461
"Metridium senile",0.751593081474738,0.720186618115612,0.720186618115612,0.77787892580792,0.77787892580792,0.809285389167046,0.77787892580792,0,0.742489758761948,0.855939918070096,0.855939918070096,0.793809740555303,0.889736003641329,0.783682294037324,0.812130177514793,0.894856622667274,0.863450159308147,0.867888029130633,0.793809740555303,0.867888029130633,0.751593081474738,0.855939918070096,0.779472007282658,0.874260355029586,0.739189804278562,0.733386436049158
"Amphipoda",0.753982703686846,0.72257624032772,0.795402822030041,0.853095129722349,0.853095129722349,0.780268548020027,0.853095129722349,0.742489758761948,0,0.74089667728721,0.74089667728721,0.57453345471097,0.849795175238962,0.858898497951752,0.699362767410105,0.750682749203459,0.750682749203459,0.827947200728266,0.753868912152936,0.755120619025944,0.826809285389167,0.815999089667729,0.815999089667729,0.834319526627219,0.802799271734183,0.796995903504779
"Cancer borealis",0.940259444697314,0.908852981338188,0.851160673645881,0.851160673645881,0.851160673645881,0.824874829312699,0.793468365953573,0.855939918070096,0.74089667728721,0,0.446859353664087,0.607305416477014,0.738848429676832,0.799271734182977,0.885639508420573,0.859353664087392,0.885639508420573,0.725193445607647,0.758306781975421,0.782885753299954,0.940259444697314,0.597860719162494,0.655553026854802,0.667501137915339,0.905097860719163,0.899294492489759
