"","Semibalanus balanoides","Anomia simplex","Hiatella arctica","Modiolus modiolus","Mytilus edulis","Membranipora membranacea","Schizoporella unicornis","Metridium senile","Amphipoda","Cancer borealis","Cancer irroratus","Carcinus maenus","Strongylocentrotus droebachiensis","Crepidula fornicata","Lacuna vincta","Littorina littorea","Littorina obtusata","Littorina saxatilis","Nucella lapillus","Tectura testudinalis","Spirorbis","Asterias forbesi","Asterias rubens","Henricia sanguinolenta","Botrylloides violaceus","Botryllus schlosseri","Didemnum vexillum"
"Semibalanus balanoides",0,0.614223910520207,0.685976574865464,0.745067004326264,0.745067004326264,0.779782631634483,0.745067004326264,0.745911153318561,0.746860820934895,0.92761422391052,0.92761422391052,0.86852379444972,0.854067742956632,0.756040941226126,0.600189933523267,0.756568534346312,0.650100242692835,0.829692940804052,0.760683760683761,0.757940276458795,0.612852168407724,0.92761422391052,0.92761422391052,0.838873061095283,0.806478843515881,0.800886356441912,0.740107628996518
"Anomia simplex",0.614223910520207,0,0.580352432204284,0.639442861665084,0.639442861665084,0.749393267911787,0.714677640603567,0.715521789595864,0.716471457212198,0.897224860187823,0.897224860187823,0.838134430727023,0.823678379233935,0.725651577503429,0.673314339981007,0.829692940804052,0.723224649150575,0.799303577081355,0.8338081671415,0.727550912736098,0.685976574865464,0.897224860187823,0.897224860187823,0.808483697372586,0.776089479793183,0.770496992719215,0.709718265273821
"Hiatella arctica",0.685976574865464,0.580352432204284,0,0.639442861665084,0.639442861665084,0.690302838450987,0.655587211142767,0.715521789595864,0.788224121557455,0.838134430727023,0.838134430727023,0.779044001266223,0.764587949773135,0.666561148042629,0.745067004326264,0.770602511343252,0.794977313495832,0.740213147620555,0.774717737680701,0.799303577081355,0.685976574865464,0.838134430727023,0.897224860187823,0.749393267911787,0.776089479793183,0.770496992719215,0.781470929619078
"Modiolus modiolus",0.745067004326264,0.639442861665084,0.639442861665084,0,0.507966656114804,0.693151841299989,0.65843621399177,0.774612219056664,0.847314551018255,0.840983433576026,0.840983433576026,0.897224860187823,0.767436952622138,0.669410150891632,0.804157433787063,0.888783370264852,0.854067742956632,0.858394006542155,0.8928985966023,0.858394006542155,0.745067004326264,0.840983433576026,0.840983433576026,0.752242270760789,0.644613274242904,0.639020787168935,0.725229503007281
"Mytilus edulis",0.745067004326264,0.639442861665084,0.639442861665084,0.507966656114804,0,0.693151841299989,0.65843621399177,0.774612219056664,0.847314551018255,0.840983433576026,0.840983433576026,0.897224860187823,0.767436952622138,0.669410150891632,0.804157433787063,0.888783370264852,0.854067742956632,0.858394006542155,0.8928985966023,0.858394006542155,0.745067004326264,0.840983433576026,0.840983433576026,0.752242270760789,0.644613274242904,0.639020787168935,0.725229503007281
"Membranipora membranacea",0.779782631634483,0.749393267911787,0.690302838450987,0.693151841299989,0.693151841299989,0,0.557560409412261,0.809327846364883,0.775561886672998,0.816608631423446,0.816608631423446,0.766381766381766,0.743062150469558,0.645035348739052,0.838873061095283,0.757940276458795,0.888783370264852,0.834019204389575,0.86852379444972,0.893109633850375,0.779782631634483,0.816608631423446,0.875699060884246,0.727867468608209,0.64809538883613,0.642502901762161,0.653476838662024
"Schizoporella unicornis",0.745067004326264,0.714677640603567,0.655587211142767,0.65843621399177,0.65843621399177,0.557560409412261,0,0.774612219056664,0.847314551018255,0.781893004115226,0.781893004115226,0.838134430727023,0.708346523161338,0.610319721430832,0.804157433787063,0.829692940804052,0.854067742956632,0.799303577081355,0.833808167141501,0.858394006542155,0.745067004326264,0.781893004115226,0.840983433576026,0.693151841299989,0.719848053181386,0.714255566107418,0.725229503007281
"Metridium senile",0.745911153318561,0.715521789595864,0.715521789595864,0.774612219056664,0.774612219056664,0.809327846364883,0.774612219056664,0,0.739157961380184,0.848158700010552,0.848158700010552,0.789068270549752,0.883612957687032,0.785586155956526,0.805001582779361,0.889627519257149,0.854911891948929,0.859238155534452,0.784742006964229,0.859238155534452,0.745911153318561,0.848158700010552,0.771657697583624,0.868418275825683,0.739685554500369,0.734093067426401,0.745067004326263
"Amphipoda",0.746860820934895,0.716471457212198,0.788224121557455,0.847314551018255,0.847314551018255,0.775561886672998,0.847314551018255,0.739157961380184,0,0.730294396961064,0.730294396961064,0.564735675846787,0.840983433576026,0.858288487918118,0.690619394323098,0.740529703492666,0.740529703492666,0.816608631423446,0.742112482853224,0.744855967078189,0.818613485280152,0.805529175899546,0.805529175899546,0.825788751714678,0.802258098554395,0.796665611480426,0.735886884035032
"Cancer borealis",0.92761422391052,0.897224860187823,0.838134430727023,0.840983433576026,0.840983433576026,0.816608631423446,0.781893004115226,0.848158700010552,0.730294396961064,0,0.432520839928247,0.595230558193521,0.725651577503429,0.792866941015089,0.871372797298723,0.846997995146143,0.871372797298723,0.710140339769969,0.742112482853224,0.769230769230769,0.92761422391052,0.583729028173472,0.642819457634272,0.653898913158172,0.902395272765643,0.896802785691675,0.907776722591537
