"","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5"
"body_size_avg_bin",0.414408850251883,0.426678346383638,0.516351455000409,0.195863795933117,0.278186268464978
"morphology1",0.000231984019809282,0.411069266014608,0.0299162537146056,0.214174199317733,0.112404989626544
"dietary_pref_c",0.729760376097036,0.0900007332631423,0.600932573264014,0.692069957283692,0.217700319991344
"trophic_level",0.651737557958259,0.234464110148945,0.447409198007795,0.321154620898473,0.00271490665922794
"motility_juv",0.0909802047129653,0.0708231588578997,0.0111660232847658,0.000306920978124621,0.133205942289122
"motility_adult",0.640241464013551,0.0547407134027255,0.0216102704255448,0.00874125924153069,0.072801017981454
"benthic",0.0129794472179387,0.40697594010148,0.222975991221782,0.031805081626596,0.00808487720375847
"epibiotic",0.513734773544573,0.0169466556431297,0.0104465610594028,0.105431436734807,0.00582943892708284
"invasive",0.0135267110611436,0.0108171724722152,0.0804988447329977,0.0292861624084984,0.478435478132127
"subtidal",0.0127362088227923,0.569555432445991,0.0488664050499975,0.0194688221755448,0.0223392154166372
