"","X.1","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","id_species","X.x","species","group","common_name_division_bgr","body_size_avg_bin","morphology1","dietary_pref_c","trophic_level","motility_juv","motility_adult","benthic","epibiotic","invasive","intertidal","subtidal","X.y","X1982","X1998","X2009","X2015","X1983","X1987","X1992","X1994","X2004","X2006","X2010","X2012","X2013","X1984","X1986","X1988","X1989","X1990","X1991","X1993","X1995","X1996","X1997","X1999","X2000","X2001","X2002","X2003","X2005","X1985","X2008","X2011","X2014","X2016","X2017","Current.Abundance","position.x","Historical.Abundance","position.y"
"1",2,-0.76071305581236,0.464514300396013,-0.359753269498766,0.391022063638513,-0.24763121685259,2,43,"Semibalanus balanoides","Invertebrate","Barnacle","small","calcareous","filter-suspension","primary consumer","motile","sessile","no","yes","no","yes","no",140,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,0.310698366,"exposed",0.17301694,"exposed"
"2",2,-0.76071305581236,0.464514300396013,-0.359753269498766,0.391022063638513,-0.24763121685259,2,43,"Semibalanus balanoides","Invertebrate","Barnacle","small","calcareous","filter-suspension","primary consumer","motile","sessile","no","yes","no","yes","no",140,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,0.310698366,"exposed",0.022449839,"sheltered"
"3",2,-0.76071305581236,0.464514300396013,-0.359753269498766,0.391022063638513,-0.24763121685259,2,43,"Semibalanus balanoides","Invertebrate","Barnacle","small","calcareous","filter-suspension","primary consumer","motile","sessile","no","yes","no","yes","no",140,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,0.048591523,"sheltered",0.17301694,"exposed"
"4",2,-0.76071305581236,0.464514300396013,-0.359753269498766,0.391022063638513,-0.24763121685259,2,43,"Semibalanus balanoides","Invertebrate","Barnacle","small","calcareous","filter-suspension","primary consumer","motile","sessile","no","yes","no","yes","no",140,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,0.048591523,"sheltered",0.022449839,"sheltered"
"5",3,-0.638195676547979,0.331637327968901,-0.183957835426262,0.124955189455713,-0.358859390443416,3,44,"Anomia simplex","Invertebrate","Bivalve","small","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","no",7,1,1,1,1,1,1,0,1,2,2,1,0,0,2,0,0,1,0,0,0,0,0,2,0,2,1,1,1,1,0,0,0,1,0,0,0,"exposed",0,"exposed"
"6",3,-0.638195676547979,0.331637327968901,-0.183957835426262,0.124955189455713,-0.358859390443416,3,44,"Anomia simplex","Invertebrate","Bivalve","small","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","no",7,1,1,1,1,1,1,0,1,2,2,1,0,0,2,0,0,1,0,0,0,0,0,2,0,2,1,1,1,1,0,0,0,1,0,0,0,"exposed",0,"sheltered"
"7",3,-0.638195676547979,0.331637327968901,-0.183957835426262,0.124955189455713,-0.358859390443416,3,44,"Anomia simplex","Invertebrate","Bivalve","small","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","no",7,1,1,1,1,1,1,0,1,2,2,1,0,0,2,0,0,1,0,0,0,0,0,2,0,2,1,1,1,1,0,0,0,1,0,0,0,"sheltered",0,"exposed"
"8",3,-0.638195676547979,0.331637327968901,-0.183957835426262,0.124955189455713,-0.358859390443416,3,44,"Anomia simplex","Invertebrate","Bivalve","small","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","no",7,1,1,1,1,1,1,0,1,2,2,1,0,0,2,0,0,1,0,0,0,0,0,2,0,2,1,1,1,1,0,0,0,1,0,0,0,"sheltered",0,"sheltered"
"9",4,-0.604216893364303,0.29173935807124,-0.079736381633344,-0.0982992567378551,0.107705781126104,4,45,"Hiatella arctica","Invertebrate","Bivalve","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","no",82,1,2,2,1,1,1,2,2,0,1,1,1,0,1,1,1,1,1,1,1,2,0,0,2,1,1,0,0,0,1,0,0,1,2,0,0,"exposed",0,"exposed"
"10",4,-0.604216893364303,0.29173935807124,-0.079736381633344,-0.0982992567378551,0.107705781126104,4,45,"Hiatella arctica","Invertebrate","Bivalve","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","no",82,1,2,2,1,1,1,2,2,0,1,1,1,0,1,1,1,1,1,1,1,2,0,0,2,1,1,0,0,0,1,0,0,1,2,0,0,"exposed",0,"sheltered"
"11",4,-0.604216893364303,0.29173935807124,-0.079736381633344,-0.0982992567378551,0.107705781126104,4,45,"Hiatella arctica","Invertebrate","Bivalve","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","no",82,1,2,2,1,1,1,2,2,0,1,1,1,0,1,1,1,1,1,1,1,2,0,0,2,1,1,0,0,0,1,0,0,1,2,0,0,"sheltered",0,"exposed"
"12",4,-0.604216893364303,0.29173935807124,-0.079736381633344,-0.0982992567378551,0.107705781126104,4,45,"Hiatella arctica","Invertebrate","Bivalve","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","no",82,1,2,2,1,1,1,2,2,0,1,1,1,0,1,1,1,1,1,1,1,2,0,0,2,1,1,0,0,0,1,0,0,1,2,0,0,"sheltered",0,"sheltered"
"13",5,-0.485585319551622,-0.213693313608768,0.062219303086364,-0.311412827464167,-0.11906520133544,5,46,"Modiolus modiolus","Invertebrate","Bivalve","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes",101,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,0,3,2,3,2,0,"exposed",0.003092229,"exposed"
"14",5,-0.485585319551622,-0.213693313608768,0.062219303086364,-0.311412827464167,-0.11906520133544,5,46,"Modiolus modiolus","Invertebrate","Bivalve","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes",101,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,0,3,2,3,2,0,"exposed",0.002244984,"sheltered"
"15",5,-0.485585319551622,-0.213693313608768,0.062219303086364,-0.311412827464167,-0.11906520133544,5,46,"Modiolus modiolus","Invertebrate","Bivalve","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes",101,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,0,3,2,3,2,0,"sheltered",0.003092229,"exposed"
"16",5,-0.485585319551622,-0.213693313608768,0.062219303086364,-0.311412827464167,-0.11906520133544,5,46,"Modiolus modiolus","Invertebrate","Bivalve","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes",101,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,0,3,2,3,2,0,"sheltered",0.002244984,"sheltered"
"17",6,-0.485585319551622,-0.213693313608769,0.0622193030863641,-0.311412827464167,-0.11906520133544,6,47,"Mytilus edulis","Invertebrate","Bivalve","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes",106,3,3,3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,0.008172363,"exposed",0.152325894,"exposed"
"18",6,-0.485585319551622,-0.213693313608769,0.0622193030863641,-0.311412827464167,-0.11906520133544,6,47,"Mytilus edulis","Invertebrate","Bivalve","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes",106,3,3,3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,0.008172363,"exposed",0.000281,"sheltered"
"19",6,-0.485585319551622,-0.213693313608769,0.0622193030863641,-0.311412827464167,-0.11906520133544,6,47,"Mytilus edulis","Invertebrate","Bivalve","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes",106,3,3,3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,0.000626,"sheltered",0.152325894,"exposed"
"20",6,-0.485585319551622,-0.213693313608769,0.0622193030863641,-0.311412827464167,-0.11906520133544,6,47,"Mytilus edulis","Invertebrate","Bivalve","medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes",106,3,3,3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,0.000626,"sheltered",0.000281,"sheltered"
"21",15,-0.494118081641196,0.00842483420328543,0.0755372126203675,-0.243392648346703,0.13988357546381,15,56,"Schizoporella unicornis","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes",138,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"exposed",0,"exposed"
"22",15,-0.494118081641196,0.00842483420328543,0.0755372126203675,-0.243392648346703,0.13988357546381,15,56,"Schizoporella unicornis","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes",138,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"exposed",0,"sheltered"
"23",15,-0.494118081641196,0.00842483420328543,0.0755372126203675,-0.243392648346703,0.13988357546381,15,56,"Schizoporella unicornis","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes",138,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"sheltered",0,"exposed"
"24",15,-0.494118081641196,0.00842483420328543,0.0755372126203675,-0.243392648346703,0.13988357546381,15,56,"Schizoporella unicornis","Invertebrate","Bryozoan","small-medium","calcareous","filter-suspension","primary consumer","motile","sessile","yes","yes","no","yes","yes",138,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"sheltered",0,"sheltered"
