"","Urticina felina","Semibalanus balanoides","Anomia simplex","Hiatella arctica","Modiolus modiolus","Mytilus edulis","Ostrea edulis","Placopecten magellanicus","Bugulina spicata","Crisia eburnea","Crisularia turrita","Dendrobeania murrayana","Membranipora membranacea","Patinella verrucaria","Schizoporella unicornis","Tricellaria inopinata","Boreochiton ruber","Stenosemus albus","Metridium senile","Pachycerianthus borealis","Amphipoda","Cancer borealis","Cancer irroratus","Carcinus maenus","Homarus americanus","Isopoda","Cucumaria frondosa","Echinarachnius parma","Ophiopholis aculeata","Strongylocentrotus droebachiensis","Buccinum undatum","Crepidula fornicata","Lacuna vincta","Littorina littorea","Littorina obtusata","Littorina saxatilis","Nucella lapillus","Tectura testudinalis","Testudinalia testudinalis","Thylacodes","Obelia","Spirorbis","Asterias forbesi","Asterias rubens","Henricia sanguinolenta","Halichondria panicea","Halisarca dujardinii","Hymedesmia","Leucosolenia","Aplidium pallidum","Boltenia echinata","Boltenia ovifera","Botrylloides violaceus","Botryllus schlosseri","Ciona intestinalis","Ciona savignyi","Dendrodoa carnea","Didemnum albidum","Didemnum vexillum","Diplosoma listerianum","Cyclopterus lumpus","Morone saxatilis","Myoxocephalus octodecemspinosus","Myoxocephalus scorpius","Pholis gunnellus","Pollachius virens","Pseudopleuronectes americanus","Tautoga onitis","Tautogolabrus adspersus","Urophycis regia"
"Urticina felina",0,0.844568288854003,0.827990580847724,0.827990580847724,0.739340659340659,0.739340659340659,0.842794348508634,0.69010989010989,0.776985871271586,0.751067503924647,0.751067503924647,0.69010989010989,0.826216640502355,0.751067503924647,0.800298273155416,0.776985871271586,0.806499215070644,0.851632653061224,0.752841444270016,0.72105180533752,0.871114599686028,0.862637362637363,0.862637362637363,0.871114599686028,0.765620094191523,0.928555729984301,0.851632653061224,0.851632653061224,0.752448979591837,0.855729984301413,0.720486656200942,0.80883830455259,0.9,0.925918367346939,0.9,0.928555729984301,0.813987441130298,0.928555729984301,0.751067503924647,0.751067503924647,0.778116169544741,0.844568288854003,0.814850863422292,0.814850863422292,0.900863422291994,0.653186813186813,0.653186813186813,0.653186813186813,0.69010989010989,0.759277864992151,0.71414442700157,0.71414442700157,0.679105180533752,0.728335949764521,0.740062794348509,0.704222919937206,0.71414442700157,0.71414442700157,0.797833594976452,0.740062794348509,0.749105180533752,0.749105180533752,0.749105180533752,0.749105180533752,0.688147566718995,0.749105180533752,0.749105180533752,0.749105180533752,0.749105180533752,0.749105180533752
"Semibalanus balanoides",0.844568288854003,0,0.574505494505494,0.635463108320251,0.660078492935636,0.660078492935636,0.670423861852433,0.697001569858713,0.722919937205652,0.682574568288854,0.697001569858713,0.697001569858713,0.685996860282575,0.697001569858713,0.660078492935636,0.722919937205652,0.743281004709576,0.788414442700157,0.731224489795918,0.837896389324961,0.702386185243328,0.858979591836735,0.858979591836735,0.815149136577708,0.895902668759812,0.726875981161695,0.895902668759812,0.895902668759812,0.895902668759812,0.767315541601256,0.850769230769231,0.66861852433281,0.61436420722135,0.753045525902669,0.666169544740973,0.787833594976452,0.773657770800628,0.726875981161695,0.697001569858713,0.697001569858713,0.810204081632653,0.61989010989011,0.858979591836735,0.858979591836735,0.760643642072213,0.746232339089482,0.746232339089482,0.746232339089482,0.697001569858713,0.791365777080063,0.685274725274725,0.746232339089482,0.772150706436421,0.735227629513344,0.772150706436421,0.765117739403454,0.685274725274725,0.685274725274725,0.682810047095761,0.772150706436421,0.965541601255887,0.965541601255887,0.965541601255887,0.965541601255887,0.965541601255887,0.965541601255887,0.965541601255887,0.965541601255887,0.965541601255887,0.965541601255887
"Anomia simplex",0.827990580847724,0.574505494505494,0,0.549136577708006,0.573751962323391,0.573751962323391,0.616248037676609,0.610675039246468,0.706342229199372,0.665996860282575,0.680423861852433,0.680423861852433,0.669419152276295,0.680423861852433,0.643500784929356,0.706342229199372,0.726703296703297,0.771836734693877,0.714646781789639,0.821318681318681,0.685808477237049,0.842401883830455,0.842401883830455,0.798571428571429,0.879324960753532,0.710298273155416,0.879324960753532,0.879324960753532,0.879324960753532,0.750737833594976,0.834191522762951,0.652040816326531,0.629937205651491,0.76861852433281,0.681742543171115,0.771255886970173,0.789230769230769,0.710298273155416,0.680423861852433,0.680423861852433,0.793626373626374,0.635463108320251,0.842401883830455,0.842401883830455,0.744065934065934,0.729654631083202,0.729654631083202,0.729654631083202,0.680423861852433,0.774788069073783,0.668697017268446,0.729654631083202,0.755572998430141,0.718649921507064,0.755572998430141,0.780690737833595,0.668697017268446,0.668697017268446,0.666232339089482,0.755572998430141,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608
"Hiatella arctica",0.827990580847724,0.635463108320251,0.549136577708006,0,0.573751962323391,0.573751962323391,0.549136577708006,0.610675039246468,0.639230769230769,0.726954474097331,0.613312401883831,0.680423861852433,0.602307692307692,0.613312401883831,0.576389324960753,0.639230769230769,0.787660910518053,0.832794348508634,0.714646781789639,0.821318681318681,0.746766091051805,0.775290423861852,0.775290423861852,0.731459968602826,0.879324960753532,0.771255886970173,0.879324960753532,0.812213500784929,0.879324960753532,0.683626373626374,0.767080062794348,0.584929356357928,0.690894819466248,0.701507064364207,0.742700156985871,0.70414442700157,0.722119309262166,0.771255886970173,0.613312401883831,0.613312401883831,0.793626373626374,0.635463108320251,0.775290423861852,0.842401883830455,0.676954474097331,0.729654631083202,0.729654631083202,0.729654631083202,0.680423861852433,0.70767660910518,0.729654631083202,0.6625431711146,0.755572998430141,0.718649921507064,0.688461538461538,0.780690737833595,0.729654631083202,0.729654631083202,0.727189952904239,0.755572998430141,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608,0.948963893249608
"Modiolus modiolus",0.739340659340659,0.660078492935636,0.573751962323391,0.573751962323391,0,0.485102040816327,0.588555729984301,0.522025117739403,0.678649921507064,0.699262166405024,0.652731554160126,0.591773940345369,0.641726844583987,0.652731554160126,0.615808477237049,0.678649921507064,0.759968602825746,0.805102040816327,0.739262166405024,0.793626373626374,0.77138147566719,0.814709576138148,0.814709576138148,0.823186813186813,0.851632653061224,0.795871271585557,0.851632653061224,0.851632653061224,0.790675039246468,0.723045525902669,0.806499215070644,0.624348508634223,0.715510204081633,0.793233908948195,0.767315541601256,0.795871271585557,0.813846153846154,0.795871271585557,0.652731554160126,0.652731554160126,0.765934065934066,0.660078492935636,0.814709576138148,0.814709576138148,0.716373626373626,0.641004709576138,0.641004709576138,0.641004709576138,0.591773940345369,0.747095761381476,0.701962323390895,0.701962323390895,0.666923076923077,0.63,0.727880690737834,0.692040816326531,0.701962323390895,0.701962323390895,0.699497645211931,0.727880690737834,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573,0.860313971742543,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573
"Mytilus edulis",0.739340659340659,0.660078492935636,0.573751962323391,0.573751962323391,0.485102040816327,0,0.588555729984301,0.522025117739403,0.678649921507064,0.699262166405024,0.652731554160126,0.591773940345369,0.641726844583987,0.652731554160126,0.615808477237049,0.678649921507064,0.759968602825746,0.805102040816327,0.739262166405024,0.793626373626374,0.77138147566719,0.814709576138148,0.814709576138148,0.823186813186813,0.851632653061224,0.795871271585557,0.851632653061224,0.851632653061224,0.790675039246468,0.723045525902669,0.806499215070644,0.624348508634223,0.715510204081633,0.793233908948195,0.767315541601256,0.795871271585557,0.813846153846154,0.795871271585557,0.652731554160126,0.652731554160126,0.765934065934066,0.660078492935636,0.814709576138148,0.814709576138148,0.716373626373626,0.641004709576138,0.641004709576138,0.641004709576138,0.591773940345369,0.747095761381476,0.701962323390895,0.701962323390895,0.666923076923077,0.63,0.727880690737834,0.692040816326531,0.701962323390895,0.701962323390895,0.699497645211931,0.727880690737834,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573,0.860313971742543,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573,0.9212715855573
"Ostrea edulis",0.842794348508634,0.670423861852433,0.616248037676609,0.549136577708006,0.588555729984301,0.588555729984301,0,0.625478806907378,0.604850863422292,0.741758241758242,0.628116169544741,0.695227629513344,0.567927786499215,0.628116169544741,0.591193092621664,0.604850863422292,0.802464678178964,0.847598116169545,0.781758241758242,0.836122448979592,0.76469387755102,0.790094191522763,0.790094191522763,0.749387755102041,0.894128728414443,0.838367346938775,0.894128728414443,0.82701726844584,0.894128728414443,0.698430141287284,0.781883830455259,0.599733124018838,0.72585557299843,0.687284144427002,0.777660910518053,0.771255886970173,0.757080062794348,0.838367346938775,0.628116169544741,0.628116169544741,0.808430141287284,0.670423861852433,0.790094191522763,0.857205651491366,0.691758241758242,0.744458398744113,0.744458398744113,0.744458398744113,0.695227629513344,0.722480376766091,0.744458398744113,0.67734693877551,0.721193092621664,0.684270015698587,0.654081632653061,0.714160125588697,0.744458398744113,0.744458398744113,0.692810047095761,0.721193092621664,0.963767660910518,0.963767660910518,0.963767660910518,0.963767660910518,0.963767660910518,0.963767660910518,0.963767660910518,0.963767660910518,0.963767660910518,0.963767660910518
"Placopecten magellanicus",0.69010989010989,0.697001569858713,0.610675039246468,0.610675039246468,0.522025117739403,0.522025117739403,0.625478806907378,0,0.629419152276295,0.650031397174254,0.603500784929356,0.5425431711146,0.678649921507064,0.603500784929356,0.652731554160126,0.629419152276295,0.710737833594976,0.755871271585557,0.7761852433281,0.744395604395604,0.808304552590267,0.851632653061224,0.851632653061224,0.86010989010989,0.802401883830455,0.832794348508634,0.802401883830455,0.802401883830455,0.741444270015699,0.759968602825746,0.757268445839874,0.6612715855573,0.75243328100471,0.830156985871272,0.804238618524333,0.832794348508634,0.850769230769231,0.832794348508634,0.603500784929356,0.603500784929356,0.716703296703297,0.697001569858713,0.851632653061224,0.851632653061224,0.753296703296703,0.591773940345369,0.591773940345369,0.591773940345369,0.5425431711146,0.697864992150706,0.652731554160126,0.652731554160126,0.617692307692308,0.666923076923077,0.678649921507064,0.642810047095761,0.652731554160126,0.652731554160126,0.736420722135008,0.678649921507064,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.811083202511774,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531
"Bugulina spicata",0.776985871271586,0.722919937205652,0.706342229199372,0.639230769230769,0.678649921507064,0.678649921507064,0.604850863422292,0.629419152276295,0,0.605070643642072,0.491428571428571,0.558540031397174,0.517394034536892,0.491428571428571,0.540659340659341,0.468163265306122,0.736656200941915,0.781789638932496,0.802103610675039,0.770313971742543,0.785039246467818,0.81043956043956,0.81043956043956,0.769733124018838,0.828320251177394,0.858712715855573,0.828320251177394,0.761208791208791,0.828320251177394,0.718775510204082,0.71607535321821,0.620078492935636,0.778351648351648,0.73978021978022,0.830156985871272,0.79160125588697,0.809576138147567,0.858712715855573,0.562307692307692,0.562307692307692,0.742621664050235,0.722919937205652,0.81043956043956,0.877551020408163,0.712103610675039,0.678649921507064,0.678649921507064,0.678649921507064,0.629419152276295,0.656671899529042,0.678649921507064,0.611538461538462,0.655384615384615,0.704615384615385,0.588273155416013,0.680502354788069,0.678649921507064,0.678649921507064,0.713155416012559,0.655384615384615,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469,0.897959183673469
"Crisia eburnea",0.751067503924647,0.682574568288854,0.665996860282575,0.726954474097331,0.699262166405024,0.699262166405024,0.741758241758242,0.650031397174254,0.605070643642072,0,0.579152276295133,0.579152276295133,0.654301412872841,0.579152276295133,0.628383045525903,0.605070643642072,0.696310832025118,0.741444270015699,0.7761852433281,0.744395604395604,0.74734693877551,0.851632653061224,0.851632653061224,0.86010989010989,0.802401883830455,0.818367346938776,0.802401883830455,0.802401883830455,0.802401883830455,0.806499215070644,0.757268445839874,0.707802197802198,0.738006279434851,0.876687598116169,0.789811616954474,0.879324960753532,0.850769230769231,0.818367346938776,0.650031397174254,0.650031397174254,0.763233908948195,0.743532182103611,0.851632653061224,0.851632653061224,0.799827315541601,0.699262166405024,0.699262166405024,0.699262166405024,0.650031397174254,0.744395604395604,0.638304552590267,0.699262166405024,0.725180533751962,0.774411302982732,0.725180533751962,0.750298273155416,0.638304552590267,0.638304552590267,0.721993720565149,0.725180533751962,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531,0.872040816326531
