"","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5"
"body_size_avg_bin",0.624622218276697,0.314961756003145,0.155513592462124,0.410230462244116,0.488513191711602
"morphology1",0.0931355958002346,0.415279327478628,0.0723593366414854,0.0550121515244196,0.00299110068387684
"dietary_pref_c",0.806672084557179,0.522005206587324,0.92402701294407,0.141929331872457,0.454877113935196
"trophic_level",0.735234493482407,0.0271842859146733,0.914305335176238,0.00896651792649704,0.181478838665917
"motility_juv",0.0463334464512648,0.0811478321358007,0.000274101704653135,0.388108014512109,0.100469127851416
"motility_adult",0.466241635845165,0.420829511150082,0.00636272721336463,0.525490814076606,0.0605419226480234
"benthic",0.130552276604868,0.147056605101039,0.0218123230948041,0.0658271301776447,0.000295616014333994
"epibiotic",0.687822205838737,0.0526618382273921,0.00161178041482351,9.1342652185717e-05,0.000955456741250718
"invasive",0.166099050167628,0.00784993990240973,0.0028286165512725,0.00261684091345242,0.163293731404977
"intertidal",0.133534953815738,0.448820973606114,0.0248800625105511,0.00431120005650869,0.0839259786932603
"subtidal",0.0927302165926147,0.498107611088567,0.0350934802642225,0.0526588453825369,0.00483282598326581
