year,species,position,Abund,n_transect,Avg_abund_per_transect,Total_abund,rel_abund_by_side
1982,Acrosiphonia,exposed,0,9,0,7438,0
1982,Acrosiphonia,sheltered,0,7,0,5345.25,0
1982,Ahnfeltia plicata,exposed,0,9,0,7438,0
1982,Ahnfeltia plicata,sheltered,0,7,0,5345.25,0
1982,Alaria esculenta (canopy),exposed,0,9,0,7438,0
1982,Alaria esculenta (canopy),sheltered,0,7,0,5345.25,0
1982,Alaria esculenta (primary),exposed,0,9,0,7438,0
1982,Alaria esculenta (primary),sheltered,0,7,0,5345.25,0
1982,Anomia simplex,exposed,0,9,0,7438,0
1982,Anomia simplex,sheltered,0,7,0,5345.25,0
1982,Antithamnion,exposed,0,9,0,7438,0
1982,Antithamnion,sheltered,0,7,0,5345.25,0
1982,Aplidium,exposed,0,9,0,7438,0
1982,Aplidium,sheltered,0,7,0,5345.25,0
1982,Arthopyrenia,exposed,0,9,0,7438,0
1982,Arthopyrenia,sheltered,0,7,0,5345.25,0
1982,Ascophyllum nodosum (canopy),exposed,68,9,7.555555556,7438,0.009142243
1982,Ascophyllum nodosum (canopy),sheltered,135,7,19.28571429,5345.25,0.025256068
1982,Ascophyllum nodosum (primary),exposed,0,9,0,7438,0
1982,Ascophyllum nodosum (primary),sheltered,25,7,3.571428571,5345.25,0.00467705
1982,Audouinella,exposed,0,9,0,7438,0
1982,Audouinella,sheltered,0,7,0,5345.25,0
1982,Bare rock,exposed,0,9,0,7438,0
1982,Bare rock,sheltered,0,7,0,5345.25,0
1982,Black zone,exposed,785,9,87.22222222,7438,0.105539123
1982,Black zone,sheltered,860.25,7,122.8928571,5345.25,0.160937281
1982,Bonnemaisonia hamifera (Trailiella phase),exposed,0,9,0,7438,0
1982,Bonnemaisonia hamifera (Trailiella phase),sheltered,0,7,0,5345.25,0
1982,Botrylloides violaceus,exposed,0,9,0,7438,0
1982,Botrylloides violaceus,sheltered,0,7,0,5345.25,0
1982,Botryllus schlosseri,exposed,0,9,0,7438,0
1982,Botryllus schlosseri,sheltered,0,7,0,5345.25,0
1982,Brown ground,exposed,0,9,0,7438,0
1982,Brown ground,sheltered,0,7,0,5345.25,0
1982,Callophyllis,exposed,0,9,0,7438,0
1982,Ceramium virgatum (canopy),exposed,113.8,9,12.64444444,7438,0.015299812
1982,Ceramium virgatum (canopy),sheltered,0,7,0,5345.25,0
1982,Ceramium virgatum (primary),exposed,0,9,0,7438,0
1982,Ceramium virgatum (primary),sheltered,0,7,0,5345.25,0
1982,Chaetomorpha,exposed,0,9,0,7438,0
1982,Chaetomorpha,sheltered,0,7,0,5345.25,0
1982,Chondrus crispus (canopy),exposed,1116.1,9,124.0111111,7438,0.150053778
1982,Chondrus crispus (canopy),sheltered,836,7,119.4285714,5345.25,0.156400543
1982,Chondrus crispus (primary),exposed,0,9,0,7438,0
1982,Chondrus crispus (primary),sheltered,0,7,0,5345.25,0
1982,Chorda filum,exposed,0,9,0,7438,0
1982,Chorda filum,sheltered,0,7,0,5345.25,0
1982,Chordaria flagelliformis,exposed,0,9,0,7438,0
1982,Chordaria flagelliformis,sheltered,0,7,0,5345.25,0
1982,Cladophora,exposed,0,9,0,7438,0
1982,Cladophora,sheltered,0,7,0,5345.25,0
1982,Clathromorphum circumscriptum,exposed,10,9,1.111111111,7438,0.001344447
1982,Clathromorphum circumscriptum,sheltered,0,7,0,5345.25,0
1982,Codium fragile (canopy),exposed,0,9,0,7438,0
1982,Codium fragile (canopy),sheltered,0,7,0,5345.25,0
1982,Codium fragile (primary),exposed,0,9,0,7438,0
1982,Codium fragile (primary),sheltered,0,7,0,5345.25,0
1982,Corallina officinalis,exposed,31.5,9,3.5,7438,0.004235009
1982,Corallina officinalis,sheltered,55,7,7.857142857,5345.25,0.010289509
1982,Coralline (crust),exposed,0.5,9,0.055555556,7438,6.72E-05
1982,Coralline (crust),sheltered,396,7,56.57142857,5345.25,0.074084468
1982,Cryptosula pallasiana,exposed,33.3,9,3.7,7438,0.00447701
1982,Cryptosula pallasiana,sheltered,291.25,7,41.60714286,5345.25,0.054487629
1982,Cyanobacteria,exposed,529,9,58.77777778,7438,0.071121269
1982,Cyanobacteria,sheltered,50,7,7.142857143,5345.25,0.009354099
1982,Cystoclonium purpureum,exposed,0,9,0,7438,0
1982,Cystoclonium purpureum,sheltered,0,7,0,5345.25,0
1982,Devaleraea ramentacea,exposed,0,9,0,7438,0
1982,Devaleraea ramentacea,sheltered,0,7,0,5345.25,0
1982,Diadumene lineata,exposed,0,9,0,7438,0
1982,Diadumene lineata,sheltered,0,7,0,5345.25,0
1982,Diatom,exposed,0,9,0,7438,0
1982,Diatom,sheltered,0,7,0,5345.25,0
1982,Diplosoma,exposed,0,9,0,7438,0
1982,Diplosoma,sheltered,0,7,0,5345.25,0
1982,Dumontia concortum,exposed,0,9,0,7438,0
1982,Dumontia concortum,sheltered,0,7,0,5345.25,0
1982,Dynamena pumila,exposed,0,9,0,7438,0
1982,Dynamena pumila,sheltered,0,7,0,5345.25,0
1982,Ectocarpus,exposed,0,9,0,7438,0
1982,Ectocarpus,sheltered,15,7,2.142857143,5345.25,0.00280623
1982,Elachista fucicola,exposed,0,9,0,7438,0
