"species","group","common_name_division_bgr","body_size_avg_bin","morphology1","dietary_pref_c","trophic_level","motility_juv","motility_adult","benthic","epibiotic","invasive","intertidal","subtidal","species_id","D1","D2","D3","D4","D5"
"Urticina felina","Invertebrate","Anemone",4,1,5,4,3,2,2,2,1,1,2,1,-0.664994281488957,0.279612152079426,-0.344494923052939,0.483488345500412,0.447913427786378
"Semibalanus balanoides","Invertebrate","Barnacle",2,2,1,3,3,1,1,2,1,2,1,2,1.28953854768544,-1.24361528730389,1.38780078220361,-1.74925091888345,0.2859717803253
"Anomia simplex","Invertebrate","Bivalve",2,2,1,3,3,1,2,2,1,2,1,3,1.0800814696214,-0.768452639322293,-0.188135027983114,-0.47415694685881,1.92382574712935
"Hiatella arctica","Invertebrate","Bivalve",3,2,1,3,3,1,2,2,1,2,1,4,1.0800814696214,-0.768452639322293,-0.188135027983113,-0.47415694685881,1.92382574712935
"Modiolus modiolus","Invertebrate","Bivalve",4,2,1,3,3,1,2,2,1,2,2,5,0.801604225028,0.0433276056844663,-0.721864585283742,-0.130315478308556,0.820273057811934
"Mytilus edulis","Invertebrate","Bivalve",4,2,1,3,3,1,2,2,1,2,2,6,0.801604225028,0.0433276056844663,-0.721864585283742,-0.130315478308556,0.820273057811934
"Ostrea edulis","Invertebrate","Bivalve",3,2,1,3,3,1,1,2,2,2,2,7,1.34170389210873,-0.223902643190785,1.77957236119058,0.952329476360079,-1.66975284597111
"Placopecten magellanicus","Invertebrate","Bivalve",4,2,1,3,3,1,2,2,1,1,2,8,0.623651846965587,0.659929466979843,-0.976601524318998,-0.652854147731121,-0.15697889868922
"Bugulina spicata","Invertebrate","Bryozoan",3,2,1,3,3,1,2,2,2,1,2,9,0.954294435982274,0.867861866086193,-0.0511003880313959,1.70488477896215,-1.00915083566822
"Crisia eburnea","Invertebrate","Bryozoan",2,2,1,2,3,1,2,2,1,1,2,10,0.724986358576918,0.615350893749688,-1.04619513504685,-0.610315653581348,-0.34389940514606
"Crisularia turrita","Invertebrate","Bryozoan",3,2,1,3,3,1,2,2,1,1,2,11,0.724986358576918,0.615350893749688,-1.04619513504685,-0.610315653581348,-0.34389940514606
"Dendrobeania murrayana","Invertebrate","Bryozoan",4,2,1,3,3,1,2,2,1,1,2,12,0.623651846965587,0.659929466979843,-0.976601524318998,-0.652854147731121,-0.15697889868922
"Membranipora membranacea","Invertebrate","Bryozoan",3,2,1,3,3,1,2,2,2,2,2,13,1.13224681404469,0.251260004790816,0.20363655100386,2.22742344838472,-0.0318988791670663
"Patinella verrucaria","Invertebrate","Bryozoan",3,2,1,3,3,1,2,2,1,1,2,14,0.724986358576918,0.615350893749688,-1.04619513504685,-0.610315653581348,-0.34389940514606
"Schizoporella unicornis","Invertebrate","Bryozoan",3,2,1,3,3,1,2,2,1,2,2,15,0.902938736639331,-0.00125096754568875,-0.79145819601159,-0.0877769841587831,0.633352551355094
"Tricellaria inopinata","Invertebrate","Bryozoan",3,2,1,3,3,1,2,2,2,1,2,16,0.954294435982274,0.867861866086193,-0.0511003880313959,1.70488477896215,-1.00915083566822
"Boreochiton ruber","Invertebrate","Chiton",2,2,3,3,3,3,2,2,1,1,2,17,0.121918655287413,-0.111585031045246,-1.10893086483286,-0.206343060227715,-1.34682850193199
"Stenosemus albus","Invertebrate","Chiton",2,2,3,3,3,4,2,1,1,1,2,18,-0.283032638872448,-0.320148252386772,-1.32556804388363,-0.254146498424917,-1.93372025993634
"Metridium senile","Invertebrate","Cnidarian",5,1,1,4,3,1,2,2,1,2,1,19,0.0917040866010608,-0.262479712141369,0.78627505363362,-0.102067755726771,4.15098275562202
"Pachycerianthus borealis","Invertebrate","Cnidarian",5,1,1,4,3,1,2,1,1,1,2,20,-0.668342318603281,0.912760599589085,-0.288422232480878,-0.286029900646511,1.29636584534227
"Amphipoda","Invertebrate","Crustacean",2,2,1,4,3,3,2,2,1,2,1,21,0.326535173903789,-1.47041050930272,-0.149675607927204,0.220699923183255,1.99109404601585
"Cancer borealis","Invertebrate","Crustacean",3,2,4,4,3,3,2,1,1,2,2,22,-0.694698415547019,-1.30566715451961,-1.04834929743224,1.1224682792526,-0.336223759513235
"Cancer irroratus","Invertebrate","Crustacean",3,2,4,4,3,3,2,1,1,2,2,23,-0.694698415547019,-1.30566715451961,-1.04834929743224,1.1224682792526,-0.336223759513235
"Carcinus maenus","Invertebrate","Crustacean",3,2,4,4,3,3,2,2,2,2,1,24,0.116703689000266,-1.61179463261819,0.766705796662455,3.09909218729328,0.875889763743201
"Homarus americanus","Invertebrate","Crustacean",5,2,5,4,3,3,2,1,1,1,2,25,-1.24087603978301,-0.527077478404541,-1.05019979102175,0.445354951788247,-0.634251546375584
"Isopoda","Invertebrate","Crustacean",2,2,3,3,3,3,2,1,1,2,1,26,0.072062472172032,-1.70395178545875,-0.467507936819895,-0.117987791702378,0.33400489233907
"Cucumaria frondosa","Invertebrate","Echinoderm",5,2,2,1,3,3,2,1,1,1,2,27,-0.651257885046025,-0.158160437567075,-1.07268159843788,-0.408721156466707,-1.25449609029753
"Echinarachnius parma","Invertebrate","Echinoderm",3,2,2,1,3,3,2,1,1,1,2,28,-0.283032638872448,-0.320148252386772,-1.32556804388363,-0.254146498424917,-1.93372025993634
"Ophiopholis aculeata","Invertebrate","Echinoderm",4,2,6,4,3,3,2,1,1,1,2,29,-1.01766983848317,-0.683670443996166,-1.24132283718157,0.613416066312878,-1.17131542249637
"Strongylocentrotus droebachiensis","Invertebrate","Echinoderm",3,2,3,3,3,3,2,2,1,2,2,30,0.299871033349827,-0.728186892340623,-0.854193925797606,0.31619560919485,-0.36957654543084
"Buccinum undatum","Invertebrate","Gastropod",3,2,5,4,3,3,2,2,1,1,2,31,-0.467699499449571,-0.480502071882712,-1.08644905741673,0.647733048027239,-0.726583958010046
