year,species,dataset
1982,Acoela,int_counts
1982,Amphipoda,int_counts
1982,Anomia simplex,int_counts
1982,Anurida maritima,int_counts
1982,Aplidium,int_counts
1982,Asterias forbesi,int_counts
1982,Asterias rubens,int_counts
1982,Cancer,int_counts
1982,Cancer borealis,int_counts
1982,Cancer irroratus,int_counts
1982,Carcinus maenus,int_counts
1982,Cirratulus,int_counts
1982,Coryphella,int_counts
1982,Crisia eburna,int_counts
1982,Culicoides,int_counts
1982,Dendrodoa,int_counts
1982,Euplana,int_counts
1982,Halichondria,int_counts
1982,Hiatella arctica,int_counts
1982,Isopods,int_counts
1982,Lepidonotus,int_counts
1982,Littorina littorea,int_counts
1982,Littorina obtusata,int_counts
1982,Littorina saxatilis,int_counts
1982,Metridium senile,int_counts
1982,Modiolus modiolus,int_counts
1982,Mya arenaria,int_counts
1982,Mytilus edulis,int_counts
1982,Nematodes,int_counts
1982,Nemertean,int_counts
1982,Nicolea,int_counts
1982,Notoplana,int_counts
1982,Nucella lapillus,int_counts
1982,Nudibranchia,int_counts
1982,Oligochaete,int_counts
1982,Ophiopholis,int_counts
1982,Pagurus acadianus,int_counts
1982,platyhelminthes,int_counts
1982,Polychaeta,int_counts
1982,Praunus,int_counts
1982,sabellid,int_counts
1982,Semibalanus balanoides,int_counts
1982,Spirorbis,int_counts
1982,Strongylocentrotus droebachiensis,int_counts
1982,Tectura testudinalis,int_counts
1982,Tonicella rubra,int_counts
1983,Amphipoda,int_counts
1983,Anomia simplex,int_counts
1983,Anurida maritima,int_counts
1983,Asterias rubens,int_counts
1983,Carcinus maenus,int_counts
1983,Crepidula fornicata,int_counts
1983,Foviella,int_counts
1983,Hiatella arctica,int_counts
1983,Hippothoa hyalina,int_counts
1983,Isopods,int_counts
1983,Lacuna vincta,int_counts
1983,Lepidonotus,int_counts
1983,Littorina littorea,int_counts
1983,Littorina obtusata,int_counts
1983,Littorina saxatilis,int_counts
1983,Metridium senile,int_counts
1983,Modiolus modiolus,int_counts
1983,Molgula,int_counts
1983,Mytilus edulis,int_counts
1983,Nematodes,int_counts
1983,Nemertean,int_counts
1983,Nucella lapillus,int_counts
1983,Oligochaete,int_counts
1983,Onchidoris,int_counts
1983,Ophiopholis,int_counts
1983,Pagurus acadianus,int_counts
1983,platyhelminthes,int_counts
1983,Polychaeta,int_counts
1983,Semibalanus balanoides,int_counts
1983,Skeneopsis planorbis,int_counts
1983,Spirorbis,int_counts
1983,Strongylocentrotus droebachiensis,int_counts
1983,Tectura testudinalis,int_counts
1983,Thelepus cincinnatus,int_counts
1983,Turbellarid,int_counts
1984,Amphipoda,int_counts
1984,Anomia simplex,int_counts
1984,Anurida maritima,int_counts
1984,Asterias rubens,int_counts
1984,Carcinus maenus,int_counts
1984,Colus stimpsoni,int_counts
1984,Foviella,int_counts
1984,Gammarid,int_counts
1984,Hiatella arctica,int_counts
1984,Idotea baltica,int_counts
1984,Isopods,int_counts
1984,Littorina littorea,int_counts
1984,Littorina obtusata,int_counts
1984,Littorina saxatilis,int_counts
1984,Metridium senile,int_counts
1984,Modiolus modiolus,int_counts
1984,Mytilus edulis,int_counts
1984,Nematodes,int_counts
1984,Nemertean,int_counts
1984,Nucella lapillus,int_counts
1984,Polychaeta,int_counts
1984,Semibalanus balanoides,int_counts
1984,Spirorbis,int_counts
1984,Strongylocentrotus droebachiensis,int_counts
1984,Tectura testudinalis,int_counts
1985,Amphipoda,int_counts
1985,Annelid,int_counts
1985,Anurida maritima,int_counts
1985,Asterias rubens,int_counts
1985,Cancer irroratus,int_counts
1985,Carcinus maenus,int_counts
1985,Gammarid,int_counts
1985,Halacarus,int_counts
1985,Hiatella arctica,int_counts
1985,Isopods,int_counts
1985,Lacuna vincta,int_counts
1985,Littorina littorea,int_counts
1985,Littorina obtusata,int_counts
1985,Littorina saxatilis,int_counts
1985,Metridium senile,int_counts
1985,Modiolus modiolus,int_counts
1985,Mytilus edulis,int_counts
1985,Nematodes,int_counts
1985,Nemertean,int_counts
1985,Nucella lapillus,int_counts
1985,Nudibranchia,int_counts
1985,Polychaeta,int_counts
1985,Semibalanus balanoides,int_counts
1985,Spirorbis,int_counts
1985,Strongylocentrotus droebachiensis,int_counts
1985,Tectura testudinalis,int_counts
1985,Tonicella rubra,int_counts
1986,Amphipoda,int_counts
1986,Anurida maritima,int_counts
1986,Cancer borealis,int_counts
1986,Carcinus maenus,int_counts
1986,Halacarus,int_counts
1986,Hiatella arctica,int_counts
1986,Isopods,int_counts
1986,Littorina littorea,int_counts
1986,Littorina obtusata,int_counts
1986,Littorina saxatilis,int_counts
1986,Metridium senile,int_counts
1986,Modiolus modiolus,int_counts
1986,Mussel,int_counts
1986,Mytilus edulis,int_counts
1986,Nematodes,int_counts
1986,Nemertean,int_counts
1986,Nucella lapillus,int_counts
1986,Oligochaete,int_counts
1986,Pagurus acadianus,int_counts
1986,Semibalanus balanoides,int_counts
1986,Spirorbis,int_counts
1986,Strongylocentrotus droebachiensis,int_counts
1986,Tectura testudinalis,int_counts
1987,Amphipoda,int_counts
1987,Anomia simplex,int_counts
1987,Anurida maritima,int_counts
1987,Asterias forbesi,int_counts
1987,Cancer borealis,int_counts
1987,Cancer irroratus,int_counts
1987,Carcinus maenus,int_counts
1987,Halacarus,int_counts
1987,Hiatella arctica,int_counts
1987,Isopods,int_counts
1987,Lacuna vincta,int_counts
1987,Littorina littorea,int_counts
1987,Littorina obtusata,int_counts
1987,Littorina saxatilis,int_counts
1987,Metridium senile,int_counts
1987,Modiolus modiolus,int_counts
1987,Mytilus edulis,int_counts
1987,Nematodes,int_counts
1987,Nemertean,int_counts
1987,Nucella lapillus,int_counts
1987,Ophiopholis,int_counts
1987,platyhelminthes,int_counts
1987,Polychaeta,int_counts
1987,Semibalanus balanoides,int_counts
1987,Spirorbis,int_counts
1987,Strongylocentrotus droebachiensis,int_counts
1987,Tectura testudinalis,int_counts
1988,Amphipoda,int_counts
1988,Anurida maritima,int_counts
1988,Asterias rubens,int_counts
1988,Carcinus maenus,int_counts
1988,Halacarus,int_counts
1988,Hiatella arctica,int_counts
1988,Isopods,int_counts
1988,Littorina littorea,int_counts
1988,Littorina obtusata,int_counts
1988,Littorina saxatilis,int_counts
1988,Metridium senile,int_counts
1988,Micrura affinis,int_counts
1988,Modiolus modiolus,int_counts
1988,Mytilus edulis,int_counts
1988,Nematodes,int_counts
1988,Nemertean,int_counts
