,species,group,common_name_division_bgr,body_size_avg_bin,morphology1,dietary_pref_c,trophic_level,motility_juv,motility_adult,benthic,epibiotic,invasive,intertidal,subtidal,id_species
42,Urticina felina,Invertebrate,Anemone,medium,soft,predator,secondary consumer,motile,sessile,yes,yes,no,no,yes,1
43,Semibalanus balanoides,Invertebrate,Barnacle,small,calcareous,filter-suspension,primary consumer,motile,sessile,no,yes,no,yes,no,2
44,Anomia simplex,Invertebrate,Bivalve,small,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,yes,no,3
45,Hiatella arctica,Invertebrate,Bivalve,small-medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,yes,no,4
46,Modiolus modiolus,Invertebrate,Bivalve,medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,yes,yes,5
47,Mytilus edulis,Invertebrate,Bivalve,medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,yes,yes,6
48,Ostrea edulis,Invertebrate,Bivalve,small-medium,calcareous,filter-suspension,primary consumer,motile,sessile,no,yes,yes,yes,yes,7
49,Placopecten magellanicus,Invertebrate,Bivalve,medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,no,yes,8
50,Bugulina spicata,Invertebrate,Bryozoan,small-medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,yes,no,yes,9
51,Crisia eburnea,Invertebrate,Bryozoan,small,calcareous,filter-suspension,primary producer,motile,sessile,yes,yes,no,no,yes,10
52,Crisularia turrita,Invertebrate,Bryozoan,small-medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,no,yes,11
53,Dendrobeania murrayana,Invertebrate,Bryozoan,medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,no,yes,12
54,Membranipora membranacea,Invertebrate,Bryozoan,small-medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,yes,yes,yes,13
55,Patinella verrucaria,Invertebrate,Bryozoan,small-medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,no,yes,14
56,Schizoporella unicornis,Invertebrate,Bryozoan,small-medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,no,yes,yes,15
57,Tricellaria inopinata,Invertebrate,Bryozoan,small-medium,calcareous,filter-suspension,primary consumer,motile,sessile,yes,yes,yes,no,yes,16
58,Boreochiton ruber,Invertebrate,Chiton,small,calcareous,herbivore,primary consumer,motile,motile,yes,yes,no,no,yes,17
59,Stenosemus albus,Invertebrate,Chiton,small,calcareous,herbivore,primary consumer,motile,motile,yes,no,no,no,yes,18
60,Metridium senile,Invertebrate,Cnidarian,medium-large,soft,filter-suspension,secondary consumer,motile,sessile,yes,yes,no,yes,no,19
61,Pachycerianthus borealis,Invertebrate,Cnidarian,medium-large,soft,filter-suspension,secondary consumer,motile,sessile,yes,no,no,no,yes,20
63,Amphipoda,Invertebrate,Crustacean,small,calcareous,filter-suspension,secondary consumer,motile,motile,yes,yes,no,yes,no,21
64,Cancer borealis,Invertebrate,Crustacean,small-medium,calcareous,omnivore,secondary consumer,motile,motile,yes,no,no,yes,yes,22
65,Cancer irroratus,Invertebrate,Crustacean,small-medium,calcareous,omnivore,secondary consumer,motile,motile,yes,no,no,yes,yes,23
66,Carcinus maenus,Invertebrate,Crustacean,small-medium,calcareous,omnivore,secondary consumer,motile,motile,yes,yes,yes,yes,no,24
67,Homarus americanus,Invertebrate,Crustacean,medium-large,calcareous,predator,secondary consumer,motile,motile,yes,no,no,no,yes,25
68,Isopoda,Invertebrate,Crustacean,small,calcareous,herbivore,primary consumer,motile,motile,yes,no,no,yes,no,26
69,Cucumaria frondosa,Invertebrate,Echinoderm,medium-large,calcareous,deposit feeder,decomposer,motile,motile,yes,no,no,no,yes,27
70,Echinarachnius parma,Invertebrate,Echinoderm,small-medium,calcareous,deposit feeder,decomposer,motile,motile,yes,no,no,no,yes,28
71,Ophiopholis aculeata,Invertebrate,Echinoderm,medium,calcareous,scavenger,secondary consumer,motile,motile,yes,no,no,no,yes,29
