region_name,site_code,location_name,sample_collection_date,personnel,swell_m,tide,wind,rain,salinity_psu,temperature_C,collection_method,bottom_depth_m,seagrass_presence,seagrass_notes,decimal_latitide,decimal_longitude,describe_transect,notes,QC_date,QC_name,region_code,
NC_CA_PECO,A,Westside Park,2021-06-27 00:00:00,Claire Murphy,0.5-1,"low
",light,none,35.0,14.613,by_foot,1-1.5,present,very dense,38.31891,-123.0537,Sampled along a channel. Each sample was ~10m apart. We moved parallel to the shore and stayed at a similar depth.,Temperature from upper transect for the eelgrass wasting disease project. GPS coordinates are the average lat. and long. for the wasting disease transects. ,,,NC_CAa_PECO,
NC_CA_PECO,B,Masons Marina,2021-07-25 00:00:00,Claire Murphy,0-0.5,"low
",none,none,35.0,14.325,by_foot,1-1.5,present,,38.3339,-123.0595,Sampled within the grass bed (water was too high to sample deep edge). Each sample was ~10m apart and ran parallel to shore.,Temperature is from the lower trasect for the eelgrass wasting disease project. Temperature is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,,,NC_CAa_PECO,
NC_CA_PECO,D,Campbell Cove,2021-07-27 00:00:00,Claire Murphy,0-0.5,"low
",none,none,35.0,12.98,by_foot,1-1.5,present,lots of epiphytes,38.30995,-123.059,Sampled 10m apart at a consistent depth. Sampled along a small channel at the edge of the bed.,Temperature is from the upper transects from the eelgrass wasting disease project. Temperature is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,,,NC_CAa_PECO,
NC_CA_PECO,E,Millerton,2021-06-24 00:00:00,Claire Murphy,0-0.5,"low
",light,none,35.0,"U: 17.57, L: 19.0",by_foot,1-1.5,present,,38.10503,-122.8484,"Sampled along a channel, moving ~10m apart between samples. Moved away from shore but stayed at a consistent depth.",Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. Data is from 24 hours before sampling. GPS coordinates are the average lat. and long. for the wasting disease transects.,,,NC_CAa_PECO,
NC_CA_PECO,F,Blakes Landing,2021-06-25 00:00:00,Claire Murphy,0-0.5,"low
",light,none,35.0,"U: 14.804, L: 17.855",by_foot,1.0,present,,38.17851,-122.9088,Sampled parallel to shore near the edge of the intertidal portion of the bed. Sampled ~10m apart and at a consistent depth.,Temperatures are from the upper (U) and lower (L) transects from the eelgrass wasting disease project. GPS coordinates are the average lat. and long. for the wasting disease transects. ,,,NC_CAa_PECO,
HG_BC_PECO,DSD_HG,Delkatla Slough,2021-08-20 00:00:00,Lianna Gendall,0-0.5,flood,light,none,NA,NA,by_foot,NA,present,"Seagrass was not very dense, quite patchy, narrow band maybe 10 m wide (see photos). Became patchier further away from dock. Covered in possibly brown epiphytes or diatoms. Canopy was only about 10 cm off the bottom but the seagrass ranged in length from a few cm to about 60 cm long.",54.009167,-132.14,Transect started directly northeast of public dock and went to approximately 40 meters northeast of the dock moving along the bottom at about 1.0 m above chart datum. (Water was ~1. 1 m above the bottom. The tide was 2.1 m above chart datum. So the bottom was at ~1 m above chart datum),,2021-11-24 00:00:00,KS,HG_BC_PECO,
HG_BC_PECO,MDD_HG,Masset Downtown Dock,2021-08-11 00:00:00,Lianna Gendall,0-0.5,"low
",light,none,NA,NA,by_foot,NA,present,"Seagrass bed was large, at a tide of 0.34 some areas of seagrass was exposed. The bed went out in either direction along the shore from the Masset downtown dock out of site and varied from 20 m width to 40 m width perpendicular to the shore. Fairly continuous dense cover (see photos & video) The seagrass ranged in length but was about 0.8-1.2 meter long but then with the current the canopy was only about .30 m off the bottom.",52.008889,-132.15,(Water was ~1. 1 m above the bottom. The tide was 2.1 m above chart datum. So the Approximately 50 meters southeast of the dock the samples started and moved northwest towards the dock at 10 m intervals at a bottom depth of approximately ~1.06 below chart datum.  (Water was ~1.4 m above the bottom. The tide was 0.34 m above chart datum. So the bottom was at ~1.06 below chart datum) bottom was at ~1 m above chart datum),,2021-11-24 00:00:00,KS,HG_BC_PECO,
HG_BC_PECO,LIE_HG,Louscoone Inlet (East side),2021-06-25 00:00:00,"Lynn Lee, Charonne Guthrie",0-0.5,flood,medium,none,31.6,15.9,by_boat,2.44,present,continuous eelgrass under sample,52.22138,-131.26855,"north to south, samples were in order of 3, 2, 1, 4.",,2021-11-24 00:00:00,KS,HG_BC_PECO,
SE_AK_PECO,NZ_SE,"Natzuhini Bay, Prince of Wales Island",2021-07-09 00:00:00,"Ginny Eckert, Lia Domke, Carter Johnson, Jessica Whitney",0-0.5,ebb,none,light,26.7,13.9,by_boat,2.0,present,,55.248144,-132.879154,"paralel to shore, 10m apart",26.7psu+13.7C at 2m; salinity + temp column are for 1m,2021-11-03 00:00:00,KS,SE_AK_PECO,
SE_AK_PECO,RF_SE,"Port Refugio, Prince of Wales Island",2021-07-10 00:00:00,"Ginny Eckert, Lia Domke, Carter Johnson, Jessica Whitney",0-0.5,ebb,none,light,28.0,13.9,by_boat,2.0,present,,55.284338,-133.332594,"paralel to shore, 10m apart",28psu+13.9C at 2m; salinity + temp column are for 1m,2021-11-04 00:00:00,KS,SE_AK_PECO,
