number,Species
1,Codium fragile 
2,Filamentous Green 
3,Blady Ulvoid
4,Tubular Ulvoid
5,Agarum clathratum
6,Agarum clathratum
7,Alaria esculenta
8,Alaria esculenta
9,Arthrocladia villosa 
10,Ascophyllum nodosum
11,UNID Juv Laminariales
12,Chorda filum
13,Colpomenia peregrina
14,Leathesia marina 
15,Desmarestia aculeata
16,Desmarestia viridis 
17,Diatom Tube Mat
18,Halosiphon tomentosus
19,Laminaria digitata
20,Laminaria digitata 
21,Saccorhiza dermatodea
22,Saccorhiza dermatodea
23,Saccharina latissima
24,Saccharina latissima
25,Ahnfeltia plicata
26,Bonnemaisonia hamifera 
27,Chondrus crispus
28,Corallina officinalis 
29,Coccotylus truncatus 
30,Ceramium spp. 
31,Cystoclonium purpureum
32,Dumontia contorta 
33,Euthora cristata
34,Heterosiphonia japonica
35,Mastocarpus stellatus 
36,Palmaria palmata
37,Phycodrys rubens
38,Polysiphonia sp.
39,Polyides rotunda
40,Porphyra spp.
41,Ptilota serrata 
42,Red Algal Turf 
43,Spermothamnion repens 
44,Unidentified Filamentous Red
45,Unidentified Red Blade
46,Ectocarpus
47,Grinnellia americana
48,Champia parvula
49,Clathromorphum circumscriptum
50,Encrusting coralline  
51,Lithophyllum sp. 
52,Leptophytum spp. 
53,Lithothamnion spp.
54,Phymatolithon spp.
55,Titanoderma spp. 
56,Unidentified Erect Coralline
57,Bugula turrita
58,Bugula neritina
59,Crisia eburnea
60,Dendrobeania murrayana 
61,Electra pilosa
62,Lichenopora verrucaria
63,Membranipora membranacea
64,Schizoporella unicornis
65,Schizomavella auriculata
66,Tricellaria inopinata
67,Unidentified Arborescent Bryozoans
68,Caberea ellisii
69,Abietinaria abietina 
70,Ectopleura sp.
71,Haliclystus spp.
72,Obelia spp. 
73,Sertularia sp. 
74,Unidentified Hydroid spp.
75,Alcyonium digitatum
76,Astrangia danae
77,Cerianthus borealis
78,Diadumene lineata 
79,Fagesia lineata
80,Gersemia rubiformis
81,Metridium senile
82,Unidentified anemone
83,Urticina felina
84,Astrangia poculata
85,Cancer borealis 
86,Cancer borealis 
87,Cancer irroratus 
88,Cancer irroratus 
89,Cancer irroratus 
90,Carcinus maenas 
91,Carcinus maenas 
92,Homarus americanus
93,Homarus americanus
94,Libinia emarginata
95,Barnacle sp.
96,Amphipod tube mat
97,Callinectes sapidus 
98,Callinectes sapidus 
99,Hyas coarctatus
100,Ovalipes ocellatus
101,Panopeus herbstii
102,Hemigrapsus sanguineus
103,Asterias forbesi
104,Asterias forbesi
105,Asterias rubens
106,Asterias rubens
107,Crossaster papposus
108,Crossaster papposus
109,Henricia sanguinolenta
110,Henricia sanguinolenta
111,Solaster endeca
112,Solaster endeca
113,Strongylocentrotus droebachiensis 
114,Strongylocentrotus droebachiensis 
115,Arbacia punctulata
116,Arbacia punctulata
117,Ostrea edulis
118,Placopecten magellanicus
119,Lunatia heros
120,Buccinum undatum
121,Busycotypus canaliculatus
122,Busycon carica
123,Ischnochiton albus
124,Ischnochiton ruber
125,Neptunea decemcostata
126,Calliostoma occidentale
127,Polinices duplicatus
128,Halisarca dujardini 
129,Haliclona oculata
130,Halichondria panicea 
131,Hymedesmia sp. 
132,Isodictya palmata 
133,Leucosolenia sp.
134,Microciona prolifera 
135,Scypha sp.
136,Boltenia echinata
137,Botryllus schlosseri
138,Botrylloides violaceus
139,Boltenia ovifera 
140,Ciona intestinalis
141,Ciona savignyi
142,Dendrodoa carnea
143,Didemnum albidum
144,Diplosoma listerianum
145,Didemnum vexillum
146,Halocynthia pyriformis
147,Molgula manhattensis
148,Molgula citrina
149,Styela clava
150,Unidentified Compound tunicate                    
151,Tautoga onitis
152,Centropristis striata
153,Morone saxatilis
154,Pollachius virens
155,Urophycis regia
156,Pseudopleuronectes americanus
157,Scophthalmus aquosus
158,Paralichthys oblongus
159,Limanda ferruginea
160,Leucoraja erinacea
161,Leucoraja ocellata
162,Anarhichas lupus
163,Gadus morhua
164,Prionotus carolinus
165,Sebastes fasciatus
166,Syngnathus fuscus
167,Melanogrammus aeglefinus
168,Merluccius bilinearis
169,Zoarces americanus
170,Stenotomus chrysops
171,Anguilla rostrata
172,Pomatomus saltatrix
173,Sphoeroides maculatus
174,Squalus acanthias
175,Carcharias taurus
176,Cyclopterus lumpus
177,Hemitripterus americanus
178,Pholis gunnellus
179,Myoxocephalus sp.
180,Myoxocephalus aenaeus
181,Myoxocephalus octodecemspinosus
182,Myoxocephalus scorpius
183,Stichaeus punctatus
184,Eumicrotremus spinosus
185,Lumpenus lumpretaeformis 
186,Ulvaria spp.
187,Sabella sp. 
188,Hydroides dianthus
