species,
Corallina officinalis,
Codium fragile,
Palmaria palmata,
Colpomenia peregrina,
Coccotylus truncatus,
Desmarestia aculeata,
Desmarestia viridis,
Chondrus crispus,
Cystoclonium purpureum,
Euthora cristata,
Mastocarpus stellatus,
Ptilota serrata,
Polyides rotunda,
Dumontia contorta,
Leptophytum acervatum,
Lithothamnion,
Phymatolithon lenormandii,
Titanoderma,
Clathromorphum circumscriptum,
Hildenbrandia rubra,
Lithophyllum,
Ceramium,
Halosiphon tomentosus,
Elachista fucicola,
Bonnemaisonia hamifera,
Dasysiphonia japonica,
Polysiphonia,
Spermothamnion repens,
Phycodrys rubens,
Prasiola stipitata,
Ulva lactuca,
Porphyra,
Agarum clathratum,
Alaria esculenta,
Ascophyllum nodosum,
Laminaria digitata,
Saccharina latissima,
Saccorhiza dermatodea,
Cyanobacteria,
Arthopyrenia,
Verrucaria,
Semibalanus balanoides,
Anomia simplex,
Hiatella arctica,
Modiolus modiolus,
Mytilus edulis,
Ostrea edulis,
Placopecten magellanicus,
Bugulina spicata,
Crisia eburnea,
Crisularia turrita,
Dendrobeania murrayana,
Membranipora membranacea,
Patinella verrucaria,
Schizoporella unicornis,
Tricellaria inopinata,
Boreochiton ruber,
Stenosemus albus,
Amphipoda,
Cancer borealis,
Cancer irroratus,
Carcinus maenas,
Carcinus maenus (duplicated),
Homarus americanus,
Isopoda,
Cucumaria frondosa,
Echinarachnius parma,
Ophiopholis aculeata,
Buccinum undatum,
Crepidula fornicata,
Lacuna vincta,
Littorina littorea,
Littorina obtusata,
Littorina saxatilis,
Nucella lapillus,
Tectura testudinalis,
Testudinalia testudinalis,
Thylacodes,
Asterias forbesi,
Asterias rubens,
Henricia sanguinolenta,
Strongylocentrotus droebachiensis,
Spirorbis,
Urticina felina,
Metridium senile,
Pachycerianthus borealis,
Anurida maritima,
Obelia,
Halichondria panicea,
Halisarca dujardinii,
Hymedesmia,
Aplidium pallidum,
Boltenia echinata,
Boltenia ovifera,
Botryllus schlosseri,
Ciona intestinalis,
Ciona savignyi,
Dendrodoa carnea,
Didemnum albidum,
Didemnum vexillum,
Diplosoma listerianum,
Leucosolenia,
Botrylloides violaceus,
Cyclopterus lumpus,
Morone saxatilis,
Myoxocephalus octodecemspinosus,
Myoxocephalus scorpius,
Pholis gunnellus,
Pollachius virens,
Pseudopleuronectes americanus,
Tautoga onitis,
Tautogolabrus adspersus,
Urophycis regia,
