"","x"
"1","Filamentous Green"
"2","Blady Ulvoid"
"3","Tubular Ulvoid"
"4","Arthrocladia villosa"
"5","UNID Juv Laminariales"
"6","Chorda filum"
"7","Leathesia marina"
"8","Diatom Tube Mat"
"9","Ahnfeltia plicata"
"10","Ceramium spp."
"11","Heterosiphonia japonica"
"12","Polysiphonia sp."
"13","Porphyra spp."
"14","Red Algal Turf"
"15","Unidentified Filamentous Red"
"16","Unidentified Red Blade"
"17","Ectocarpus"
"18","Grinnellia americana"
"19","Champia parvula"
"20","Encrusting coralline"
"21","Lithophyllum sp."
"22","Leptophytum spp."
"23","Lithothamnion spp."
"24","Phymatolithon spp."
"25","Titanoderma spp."
"26","Unidentified Erect Coralline"
"27","Bugula turrita"
"28","Bugula neritina"
"29","Electra pilosa"
"30","Lichenopora verrucaria"
"31","Schizomavella auriculata"
"32","Unidentified Arborescent Bryozoans"
"33","Caberea ellisii"
"34","Abietinaria abietina"
"35","Ectopleura sp."
"36","Haliclystus spp."
"37","Obelia spp."
"38","Sertularia sp."
"39","Unidentified Hydroid spp."
"40","Alcyonium digitatum"
"41","Astrangia danae"
"42","Cerianthus borealis"
"43","Diadumene lineata"
"44","Fagesia lineata"
"45","Gersemia rubiformis"
"46","Unidentified anemone"
"47","Astrangia poculata"
"48","Libinia emarginata"
"49","Barnacle sp."
"50","Amphipod tube mat"
"51","Callinectes sapidus"
"52","Hyas coarctatus"
"53","Ovalipes ocellatus"
"54","Panopeus herbstii"
"55","Hemigrapsus sanguineus"
"56","Crossaster papposus"
"57","Solaster endeca"
"58","Arbacia punctulata"
"59","Lunatia heros"
"60","Busycotypus canaliculatus"
"61","Busycon carica"
"62","Ischnochiton albus"
"63","Ischnochiton ruber"
"64","Neptunea decemcostata"
"65","Calliostoma occidentale"
"66","Polinices duplicatus"
"67","Halisarca dujardini"
"68","Haliclona oculata"
"69","Hymedesmia sp."
"70","Isodictya palmata"
"71","Leucosolenia sp."
"72","Microciona prolifera"
"73","Scypha sp."
"74","Halocynthia pyriformis"
"75","Molgula manhattensis"
"76","Molgula citrina"
"77","Styela clava"
"78","Unidentified Compound tunicate"
"79","Centropristis striata"
"80","Scophthalmus aquosus"
"81","Paralichthys oblongus"
"82","Limanda ferruginea"
"83","Leucoraja erinacea"
"84","Leucoraja ocellata"
"85","Anarhichas lupus"
"86","Gadus morhua"
"87","Prionotus carolinus"
"88","Sebastes fasciatus"
"89","Syngnathus fuscus"
"90","Melanogrammus aeglefinus"
"91","Merluccius bilinearis"
"92","Zoarces americanus"
"93","Stenotomus chrysops"
"94","Anguilla rostrata"
"95","Pomatomus saltatrix"
"96","Sphoeroides maculatus"
"97","Squalus acanthias"
"98","Carcharias taurus"
"99","Hemitripterus americanus"
"100","Myoxocephalus sp."
"101","Myoxocephalus aenaeus"
"102","Stichaeus punctatus"
"103","Eumicrotremus spinosus"
"104","Lumpenus lumpretaeformis"
"105","Ulvaria spp."
"106","Sabella sp."
"107","Hydroides dianthus"
