"","Genus","species","N","Tmax","max_metric","error","error.measure","Multiple.measures","max_interval_after_LT0","Tmax_2","max_metric_2","error.1","error.measure.1","max_interval_before_LT100","max_pretreatment","max_ramp","lat_max","long_max","elevation_max","REF_max","location_max","N.1","tmin","min_metric","error.2","error_type","Multiple.measures_min","min_interval_after_LT0","N.2","tmin_2","min_metric_2","error.3","error_type.1","min_interval_before_LT100","min_pretreatment","ramp_min","lat_min","long_min","elevation_min","REF_min","location_min","Phylum","Class","Order","Family","Quality.of.UTNZ","genus"
"1","Tautogolabrus","adspersus",NA,30,"LT50",NA,"","N",NA,NA,"",NA,NA,NA,"20",NA,42,-70,0,"Haugaard_&_Irving_1943_in_Brett_1970",1,NA,"0.6","LT50","","","N",NA,NA,NA,"",NA,NA,NA,"2",NA,42,-70,0,"Haugaard_&_Irving_1943_in_Brett_1970",1,"Chordata","Actinopteri","Perciformes","Labridae","","Tautogolabrus"
"2","Pseudopleuronectes","americanus",NA,29.1,"LT50",NA,"","N",NA,NA,"",NA,NA,NA,"",NA,40,-74,0,"Hoff&Westman1966_in_Brett_1970",1,NA,"1","LT50","","","N",NA,NA,NA,"",NA,NA,NA,"",NA,40,-74,0,"Hoff&Westman1966_in_Brett_1970",1,"Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","","Homarus"
"3","Pseudopleuronectes","americanus",NA,29.1,"LT50",NA,"","N",NA,NA,"",NA,NA,NA,"",NA,40,-74,0,"Hoff&Westman1966_in_Brett_1970",1,NA,"1","LT50","","","N",NA,NA,NA,"",NA,NA,NA,"",NA,40,-74,0,"Hoff&Westman1966_in_Brett_1970",1,"Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","","Pseudopleuronectes"
"4","Abudefduf","saxatilis",8,40,"LT100",NA,"","N",NA,NA,"",NA,NA,NA,"",NA,9.5,-78,0,"Scholander_et_al_1953",2,8,"10","LT100","","","N",NA,NA,NA,"",NA,NA,NA,"",NA,9.5,-78,0,"Scholander_et_al_1953",2,"Chordata","Actinopteri","Perciformes","Pomacentridae","","Littorina"
"5","Abudefduf","saxatilis",8,40,"LT100",NA,"","N",NA,NA,"",NA,NA,NA,"",NA,9.5,-78,0,"Scholander_et_al_1953",2,8,"10","LT100","","","N",NA,NA,NA,"",NA,NA,NA,"",NA,9.5,-78,0,"Scholander_et_al_1953",2,"Chordata","Actinopteri","Perciformes","Pomacentridae","","Morone"
"6","Pseudotriton","ruber",2,35.3,"ctmax",NA,"","N",NA,NA,"",NA,NA,NA,"21.5",NA,37.4,-80.5,1158,"Zweifel_1957",1,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Chordata","Amphibia","Caudata","Plethodontidae","","Boreochiton"
"7","Collocalia","esculenta",NA,34,"UTNZ",NA,"","N",NA,NA,"",NA,NA,NA,"",NA,-5.13,145.48,NA,"McNab_&_Bonaccorso_1995",1,NA,"31.5","LTNZ","","","N",NA,NA,NA,"",NA,NA,NA,"",NA,-5.13,145.48,NA,"McNab_&_Bonaccorso_1995",1,"Chordata","Aves","Apodiformes","Apodidae","1","Alaria"
"8","Goura","cristata",NA,NA,"",NA,"","",NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,6,"19","LTNZ","","","N",NA,NA,NA,"",NA,NA,NA,"",NA,-5.14,145.48,NA,"McNab_2000a",3,"Chordata","Aves","Columbiformes","Columbidae","","Euthora"
"9","Mytilus","edulis",20,30.5,"LT50",NA,"","N",NA,NA,"",NA,NA,NA,"",NA,55.75,-4.9,2.9,"Davenport_&_Davenport_2005",1,20,"-8.2","LT50","","","N",NA,NA,NA,"",NA,NA,NA,"",NA,53,-4.9,2.9,"Davenport_&_Davenport_2005",1,"Mollusca","Bivalvia","Mytiloida","Mytilidae","","Mytilus"
"10","Mytilus","edulis",20,30.5,"LT50",NA,"","N",NA,NA,"",NA,NA,NA,"",NA,55.75,-4.9,2.9,"Davenport_&_Davenport_2005",1,20,"-8.2","LT50","","","N",NA,NA,NA,"",NA,NA,NA,"",NA,53,-4.9,2.9,"Davenport_&_Davenport_2005",1,"Mollusca","Bivalvia","Mytiloida","Mytilidae","","Ostrea"
"11","Palmaria","palmata",NA,27,"LT0",NA,"","N",3,30,"LT100",NA,NA,3,"",NA,48.7262,-3.985322,0,"Biebl_1958",1,NA,"-2","LT0","","","N",6,NA,-8,"LT100",NA,NA,6,"",NA,48.7262,-3.985322,0,"Biebl_1958",1,"Rhodophyta","Florideophyceae","Palmariales","Palmariaceae","","Palmaria"
"12","Polyneura","latissima",NA,23,"LT0",NA,"","N",2,25,"LT100",NA,NA,2,"",NA,48.536683,-123.015409,0,"Lüning_&_Freshwater_1988",1,NA,"1.5","LT0","","","",1.5,NA,0,"LT100",NA,NA,NA,"",NA,48.536683,-123.015409,0,"Lüning_&_Freshwater_1988",1,"Rhodophyta","Florideophyceae","Ceramiales","Delesseriaceae","","Saccharina"
"13","Neodilsea","borealis",NA,25,"LT0",NA,"","N",3,28,"LT100",NA,NA,3,"",NA,48.536683,-123.015409,0,"Lüning_&_Freshwater_1988",1,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Rhodophyta","Florideophyceae","Gigartinales","Dumontiaceae","","Pachycerianthus"
"14","Neodilsea","borealis",NA,25,"LT0",NA,"","N",3,28,"LT100",NA,NA,3,"",NA,48.536683,-123.015409,0,"Lüning_&_Freshwater_1988",1,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,"Rhodophyta","Florideophyceae","Gigartinales","Dumontiaceae","","Cancer"
