"","label","cluster"
"1","Ahnfeltia plicata","1"
"2","Fucus vesiculosus","2"
"3","Fucus distichus","3"
"4","Saccharina latissima","1"
"5","Alaria esculenta","3"
"6","Ascophyllum nodosum","4"
"7","Chaetomorpha ligustica","4"
"8","Cystoclonium purpureum","3"
"9","Ptilota serrata","2"
"10","Mastocarpus stellatus","1"
"11","Chondrus crispus","3"
"12","Pylaiella littoralis","1"
"13","Chordaria flagelliformis","1"
"14","Spongomorpha aeruginosa","2"
"15","Palmaria palmata","1"
"16","Codium fragile","4"
"17","Porphyra","3"
"18","Hildenbrandia rubra","1"
"19","Clathromorphum circumscriptum","1"
"20","Ceramium virgatum","3"
"21","Polysiphonia","3"
"22","Bonnemaisonia hamifera","4"
"23","Leathesia marina","1"
"24","Corallina officinalis","4"
"25","Phymatolithon lenormandii","2"
"26","Plumaria plumosa","4"
"27","Elachista fucicola","4"
"28","Prasiola stipitata","4"
"29","Ulva lactuca","1"
"30","Ulva intestinalis","4"
