"","label","cluster"
"1","Ahnfeltia plicata","1"
"2","Fucus vesiculosus","2"
"3","Fucus distichus","3"
"4","Ascophyllum nodosum","1"
"5","Chaetomorpha ligustica","3"
"6","Saccorhiza dermatodea","4"
"7","Saccharina latissima","4"
"8","Alaria esculenta","3"
"9","Pylaiella littoralis","2"
"10","Chordaria flagelliformis","1"
"11","Dumontia contorta","3"
"12","Euthora cristata","1"
"13","Cystoclonium purpureum","1"
"14","Ptilota serrata","2"
"15","Mastocarpus stellatus","1"
"16","Chondrus crispus","4"
"17","Spongomorpha aeruginosa","3"
"18","Palmaria palmata","1"
"19","Codium fragile","1"
"20","Elachista fucicola","3"
"21","Petalonia fascia","3"
"22","Prasiola stipitata","4"
"23","Ulva lactuca","1"
"24","Ulva intestinalis","4"
"25","Leathesia marina","2"
"26","Ceramium virgatum","4"
"27","Polysiphonia","4"
"28","Bonnemaisonia hamifera","4"
"29","Porphyra","1"
"30","Hildenbrandia rubra","4"
"31","Clathromorphum circumscriptum","4"
"32","Vertebrata lanosa","1"
"33","Corallina officinalis","3"
"34","Phymatolithon lenormandii","2"
"35","Plumaria plumosa","4"
