"","label","cluster"
"1","Halichondria panicea","1"
"2","Aplidium pallidum","1"
"3","Dendrodoa carnea","1"
"4","Annelida","1"
"5","Sedentary Polychaete","1"
"6","Semibalanus balanoides","2"
"7","Spirorbis","1"
"8","Cryptosula pallasiana","1"
"9","Celleporella hyalina","2"
"10","Testudinalia testudinalis","1"
"11","Crepidula fornicata","2"
"12","Anomia simplex","2"
"13","Hiatella arctica","2"
"14","Mya arenaria","2"
"15","Mytilus edulis","2"
"16","Modiolus modiolus","3"
"17","Small worm","1"
"18","Strongylocentrotus droebachiensis","4"
"19","Boreochiton ruber","4"
"20","Gastropoda","4"
"21","Isopoda","4"
"22","Littorina saxatilis","4"
"23","Nucella lapillus","4"
"24","Littorina littorea","2"
"25","Lacuna vincta","2"
"26","Littorina obtusata","2"
"27","Metridium dianthus","1"
"28","Amphipoda","4"
"29","Carcinus maenus","4"
"30","Pagurus acadianus","2"
"31","Cancer borealis","4"
"32","Cancer irroratus","1"
"33","Ophiopholis aculeata","1"
"34","Asterias forbesi","1"
"35","Asterias rubens","1"
"36","Nudibranchia","1"
"37","Gaidropsarus","1"
