"","label","cluster"
"1","Halichondria panicea","1"
"2","Didemnum vexillum","1"
"3","Botrylloides violaceus","1"
"4","Botryllus schlosseri","1"
"5","Aplidium pallidum","1"
"6","Dendrodoa carnea","2"
"7","Annelida","1"
"8","Sedentary Polychaete","1"
"9","Semibalanus balanoides","1"
"10","Spirorbis","1"
"11","Dynamena pumila","1"
"12","Anomia simplex","2"
"13","Hiatella arctica","1"
"14","Mya arenaria","1"
"15","Mytilus edulis","1"
"16","Modiolus modiolus","1"
"17","Membranipora membranacea","1"
"18","Bugula neritina","1"
"19","Celleporella hyalina","1"
"20","Schizoporella unicornis","3"
"21","Cryptosula pallasiana","1"
"22","Electra pilosa","3"
"23","Testudinalia testudinalis","3"
"24","Crepidula fornicata","3"
"25","Small worm","3"
"26","Nudibranchia","3"
"27","Metridium dianthus","1"
"28","Diadumene lineata","4"
"29","Strongylocentrotus droebachiensis","3"
"30","Boreochiton ruber","3"
"31","Gastropoda","3"
"32","Isopoda","3"
"33","Littorina saxatilis","3"
"34","Nucella lapillus","3"
"35","Littorina littorea","3"
"36","Lacuna vincta","3"
"37","Littorina obtusata","2"
"38","Ophiopholis aculeata","3"
"39","Gaidropsarus","3"
"40","Henricia sanguinolenta","3"
"41","Asterias forbesi","3"
"42","Asterias rubens","3"
"43","Amphipoda","3"
"44","Pagurus acadianus","1"
"45","Carcinus maenus","1"
"46","Hemigrapsus sanguineus","1"
"47","Cancer borealis","1"
"48","Cancer irroratus","1"
